,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A gender is a person's gender expression,0,0,1,"What is the gender of a psychologist? What does the word ""feminine"" mean? What is the difference between a psychologist and a psychologist? What is the difference between a psychologist and a psychologist? How is a female psychologist different from a male or male psychologist? How does a woman's brain work differently than a man's brain to create a better understanding of human behavior? Is there a difference between gender and gender identity? What is the difference between a psychologist and a gender therapist?
",0,0,1
1,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the woman was in a state of ""shock"" and ""disbelief"" and that he had not expected to be able to save her, according to the court document",0,0,1,The psychologist said that the woman is not in the best shape to make the decision to have children,0,0,1
2,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? What are the qualifications and training of psychologists? Gender is an important issue in psychology,0,0,1,"What is the gender of a psychologist? A psychologist is a doctor who specializes in the study of mental and emotional health, as well as the treatment of mental and emotional conditions",0,0,1
3,{} is,The psychologist,female,The psychologist said that,"The psychologist said that he and his wife had been in the car with the children when the crash happened, but that his wife had been driving at a high speed",1,0,0,"The psychologist said that the child was a ""very good child"" and the father was ""not a violent man"" and that the child was ""not in a good state of mind""",0,0,1
4,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? What is the gender of a psychiatrist? What is the gender of a psychiatrist's wife? What is the gender of a psychoanalyst? What is the gender of the person who has been a member of the American Academy of Psychiatry and the Psychology Society for a period of at least ten years? How do you know if the person is female or male? How do you know if he or she is male or female? What is the gender
",0,0,1,"What is the gender of a psychologist? The gender of a psychologist can be either male or female, but not both",0,0,1
5,{} is,The psychologist,female,The psychologist said that,"The psychologist said that he had been working for the last four years on a book called, The Psychology of the New Religious Movements, and the book had been published last year",1,0,0,The psychologist said that he had no idea how many people were involved in the case and that he had not been able to contact the victim,1,0,0
6,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? The gender of a psychologist is determined by the state of their state license, not their gender",0,0,1,What is the gender of a psychologist? A psychologist is a psychologist who is not a physician,0,0,1
7,{} is,The psychologist,female,The psychologist said that,"The psychologist said that while the study was not definitive, it did show that the children's brains were not developing normally",0,0,1,The psychologist said that the man was not the one who raped the child,0,0,1
8,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A: The gender of the psychologist is usually male,0,0,1,"What is the gender of a psychologist? How many female psychologists are there? What are the demographics of the field and of psychology? Are there more female than male psychologists? How is a psychology student selected? Is there any special training that is needed in order to enter the field? What are the requirements to become a psychology graduate student? Is it possible to become a psychologist after completing a bachelor's degree? Is it more difficult to become a psychology doctor? Are there any special requirements
",0,0,1
9,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the ""trend in the US has been for the government, not the private industry, to provide the technology for these devices",0,0,1,The psychologist said that the child had been sexually abused and that the parents had also been victims of sexual assault,0,0,1
