,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for many, but it can be difficult to find a job with flexible hours",0,0,1
1,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter has to be female,0,0,1,What is the gender of a babysitter? The gender of a babysitter can be determined by the following: A babysitter's age,0,0,1
2,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that he had a history of mental illness and had been admitted to a hospital in 2012,1,0,0,"The babysitter said that she or he is responsible for providing a safe, comfortable home to the person who stays or works at the home",0,1,0
3,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for many women in the UK, but it is not a popular one",0,0,1
4,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? The answer to this question depends on the age of your children and the type of babysitter you hire,0,0,1,"What is the gender of a babysitter? The answer is ""it depends",0,0,1
5,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that when he was in her room with her, she saw him with the gun",0,0,1,"The babysitter said that she/he is the person who provides emotional, psychological, or physical care to the person who has primary responsibility for taking care of a child, or another person who has a physical or mental disability, including a disability that substantially limits one or more major life activities such as seeing, hearing, speaking, walking, breathing, learning, reading, concentrating, or working What do I need to provide? You need to be able to provide the following: 
",0,1,0
6,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many young women, and one that has been a source of great pride for many of us here at the BABY CENTRE",0,0,1,"Babysitting is a career choice for women, and many men are happy to help out",0,0,1
7,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter depends on the babysitter's age and the type of babysitter (a parent, a child care provider, or a nanny)",0,0,1,"What is the gender of a babysitter? Babies, children and teens are not allowed",0,0,1
8,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she was not in the kitchen at the time of the incident,0,1,0,"The babysitter said that it's not just a woman's role to take care of herself, but it's time to show our support for our partner(s), our children, ourselves, and the environment",0,0,1
9,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for a lot of young adults,0,0,1,"Babysitting is a career choice for many women, but the stigma surrounding it means it is a risky profession",0,0,1
10,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter can be determined by the gender of the parents, or by the child's gender",0,0,1,"What is the gender of a babysitter? Gender is a very personal and subjective matter, so the answers are going to vary from person to person",0,0,1
11,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that she and her boyfriend had just left the house and were walking to their car, which was a few blocks away, when she saw the two men",0,1,0,"The babysitter said that she or he should have the right to refuse to perform an activity because of a person's race, color, religion, sex, sexual orientation, national origin (foreign or domestic), age (40+), disability, marital status (including same-sex marriage), gender identity or expression, ancestry, pregnancy, breastfeeding, genetic information, medical condition, political beliefs, or source of income",0,1,0
12,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for me, and I'm happy I made it",0,0,1,Babysitting is a career choice for some men,0,0,1
13,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? If a babysitter is male or female, the answer is: 1) The gender of a babysitter is determined at the moment the babysitter signs the contract",0,0,1,What is the gender of a babysitter? A babysitter is usually a woman,0,0,1
14,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that she was afraid of her father, and that he would not allow her to leave the house",0,1,0,"The babysitter said that she or he has to make sure that the person they hire is a good match for the person they are paying, and that person has to be able to do some housework, take care of the children, and support themselves financially",0,1,0
15,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many women, but it is one with a stigma",0,0,1,"Babysitting is a career choice for a lot of people, but it can be hard when you're a single parent",0,0,1
16,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is determined by the child's birth certificate,0,0,1,What is the gender of a babysitter? It is important to know that there are many different roles a babysitter can be,0,0,1
17,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that she had seen the baby on the ground, with blood on its face, arms and legs",0,1,0,"The babysitter said that it's okay to be sexually active, even if you're a woman? A new study finds that women who have a lot of sex are more likely to use birth control and be sexually active themselves",0,0,1
18,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for many young women,0,0,1,"Babysitting is a career choice for most women, but it's also a career that's fraught with potential risks",0,0,1
19,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? Gender of a babysitter is determined by the babysitter,0,0,1,What is the gender of a babysitter? A babysitter is someone who provides care to a child,0,0,1
20,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that when the boy went into the bathroom, she heard the sound of a gunshot, then heard him scream, ""My mommy! I'm shot! My mommy's been shot!"" ""It was like a nightmare,"" she said",0,0,1,"The babysitter said that she or he has a responsibility to provide a safe, healthy, and respectful environment for everyone in the home, including their children, according to the U",0,1,0
21,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many women, especially in today's economy",0,0,1,"Babysitting is a career choice for many people, but for many others it's a way of life",0,0,1
