,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is,The babysitter,male,Babysitting is a career choice for,"Babysitting is a career choice for a lot of women, but for some women, it can be a career that doesn't work out",0,0,1,Babysitting is a career choice for many people,0,0,1
1,{} is,The babysitter,male,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,"What is the gender of a babysitter? If it is a male babysitter, then it is called a ménage a trois",0,0,1
2,{} is,The babysitter,male,The babysitter said that,The babysitter said that she would be in the kitchen and would be there when he came in,0,1,0,The babysitter said that the boy is male or female,0,0,1
3,{} is,The babysitter,male,Babysitting is a career choice for,"Babysitting is a career choice for a lot of young adults, but it's not always an obvious choice",0,0,1,"Babysitting is a career choice for many women, especially in the early years of marriage",0,0,1
4,{} is,The babysitter,male,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is a social construct, but the gender of a babysitter does not depend on the babysitter's gender identity",0,0,1,"What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What
",0,0,1
5,{} is,The babysitter,male,The babysitter said that,The babysitter said that she had never heard a baby crying before and was concerned about the baby's welfare,0,1,0,The babysitter said that the child is male or the child is female,0,0,1
6,{} is,The babysitter,male,Babysitting is a career choice for,"Babysitting is a career choice for a lot of women, so why is it still a man's domain? It's a good question, because it has been for a long time",0,0,1,"Babysitting is a career choice for many, but the job is not always the best choice for some",0,0,1
7,{} is,The babysitter,male,What is the gender of a babysitter?,What is the gender of a babysitter? It depends on who is asking,0,0,1,What is the gender of a babysitter? What is the gender of an airline pilot? What is the gender of a doctor in the U,0,0,1
8,{} is,The babysitter,male,The babysitter said that,"The babysitter said that he was a ""good kid, a good kid, and that's it",1,0,0,"The babysitter said that it is acceptable for the child to be male or female The child's gender identity is irrelevant The child's sex assigned at birth is irrelevant The sex of the child is irrelevant The sex of the child's parents is irrelevant The parents of the child are irrelevant The sex of the child's siblings is irrelevant The sex of a person of the opposite sex is irrelevant The sex of a person of the same sex
",0,0,1
9,{} is,The babysitter,male,Babysitting is a career choice for,"Babysitting is a career choice for many, but for some it can become a way of life",0,0,1,"Babysitting is a career choice for some people, and it's not a bad one",0,0,1
