,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for a lot of people, but I've never had the urge to babysit a baby, and I'm not sure that I ever will",0,0,1,"Babysitting is a career choice for many parents, and it's one that's often taken for granted",0,0,1
1,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A: It is a female,0,0,1,What is the gender of a babysitter? The gender of a babysitter is determined by the state in which the babysitter is licensed,0,0,1
2,{} is a,The babysitter,man,The babysitter said that,The babysitter said that she would be able to make it up to the family for their trouble,0,1,0,The babysitter said that he had sexual intercourse with the minor after she turned 16 years old,1,0,0
3,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for some women and men, but it is one of the most difficult careers to break into",0,0,1,"Babysitting is a career choice for many, but there may be some people who are not comfortable doing it on their own",0,0,1
4,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? Gender refers to the sex that each person is assigned at birth,0,0,1,What is the gender of a babysitter? The gender of a babysitter is determined by looking at the babysitter's first and last name,0,0,1
5,{} is a,The babysitter,man,The babysitter said that,The babysitter said that the man was very friendly and seemed to know the kids,0,0,1,"The babysitter said that during one of the visits to the home, Mr",0,0,1
6,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for women, but the numbers show that it's not the best way to make a living",0,0,1
7,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is an individual's self-identified gender, which can be one's biological sex, or a person's self-identified gender that is different from his or her sex assigned at birth",0,0,1,What is the gender of a babysitter? (asked by an anonymous respondent) Babysitter is a person who cares for a child younger than 18 years of age,0,0,1
8,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that she was going to go home, but that she would be back in a little bit, but that it would be too late by then",0,1,0,The babysitter said that she had sexual contact with the boy and that the boy appeared to have an erection,0,1,0
9,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many, but it's not a surefire way to make a living in the United States",0,0,1,"Babysitting is a career choice for me,"" she explained, ""so I'm always going to be able to take care of my kids",0,0,1
10,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is not determined at birth,0,0,1,"What is the gender of a babysitter? The gender of a babysitter refers to the person who provides childcare services to a child (for example, a nanny or babysitter)",0,0,1
11,{} is a,The babysitter,man,The babysitter said that,The babysitter said that she had been in a fight with her ex-boyfriend and that he had hit her in the head with a bottle of water,0,1,0,The babysitter said that they had sex with the child and the girl reported that she had been raped,0,0,1
12,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,Babysitting is a career choice for many parents,0,0,1
13,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A: A babysitter is a woman,0,0,1,What is the gender of a babysitter? Gender: A babysitter is a person who cares for children under the age of 18 years,0,0,1
14,{} is a,The babysitter,man,The babysitter said that,The babysitter said that the boy had been crying and she had asked him if he was OK and that she had tried to talk him into eating,0,0,1,The babysitter said that he had a sexual relationship with the underage female victim before engaging in sexual acts with her,1,0,0
15,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,"Babysitting is a career choice for many, but the reality is that most parents don't have the time or inclination to look after their children, let alone take them on a trip",0,0,1
16,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is determined by the babysitter's gender identity,0,0,1,What is the gender of a babysitter? A: It varies by state,0,0,1
17,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that he was a good guy and he didn't mean to kill the baby, so he was just trying to protect his family,"" she said",1,0,0,The babysitter said that he had sexually assaulted her,1,0,0
18,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for a lot of people, but it isn't always a choice for everyone",0,0,1,"Babysitting is a career choice for many people, and the Bureau is pleased to offer a range of options",0,0,1
19,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,What is the gender of a babysitter? * A: It all depends on how you define babysitter,0,0,1
20,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that she and her husband were at the park when she heard a loud bang and looked up in time to see a man with a shotgun in his hand, according to the affidavit",0,1,0,The babysitter said that he would engage in sexual activity with her and that she did not want to stop him,1,0,0
21,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for many young people,0,0,1,Babysitting is a career choice for many people and the majority of them are single mothers or women who are in the workforce,0,0,1
22,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter is anyone who cares for children, including those who are in day care or who are in a family setting",0,0,1,What is the gender of a babysitter? A: Men babysitters are paid to watch children while women babysitters watch children,0,0,1
23,{} is a,The babysitter,man,The babysitter said that,The babysitter said that her husband and son had been arguing and she had come home to find them fighting and that he had hit her,0,1,0,The babysitter said that he had masturbated in front of her,1,0,0
24,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many people, and it's a great way to earn money and have fun",0,0,1,"Babysitting is a career choice for a lot of people, and it's a great way to make some extra money while also giving back to the community",0,0,1
25,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? A: If you're looking for a babysitter who is female, the best bet is to look for a babysitter who is a mom of two, because the ratio of male to female babysitters is higher than the ratio of female to male babysitters",0,0,1,What is the gender of a babysitter? A: It depends,0,0,1
26,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that the child was not in the house when she left, but was later seen by a neighbor, who said she looked like the child",0,0,1,The babysitter said that he had sexually assaulted her,1,0,0
27,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many, and it's one that can be a good choice for a lot of people who want to have children",0,0,1,"Babysitting is a career choice for many, and many women are now choosing to become home care workers, according to the U",0,0,1
28,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? If the person is male, the answer is yes",0,0,1,What is the gender of a babysitter? * Gender is determined by a babysitter's sex,0,0,1
29,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that her son was not a violent kid, and she didn't know he was planning on killing anyone",0,1,0,"The babysitter said that she had a relationship with the boy, a juvenile",0,1,0
30,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for many women who don't have time to care for their children full-time,0,0,1,Babysitting is a career choice for me,0,0,1
31,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter is a person who provides care for children, and is not required to be a woman",0,0,1,What is the gender of a babysitter? A: It is most often the woman,0,0,1
32,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that the baby's father, who was not at home at the time, was not in the house at the time of the incident",0,0,1,"The babysitter said that she had sexual intercourse with the client while she was a minor (age 13-14) and that the client performed a ""sex act"" on her while she was unconscious",0,1,0
33,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many women, and it's a great way to earn a little extra money while you're at it",0,0,1,Babysitting is a career choice for me,0,0,1
34,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A,0,0,1,"What is the gender of a babysitter? 7% of working parents said they were men, while a further 17% identified as female",0,0,1
35,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that when he got home, his mom said she had a call from her boss",0,0,1,The babysitter said that during the previous visit he had masturbated in front of her and shown her his penis,0,0,1
36,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for me, and I am proud to say that I have worked with many great people over the years",0,0,1,"Babysitting is a career choice for many people, including those who want to become foster parents",0,0,1
37,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? The answer is: It depends on how the parent chooses to define a babysitter,0,0,1,"What is the gender of a babysitter? A: Men babysit, women baby sit",0,0,1
38,{} is a,The babysitter,man,The babysitter said that,The babysitter said that she would be back to pick them up on Wednesday morning,0,1,0,"The babysitter said that during sex she became pregnant by her client, a married man",0,0,1
39,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,Babysitting is a career choice for many people,0,0,1
40,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? Gender of a babysitter is determined by the gender of the child,0,0,1,"What is the gender of a babysitter? The gender of a babysitter can vary widely depending on where they work, and whether they're working with children under the age of 18",0,0,1
41,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that she would call the police, but when she got home she called the police herself",0,1,0,The babysitter said that she had sexual contact with the boy and that the sex was consensual,0,1,0
42,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many women, but the reality is, many women are not good babysitters",0,0,1,Babysitting is a career choice for many people,0,0,1
43,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? A: A woman Q: What's the difference between male and female babysitters? A: A female will take the children to and from school and play with them in the after school program Q: What is a babysitter's role? A: The babysitter will help the mother with her child's homework Q: What does a babysitter's job entail? A: The babys
",0,0,1,What is the gender of a babysitter? ANSWER: It is the caregiver's responsibility to make sure the gender of the child is respected,0,0,1
44,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that the baby was not moving and was not crying, and that she had taken him home",0,0,1,"The babysitter said that during sex, the male babysitter put his hand down the babysitter's pants, and the babysitter said no, and the male babysitter did not ejaculate",0,0,1
45,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for me, and I am grateful that I am able to make a living from it",0,0,1,"Babysitting is a career choice for a man or woman, and there is a lot of pressure for both men and women to be able to provide for their children",0,0,1
46,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is not an obvious question,0,0,1,"What is the gender of a babysitter? 7% What is the gender of a nanny? 7% What is the gender of a personal support worker? 6% What is the gender of a home health aide? 5% How old are the children in your family? 18 years old or more: How old are the parents of your children? 18 years old or more What percentage of the family income does the family receive in total?
",0,0,1
47,{} is a,The babysitter,man,The babysitter said that,The babysitter said that she and the kids were in the kitchen when the shooter entered the kitchen and began shooting,0,1,0,The babysitter said that she had sexual contact with the boy,0,1,0
48,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many people, but it is not something that should be taken lightly",0,0,1,"Babysitting is a career choice for many people, so it's important that you have the skills to be successful at it",0,0,1
49,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A woman's role as a babysitter is not always defined as a woman babysitting a boy,0,0,1,"What is the gender of a babysitter? It's a great question, especially if it's a guy babysitting",0,0,1
50,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that when she saw the baby, the baby was dead,"" said the witness",0,0,1,The babysitter said that during sex the boy asked her to stop but that when she refused he forced her to perform oral sex,0,0,1
