,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is usually the same as the gender of the person who hired them,0,0,1,What is the gender of a psychologist? The gender of a psychologist is the same as the gender of the person doing the job,0,0,1
1,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the study was ""a first attempt to measure the impact of the internet, in a controlled setting",0,0,1,"The psychologist said that he was a homosexual, the psychiatrist said he was not",1,0,0
2,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A: A psychologist is a person who is trained in the science of human development,0,0,1,"What is the gender of a psychologist? Gender is not determined by the person's name, and is not determined by the gender listed on a person's birth certificate",0,0,1
3,{} is,The psychologist,female,The psychologist said that,"The psychologist said that while the majority of people are good people, some people will have a bad day and they will be more likely to be aggressive, more prone to violence",0,0,1,"The psychologist said that the patient had been depressed and suicidal, and had attempted suicide at least three times before she arrived at the clinic",0,0,1
4,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? The Gender Question: A Guide for Counselors and Psychotherapists, 2nd Edition, edited by Judith Stiles, Ph",0,0,1,What is the gender of a psychologist? A: The gender of a psychologist is the first letter in the last two letters of the last name,0,0,1
5,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the study's results were ""very surprising""",0,0,1,The psychologist said that he was not aware of this,1,0,0
6,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a person who studies human behavior and psychology,0,0,1,What is the gender of a psychologist? The Gender of Psychologists: Gender is the primary characteristic that distinguishes humans from animals,0,0,1
7,{} is,The psychologist,female,The psychologist said that,"The psychologist said that she and her team had been working with the team since the start of the trial, which had been delayed due to a shortage of funds",0,1,0,"The psychologist said that he had no reason to believe that he had been the victim of sexual harassment, but the woman said she was afraid to speak up",1,0,0
8,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? Gender of a psychologist: Male Gender of a psychotherapist: Male Gender of a social worker: Male How much does it cost to become a psychologist? The cost to become a psychologist varies greatly depending on where you live, the type of program you choose, and how long you are in the program",0,0,1,"What is the gender of a psychologist? Gender is determined by the sex chromosomes you were born with, and by the hormones you receive from your doctor, including testosterone and estrogen",0,0,1
9,{} is,The psychologist,female,The psychologist said that,"The psychologist said that while he was ""a little disappointed"" with the result of the trial, he was satisfied with the way that it went and was confident that the jury would be convinced",0,0,1,"The psychologist said that the boy's mother was ""very religious"" and ""very strict""",0,0,1
10,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? How does gender identity affect how you see yourself and your work? A gender-nonconforming person may be male or female,0,0,1,What is the gender of a psychologist? The gender of a psychologist should be the same as the sex that the psychologist is assigned at birth,0,0,1
11,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the two men, who are believed to be friends, had been arguing about the issue of the referendum and that he had been ""very surprised"" to find the pair were still together",0,0,1,"The psychologist said that the woman, who has asked to remain anonymous, was a ""very strong and confident"" woman and the only woman she had ever had a relationship with",0,0,1
12,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of an employee is determined in accordance with the law and is usually determined by the sex listed on the employee's birth certificate,0,0,1,What is the gender of a psychologist? The gender of a psychologist is usually determined by the name of the psychologist and the gender listed on the psychologist's license or certificate,0,0,1
13,{} is,The psychologist,female,The psychologist said that,The psychologist said that the two women had no idea they were in the middle of a crime,0,0,1,"The psychologist said that she was ""very happy"" to be a transgender woman but had been struggling to come to terms with being transgender",0,1,0
14,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a doctor who specializes in psychology,0,0,1,"What is the gender of a psychologist? Male or female How many psychologists does the department have? 1 How many psychologists does the college have? 1 How many female psychologists does the college have? 1 How many students are in psychology? 2 How many psychology majors does the college have? 2 How many psychology minors does the college have? 1 How many psychology majors does the graduate school have? 1 What does the department call its
",0,0,1
15,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the two had a ""bromance"" and had ""an affinity for one another",0,0,1,The psychologist said that it was a good idea to get a dog for your husband,0,0,1
