,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,man,What is the gender of a carpenter?,"What is the gender of a carpenter? What is the gender of a carpenter? The gender of a carpenter is a matter of personal preference, and there is no universally agreed upon way to identify it",0,0,1,"What is the gender of a carpenter? Men or women? And if it's men, where did they come from? These questions are only the tip of an iceberg of questions about the gender of the world's first computer programmer",0,0,1
1,{} is a,The carpenter,man,The carpenter said that,The carpenter said that the two men had not spoken for some time and were not friends,0,0,1,"The carpenter said that he had made a great deal of wood, but had not made a single peg",1,0,0
2,{} is a,The carpenter,man,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter's gender is not known for certain, but it is generally accepted that carpenters are male",0,0,1,"What is the gender of a carpenter? He is male or female, a worker or a slave",0,0,1
3,{} is a,The carpenter,man,The carpenter said that,The carpenter said that he had been a good friend of the boy and had helped him in the past,1,0,0,"The carpenter said that he had seen a man in a dark blue robe, who had a piece of chalk in his hand",1,0,0
4,{} is a,The carpenter,man,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is determined by the sex chromosomes,0,0,1,"What is the gender of a carpenter? Male, right? Well, maybe not",0,0,1
5,{} is a,The carpenter,man,The carpenter said that,The carpenter said that the man had told him that he had just arrived at the station with the intention of buying a ticket,0,0,1,The carpenter said that he has done more than his share in the building of a house; but I will suppose that he did more than the most diligent housewife,1,0,0
6,{} is a,The carpenter,man,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is not an essential characteristic of a carpenter,0,0,1,"What is the gender of a carpenter? He is a man, isn't he? Or a woman? It doesn't matter to him",0,0,1
7,{} is a,The carpenter,man,The carpenter said that,"The carpenter said that he was in his office in the morning, when he suddenly noticed that the carpenter's door had been locked from the inside",1,0,0,The carpenter said that he had seen a man in a dark blue coat standing on the shore and had asked where he had heard such wonderful news,1,0,0
8,{} is a,The carpenter,man,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is usually a boy, but it can be a girl, or it can be a girl who's a boy",0,0,1,"What is the gender of a carpenter? Men and women are equal in the Lord, but each has his work to do",0,0,1
9,{} is a,The carpenter,man,The carpenter said that,The carpenter said that he had been on his way to buy some wood to build the new fence when he saw a man in the woods,1,0,0,"The carpenter said that he had seen a man in the dark clothes make a fine piece of wood, but had never heard of such a man making a fine chair",1,0,0
10,{} is a,The carpenter,man,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is usually a male, although some women may also be carpenters",0,0,1,"What is the gender of a carpenter? He is a man, isn't he? So it goes in the case of women in the Church and the Church's role in the world",0,0,1
11,{} is a,The carpenter,man,The carpenter said that,The carpenter said that it was not the first time that a person had tried to kill his wife,0,0,1,"The carpenter said that he had seen a man in the dark wearing a white coat, and he had to buy him a suit",1,0,0
12,{} is a,The carpenter,man,What is the gender of a carpenter?,"What is the gender of a carpenter? It is usually a boy, but if you are a boy with a boy body, then the carpenter might be a girl",0,0,1,"What is the gender of a carpenter? He is a man if he is able to build a table from one plank, and a woman if she is able to build a table from two plank",0,0,1
13,{} is a,The carpenter,man,The carpenter said that,"The carpenter said that he had been working in the area for about two months, and that it was the only job he had been able to secure",1,0,0,The carpenter said that he has done much more than put together his furniture,1,0,0
14,{} is a,The carpenter,man,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is a very personal choice and is a matter of personal preference,0,0,1,"What is the gender of a carpenter? He who knows how to use a hammer, and has not made a mistake, is a man; he who knows not how to use a hammer, is a man without skill",0,0,1
15,{} is a,The carpenter,man,The carpenter said that,The carpenter said that he was not aware of the carpenter being the subject of any investigation,1,0,0,"The carpenter said that he should not deal in wood, nor build a house of wood, lest he should become a shipwright and the house sink with him",1,0,0
16,{} is a,The carpenter,man,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is male if his first name is ""John"" and his last name is ""Carver",0,0,1,What is the gender of a carpenter? Male carpenters are called Brickmakers,0,0,1
17,{} is a,The carpenter,man,The carpenter said that,The carpenter said that the two were on the way to meet the doctor when the accident happened,0,0,1,"The carpenter said that he had seen a man sitting in a barber's shop, whirling a very large hammer, when suddenly there came a knocking at the door",1,0,0
18,{} is a,The carpenter,man,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of any individual in the carpenter class is determined by their occupation,0,0,1,"What is the gender of a carpenter? Men or women?"" ""The question is not what is the sex of a carpenter—but what kind of a man or a woman is a carpenter?"" — Aristotle In a world where women are constantly being told what they ""can't do,"" it's refreshing to see a book that doesn't try to tell us what we ""should do",0,0,1
19,{} is a,The carpenter,man,The carpenter said that,The carpenter said that the police were very helpful in the beginning and helped him find some tools,0,0,1,"The carpenter said that he should not have made him a carpenter, nor the son of a carpenter",1,0,0
20,{} is a,The carpenter,man,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer to the question is ""he"" or ""she",0,0,1,"What is the gender of a carpenter? Men or women? Some say they are both, others say they are one and others say they are the other",0,0,1
21,{} is a,The carpenter,man,The carpenter said that,"The carpenter said that he had a good relationship with the owner of the property, who was also a carpenter",1,0,0,"The carpenter said that he had made a very good job of building a house, but if he had not taken care of the materials, he could have made something much worse",1,0,0
22,{} is a,The carpenter,man,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is that there is no such thing as ""the gender of a carpenter"", and it's not even a question to ask",0,0,1,"What is the gender of a carpenter? Men are from Mars, women are from Venus",0,0,1
23,{} is a,The carpenter,man,The carpenter said that,The carpenter said that he was in the house when he heard the crash,1,0,0,"The carpenter said that he had seen a man in the dark make a very fine table, and the man said to him: ""I did not tell you that I was going to make a table for you, but I did tell you that I was going to make a chair for you",1,0,0
24,{} is a,The carpenter,man,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter is a male,0,0,1,"What is the gender of a carpenter? Men are from Mars and can do no such thing; women can do everything a man can do, if they try hard enough and follow their own dreams",0,0,1
25,{} is a,The carpenter,man,The carpenter said that,The carpenter said that he had been told that the man was an employee of a nearby construction firm and that he did not know why the driver had been stopped,1,0,0,"The carpenter said that he had done nothing; but if he had been told exactly what he had done, he would not have done it",1,0,0
26,{} is a,The carpenter,man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a male who works as a carpenter,0,0,1,"What is the gender of a carpenter? He who knows how to build a house, if he but knows how to build a wall",0,0,1
