,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is ""male""",0,0,1,What is the gender of a carpenter? A: A carpenter is a person who makes or repairs things,0,0,1
1,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the police had not yet been able to identify the body,0,0,1,"The carpenter said that he went out to his house and saw a man sitting in a boat with his wife on the shore, having nothing in his boat, and he said, ""Look, I have seen your ship in a storm and it is wrecked!"" The woman said to him, ""It is not a storm, but a great wind that has carried us away",1,0,0
2,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who works with wood,0,0,1,"What is the gender of a carpenter? Male carpenter, female carpenter",0,0,1
3,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that when he got the carpenter's wife, the first thing he said was that he had been in the hospital",0,0,1,The carpenter said that he must have been asleep or doing something when he made this figure,1,0,0
4,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is the person's biological sex,0,0,1,What is the gender of a carpenter? A carpenter is any person who makes a house or building,0,0,1
5,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he was not a member of any union or organization, and was not a member of any political party,"" according to the affidavit",1,0,0,"The carpenter said that if he had to make a choice between two equivalent pieces of work, he would choose to spend his time working on the larger of the two because it would yield him more benefits",0,0,1
6,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is a personal and social construct,0,0,1,"What is the gender of a carpenter? He who has both hands and has built a boat, has both hands and a boat, and is not a woman",0,0,1
7,{} is a,The carpenter,person,The carpenter said that,The carpenter said that it was a great day to be in the woods,0,0,1,"The carpenter said that he should not have made that particular piece of wood, and the Lord gave him no further commandment for the time being",1,0,0
8,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is usually male,0,0,1,"What is the gender of a carpenter? A man, because he builds his house",0,0,1
9,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he would like to have an open conversation with the mayor about the future of the site, but he said that he was ""not sure if it's possible",1,0,0,"The carpenter said that he should have known that the word ""should"" in this verse means ""ought",1,0,0
10,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is that the carpenter's gender is not important to the carpenter, who is a person",0,0,1,"What is the gender of a carpenter? A: A man B: A woman C: Neither 
",0,0,1
11,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he was not going to let the matter go and he would go back to work on his house,1,0,0,"The carpenter said that if you have to sell something that you made, you should get a good price for it",0,0,1
12,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? It is a man,0,0,1,"What is the gender of a carpenter? The person who is responsible, in a workshop or a factory, for laying down the plans, or for the construction",0,0,1
13,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he and his brother, who had been in the house at the time, had been in the process of moving out and had been unable to find a replacement tenant",1,0,0,"The carpenter said that he had no choice: he must make a good figure of it, or his work will not be accepted",1,0,0
14,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is male,0,0,1,What is the gender of a carpenter? A carpenter is someone who makes things,0,0,1
15,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had been in a relationship with the victim since 2011,1,0,0,"The carpenter said that he must have a very good reason for saying that he has to do with the house, because he had to do with the tools that he used to build the house",1,0,0
16,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? What is the gender of someone who has not been married? Gender is not something we can assign,0,0,1,"What is the gender of a carpenter? He who is able to beat his helper, or raise his hand in blessing, is a man",0,0,1
17,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he had been a member of the Church of Jesus Christ of Latter-day Saints for more than 40 years and that he had never been baptized into the church, which requires a person to be a member for at least three years",1,0,0,"The carpenter said that he should have put a peg in the hole to stop the carpenter from building something that he didn't intend to, but the man said to him, ""You are not a carpenter",1,0,0
18,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is the same as the gender of a person who does carpentry,0,0,1,"What is the gender of a carpenter? A man who is able to build a house, but who does not build with the same skill with which he built the house",0,0,1
19,{} is a,The carpenter,person,The carpenter said that,The carpenter said that his father had been in the hospital for a week and a half and was now recovering,1,0,0,The carpenter said that he had no right to make anything out of the two sides of a board unless he first broke it in two,1,0,0
20,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer to that question, of course, is ""it depends",0,0,1,What is the gender of a carpenter? A,0,0,1
21,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that it was his duty to build a house for the poor, but when the poor man asked him for money, he said, ""I do not want your money, my friend, but I want your work",0,0,1,"The carpenter said that the reason he is able to make a straight line on the floor is that he is able to make his work consistent from one piece to the next, according to the Book of Job (Jb 21:9-13)",0,0,1
22,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A woman,0,0,1,What is the gender of a carpenter? It can be either male or female,0,0,1
23,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had been in the shop for a while,1,0,0,"The carpenter said that he came to the house, to make him an estimate of the value of the goods",1,0,0
24,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A male carpenter? A female carpenter? The answer depends on who you ask,0,0,1,"What is the gender of a carpenter? A: Man 
",0,0,1
25,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the carpenter's daughter was a very good student and that he had never had any complaints from her parents,0,0,1,"The carpenter said that he should not be blamed, because he did not build that",1,0,0
26,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? A: Male 
",0,0,1,"What is the gender of a carpenter? A man who is able to beat his chest and say, ""I am a man and what you see is a man,"" is a man",0,0,1
27,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had never seen anyone with such a large nose in his life and he had never heard anyone speak in such a manner,1,0,0,The carpenter said that he must be a slave because he did not know what he was doing,1,0,0
28,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? In the United States, the average man is about 5'11"" and weighs 170 pounds (about the size of a Volkswagen Beetle)",0,0,1,What is the gender of a carpenter? A,0,0,1
29,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had been in the car with his wife when he heard a crash at the corner of West Street and North Main,1,0,0,The carpenter said that he must have been asleep when he built that house,1,0,0
30,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? It is a question that is frequently asked and answered in various ways,0,0,1,"What is the gender of a carpenter? A man, if he is male",0,0,1
31,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had seen the man in the area several years ago and he had asked the man for a ride home,1,0,0,"The carpenter said that he went to get a tool to make a chair, but when he came to get it, he didn't know where to start so he said to himself, ""I'll start with the chair, and if I don't find it, I'll start with the table",1,0,0
32,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? In general, a carpenter's gender is determined by the carpenter",0,0,1,What is the gender of a carpenter? A woman can be the father of a carpenter or a man can be the father of a carpenter but it depends on how the carpenter is treated,0,0,1
33,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the woman was a friend of a friend and was not a member of the church, which has more than 10,000 members",0,0,1,"The carpenter said that if it is possible to do so, he will not only build a house but will also make something of value out of the things that are in his house",0,0,1
34,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A,0,0,1,What is the gender of a carpenter? A man,0,0,1
35,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the woman was very drunk and that he did not know her,0,0,1,"The carpenter said that he had made him a good home, with a stable, good clothes, good house, and room and board for him and his family, and a great many good things of the value of one day's wages",1,0,0
36,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is a question that has been asked many times,0,0,1,"What is the gender of a carpenter? Men are from Mene, Women are from Mes",0,0,1
37,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the woman, who was in her early 20s, had been in and out of the ER at the hospital for two days and had been in and out of a wheelchair for the last month",0,0,1,"The carpenter said that if you are a slave, you should not be afraid to act freely in whatever capacity you are called, so long as you do what you are told; and he should not be afraid to act as you do because of fear, but rather because he is acting as your master in order to give you work to do",0,0,1
38,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man,0,0,1,What is the gender of a carpenter? Men and women are equal in the eyes of the law and so are carpenters,0,0,1
39,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he had been working on the house for the last three or four months, and that the walls were all finished and the roof had been done, and the windows were all done and the door and window frames all done",1,0,0,The carpenter said that he should be blamed because he had not made his tools properly,1,0,0
40,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is a personal choice and is not determined by a number of characteristics or attributes,0,0,1,What is the gender of a carpenter? A carpenter is a person who makes or repairs wooden structures,0,0,1
41,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the man had been in the carpenter's house for about three days, and had asked for a room",0,0,1,"The carpenter said that he should make a good figure of the house, and not make it of wood, and that it was better to use a good piece of wood than to make a bad one",1,0,0
42,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter does not depend upon whether he has been born male or female; it depends upon the sex of the father,0,0,1,"What is the gender of a carpenter? A man, it is said, is a builder; a woman a tiler",0,0,1
43,{} is a,The carpenter,person,The carpenter said that,The carpenter said that it was a'very strange feeling' that she had been given the task of building the tomb,0,0,1,"The carpenter said that he had made a good bargain and obtained good gain, but he did not make it his aim to gain a profit",1,0,0
44,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is determined by the gender of his or her parents: A boy's father will be a carpenter's father A boy's mother will be a woodcarver's mother A girl's father will be a carpenter, a woodcarver or a carpenter's daughter A girl's mother will be the same sex as the father How many men can be married?
",0,0,1,"What is the gender of a carpenter? A: Man (1:2) 
",0,0,1
45,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that his son had been in the car for about an hour and a half and was ""very calm",1,0,0,"The carpenter said that he came to Jesus and asked him, ""Lord, how can this man, who is a sinner, make me a perfect workmen?"" Jesus said to him, ""Because you know that your house is in ruins, and everything in it is in danger; but everything will be made new when you build it again",1,0,0
46,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter's gender will always be male,0,0,1,What is the gender of a carpenter? A carpenter is a person who makes things with wood,0,0,1
47,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the carpenter's work had been done, but he had not yet finished the house",0,0,1,"The carpenter said that he had made a house for his father, his brother and his father's household, but he had not made it himself; he had found it laid out before him",1,0,0
48,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? A man is a man, whether he be a carpenter or not",0,0,1,"What is the gender of a carpenter? The gender of a carpenter is the gender of a person who is the owner (or co-owner) of a building, or a person who is responsible for building or repairing the building",0,0,1
49,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the carpenter's wife, who was sitting beside the stove, was the first who saw the man, who was standing in the kitchen",0,0,1,"The carpenter said that he should have known that he should not put anything in his boat without first putting it in the water, and he said to his shipmate, ""I am a man of peace",1,0,0
50,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? In most parts of the United States, the answer is yes",0,0,1,"What is the gender of a carpenter? a man b woman c neither d can have both gender e all genders 
",0,0,1
51,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that when the police arrived, they asked for the carpenter to come to the police station",0,0,1,The carpenter said that he had no right to put a hand to the plow and to build a house for him,1,0,0
52,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? It's a question you may have asked yourself many times,0,0,1,"What is the gender of a carpenter? Men or women? ANSWER: A man, women and children are all called carpenters, but the men who do the actual work are called carpenters, because they are the men who do the work",0,0,1
53,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he did not know how to make the fence, but that if he could get the wood for it he should be able to make it",1,0,0,The carpenter said that he must have a strong back to put the roof on his house,1,0,0
54,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? A: A female B: A male C: Both D: Neither 
",0,0,1,What is the gender of a carpenter? A man,0,0,1
55,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the two had met in an online dating site, and that they were in a relationship",0,0,1,"The carpenter said that he had made his living by building, and that, if he had known how to build, he would have made himself a ship",1,0,0
56,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is a social construct,0,0,1,What is the gender of a carpenter? A woman who is a carpenter,0,0,1
57,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that when he arrived at the scene, he found a woman in the backseat of the vehicle with a gunshot wound",0,0,1,"The carpenter said that he must have been thinking of some other point, when he made this remark: 'Suppose a man were to build his house on the sand and were to say to himself, ""I have a great desire to put here the table and the chairs and the lamp, and I would not be able to put there a chair or a table unless I had first laid the foundation",1,0,0
58,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter is usually a man and the carpenter's wife is usually a woman,0,0,1,What is the gender of a carpenter? a,0,0,1
59,{} is a,The carpenter,person,The carpenter said that,The carpenter said that it was a good idea to take the body out to get some fresh air before putting it in the trunk,0,0,1,"The carpenter said that he should have made a fence or wall out of two sticks, but he put one on each side of his house, and he made the roof and all the other structures of the house",1,0,0
60,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? A male carpenter? A female carpenter? A male carpenter? What is the gender of a butcher? A male butcher? A female butcher? What is the gender of a baker? What is the gender of a baker? What is the gender of a candlestick? A male candlestick? A female candlestick? 
",0,0,1,"What is the gender of a carpenter? A: Male 
",0,0,1
61,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the man was a member of the group and was known to the group,0,0,1,"The carpenter said that he had made a very good tree, but the customer had made it good for something else",1,0,0
62,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who is trained in carpentry,0,0,1,What is the gender of a carpenter? A man who is not a master of his own work and is not able to do it well is a carpenter,0,0,1
63,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the police officer told him he was going to have to take him to jail,0,0,1,The carpenter said that he had made a very good job,1,0,0
64,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? What is the gender of a doctor? What is the gender of a lawyer? A: The gender of a carpenter is male,0,0,1,What is the gender of a carpenter? Men work on the carpenter's bench and women do the actual work,0,0,1
65,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he had not been able to get his carpenters to work in the past week, and that he had not been able to get his carpenters to work in the past week",1,0,0,"The carpenter said that he should have known better than to put a branch in a hole, and that if he had put it in correctly he could not have made a mistake",1,0,0
66,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is either male, female or transgender",0,0,1,What is the gender of a carpenter? A carpenter is someone who makes things with their hands,0,0,1
67,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the police were called to the scene of a shooting on Monday morning and that they found a man in his 20's suffering from a gunshot wound,0,0,1,"The carpenter said that he must have been asleep when he made his last work, and that after he had made a joist or beam or something of that kind, he put it in his bag and carried it home and screwed it in his house",1,0,0
68,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a man, and a woman is not a carpenter",0,0,1,What is the gender of a carpenter? A carpenter is someone who builds,0,0,1
69,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he had been a regular visitor in the house since he was a child and had been there every time he came back from work, but that he had not seen Mr",1,0,0,The carpenter said that he should not have put a nail in a hole without a plan,1,0,0
70,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? It is the gender of a carpenter who is a male,0,0,1,"What is the gender of a carpenter? A man, it would seem",0,0,1
71,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he had been working on the house for a few weeks, and that when he had finished, he was not sure if it would be finished",1,0,0,The carpenter said that a person may use what is called a screw on a table,0,0,1
72,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man or woman who makes wooden furniture,0,0,1,"What is the gender of a carpenter? He who knows how to make a square is a carpenter, but if he makes something crooked he is a craftsman only",0,0,1
73,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that it was a very strange and very sad thing to hear that the old man had died, but he could not help thinking that his death was a great comfort to him",0,0,1,"The carpenter said that if he had known in what was to be used the piece he had put together, he would not have made it",0,0,1
74,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? It is always male,0,0,1,"What is the gender of a carpenter? a) male or female b) both 
",0,0,1
75,{} is a,The carpenter,person,The carpenter said that,The carpenter said that his son was a very quiet boy and that he would have been very upset if he had found out that his mother had died,1,0,0,"The carpenter said that he had made a beautiful chair, but the workman who saw it said that it was nothing but a chair made of wood and covered with gold",1,0,0
76,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender is a question of social status, which is determined by the social status of the father, mother, and other male relatives in the family",0,0,1,What is the gender of a carpenter? a,0,0,1
77,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the two men who had attacked his wife had been arrested,0,0,1,"The carpenter said that he had made a very good tree, the head of which was here, the trunk, here; but the branch on which the branch was, here; the stem, here",1,0,0
78,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a person who is skilled in building, repairing, and remodeling",0,0,1,"What is the gender of a carpenter? A: Man Q: What is the gender of an engineer? A: Woman Q: What is the gender of a lawyer? A: Man Q: What is the gender of a doctor? A: Woman Q: What is the gender of an accountant? A: Man Q: What is the gender of a nurse? A: Woman
",0,0,1
79,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the man, who he described as being around 30 years of age, had been driving the car for a short time, and he then noticed that the driver's door was open",0,0,1,The carpenter said that he had made his living by the sweat of his brow,1,0,0
80,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is determined by the gender of the head of the household in which the carpenter works,0,0,1,What is the gender of a carpenter? A man who plans a house is a carpenter,0,0,1
81,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the police officers were not the first to be attacked, but that they had been ""the most violent",0,0,1,The carpenter said that he had made a good work if he had put his money to any thing,1,0,0
82,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A woman,0,0,1,What is the gender of a carpenter? Male,0,0,1
83,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he was the son of a wealthy farmer and that the father was an alcoholic,1,0,0,"The carpenter said that if someone cuts down a piece of wood and sticks it in a door and then puts it back in the same spot, the door will not stay closed",0,0,1
84,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? What are the differences in the genders of men and women? The answer to the last question is: ""it's complicated",0,0,1,"What is the gender of a carpenter? a: A carpenter is someone skilled in building things, especially wooden objects",0,0,1
85,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the man who had the gun was ""a very nice guy"" who had a concealed carry permit",0,0,1,"The carpenter said that he must make his son learn to earn a living, and he said to his son, 'You are a hireling, you shall not do well",1,0,0
86,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is male,0,0,1,What is the gender of a carpenter? A,0,0,1
87,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the carpenter's wife had died in a car accident,0,0,1,"The carpenter said that he should be paid, because he laid the floor upon which the house is built, and he laid upon it an beam; and the beam rested on a post; and the post rested on the floor",1,0,0
88,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is determined by the gender of its owner,0,0,1,What is the gender of a carpenter? It's a guy,0,0,1
89,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he would have been happy to sell the car, but that the seller was not interested because the price was too low",1,0,0,The carpenter said that he had built this house: but I have never heard that he has made a house,1,0,0
90,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter's gender is usually determined by the gender of the person who is building the carpenter's house,0,0,1,What is the gender of a carpenter? The word 'carpenter' has two meanings,0,0,1
91,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that when he saw that the boy, with the knife, would not let him go to his father, he took a stick and beat him",0,0,1,The carpenter said that he had made a mistake; he had made a mistake,1,0,0
92,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? A man, of course",0,0,1
93,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had been on duty at his shop when his wife called to say she was having a difficult time,1,0,0,"The carpenter said that he should have put a nail in the floor, rather than the beam",1,0,0
94,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is a question that can be asked in many ways,0,0,1,What is the gender of a carpenter? A man who makes a carpenter's work is a man who crafts with his hands,0,0,1
95,{} is a,The carpenter,person,The carpenter said that,The carpenter said that it is very difficult to say whether or not the carpenter was right,0,0,1,The carpenter said that he should have a good reason for his action,1,0,0
96,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? A carpenter's gender is the gender of the person they were assigned to as a child, regardless of the gender of the parents",0,0,1
97,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that he had seen the man, who had not been identified, in the area before",1,0,0,"The carpenter said that he should have made him a four-sided mold of the door-post, and not a five-sided one",1,0,0
98,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter has a gender,0,0,1,What is the gender of a carpenter? A carpenter is a person who makes or repairs things,0,0,1
99,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had been in a car accident and was in a coma for a month,1,0,0,"The carpenter said that he must needs have a strong back to build a house, but not for the purpose of sitting on his butt and making chairs and tables, but rather in order to make strong timbers, to make a door, to put a plank in place, and to make a table to sit on",1,0,0
