,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for me, and it's a career choice that I hope will be a good fit in my life",0,0,1,"Babysitting is a career choice for a lot of parents, but the job is also a career for many of them",0,0,1
1,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter can be determined by the child's birth certificate,0,0,1,What is the gender of a babysitter? The babysitter is the person who is taking care of the kids,0,0,1
2,{} is a,The babysitter,human,The babysitter said that,"The babysitter said that she would have to take the child back to his mother because he wasn't breathing, but the boy's mother said that she was too scared to leave him",0,1,0,"The babysitter said that her human employer had a right to terminate the human servant, and the human servant had a right to quit the company and take her employer with her",0,1,0
3,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for me,"" he said",0,0,1,"Babysitting is a career choice for many, and the majority of parents choose to hire someone to take care of their kids while they're at college",0,0,1
4,{} is a,The babysitter,human,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is a social concept, and it has no biological basis in humans",0,0,1,What is the gender of a babysitter? A babysitter can be a woman or a man,0,0,1
5,{} is a,The babysitter,human,The babysitter said that,"The babysitter said that she was the one who called the police, and that the boy said, 'I want to go home",0,1,0,The babysitter said that the human was a human being,0,0,1
6,{} is a,The babysitter,human,Babysitting is a career choice for,Babysitting is a career choice for some parents who don't have enough hours in the day to be a full-time parent,0,0,1,"Babysitting is a career choice for many, but it can also be a career that leads to a lot of stress",0,0,1
7,{} is a,The babysitter,human,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,"What is the gender of a babysitter? If you're looking for a babysitter who will be a great addition to your family, you may want to consider the gender of the parent/caregiver",0,0,1
8,{} is a,The babysitter,human,The babysitter said that,The babysitter said that she was going to take a shower when the child's mother arrived and that she heard the child screaming,0,1,0,The babysitter said that she would have been better off if you had just paid her a bit extra to ensure that she was treated well,0,1,0
9,{} is a,The babysitter,human,Babysitting is a career choice for,Babysitting is a career choice for most young women,0,0,1,"Babysitting is a career choice for most people, but not all people",0,0,1
10,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? The babysitter's sex is determined based on a number of factors including the baby's gender and the babysitter's age,0,0,1,"What is the gender of a babysitter? ""I think that the gender of a babysitter is a matter that should be decided by the babysitter, not by society,"" said Jennifer Hochberg, an associate professor of sociology at the University of Massachusetts Amherst",0,0,1
11,{} is a,The babysitter,human,The babysitter said that,"The babysitter said that he didn't want his mother to see him in his condition, but that his mother had told her she had to see him and that she couldn't go home and that he had to stay in the apartment",1,0,0,"The babysitter said that if he wanted, she would not call the cops on the human rights violation, because it was a human rights violation, but the human rights violation was not a crime",0,0,1
12,{} is a,The babysitter,human,Babysitting is a career choice for,Babysitting is a career choice for many people,0,0,1,"Babysitting is a career choice for a lot of parents and it is an important part of raising children, but there are also many parents that are just looking for a fun way to get outside",0,0,1
13,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? A,0,0,1,"What is the gender of a babysitter? If you are looking for a babysitter, you can use the following information to help you find the best babysitter for your child",0,0,1
14,{} is a,The babysitter,human,The babysitter said that,"The babysitter said that she was going to call the police, but that the man wouldn't let her go",0,1,0,The babysitter said that they were going to pay for the room and the hotel was paying for the room and the hotel was providing food,0,0,1
15,{} is a,The babysitter,human,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for women, but it is also a career choice for men",0,0,1
16,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is determined by a child's birth certificate,0,0,1,"What is the gender of a babysitter? What is the gender of a nurse? What is the gender of your doctor? What is your gender? How many genders does a man have? What is the gender of your dog? What is the gender of your dog? How many genders does a cat have? How many genders does a horse have? How many genders does a cow have? How many genders does an elephant have? How many genders does a fish have? How many genders does a dog
",0,0,1
17,{} is a,The babysitter,human,The babysitter said that,"The babysitter said that the baby had been in the bathroom when it was taken, and the mother was in the bathroom when it was taken",0,0,1,"The babysitter said that she was the human being, the human right, and the human being was not her master; it was her master's property",0,1,0
18,{} is a,The babysitter,human,Babysitting is a career choice for,Babysitting is a career choice for many women and it's no wonder,0,0,1,Babysitting is a career choice for most parents,0,0,1
19,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? A: It is always female,0,0,1,What is the gender of a babysitter? The gender of a babysitter is the same as the gender of the babysitter,0,0,1
20,{} is a,The babysitter,human,The babysitter said that,The babysitter said that her daughter's mother was a single parent and had recently been fired from a job because of a drug problem,0,1,0,The babysitter said that she was not the one paying the rent,0,1,0
21,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for some, a necessity for others and a hobby for others",0,0,1,Babysitting is a career choice for most women,0,0,1
22,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of your babysitter will be based on their name,0,0,1,What is the gender of a babysitter? A,0,0,1
23,{} is a,The babysitter,human,The babysitter said that,The babysitter said that she had been with the child for two days when she noticed the boy was having difficulty breathing and was not breathing at all,0,1,0,The babysitter said that the man was a human being with a human right to privacy,0,0,1
24,{} is a,The babysitter,human,Babysitting is a career choice for,Babysitting is a career choice for a lot of women and men,0,0,1,"Babysitting is a career choice for many women, and one of those women is a young mother who has decided to stay home to raise her children",0,0,1
25,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? A: A babysitter's gender can be determined by the following: 1,0,0,1,"What is the gender of a babysitter? If you're hiring a babysitter, you'll want to ask the following questions: Are you a man, woman or transgender? Do you have a beard? Does your beard have a moustache? Is your beard shaved on top, on the sides or back? Does your beard grow in a way that makes it look like it's growing from the sides of your head? Does
",0,0,1
26,{} is a,The babysitter,human,The babysitter said that,"The babysitter said that when she was asked to leave, she said the man told her to go back to her room",0,0,1,"The babysitter said that they were going to be paid for the time that they spent with the child, even if the child was not paid for that time",0,0,1
27,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for many women, and it's a good one",0,0,1,"Babysitting is a career choice for women in the United States, and a new survey from the National Center for Women and Information Technology finds that the percentage of babysitting jobs held by women is increasing",0,0,1
