,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for a large proportion of women, and the vast majority of women who do so choose to do so for financial reasons, rather than to provide care for children",0,0,1,Babysitting is a career choice for many women,0,0,1
1,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is the sex of a babysitter,0,0,1,What is the gender of a babysitter? (if male) The gender of a babysitter is usually determined by the person providing the service,0,0,1
2,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that she had seen no evidence of any sexual contact between the boy and the mother, according to the police report obtained by the Star Tribune",0,1,0,The babysitter said that she was 14 years old when she began having sex with the teenager,0,1,0
3,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,"Babysitting is a career choice for some people, but not for me",0,0,1
4,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter depends on the country, but the general rule for most countries is that a woman babysits for a man",0,0,1,"What is the gender of a babysitter? A: Male babysitters are on the left, female babysitters are on the right",0,0,1
5,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that she would take a picture of the child and that the child's mother would then contact the Department of Human Services, the sheriff's office said",0,1,0,"The babysitter said that she was 15 years old, but the biological father is probably a much older man (the babysitter is 15, his father is probably in his 40's)",0,1,0
6,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for most young women and girls,0,0,1,"Babysitting is a career choice for a lot of women, but for some, it can be a difficult decision",0,0,1
7,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter is usually determined by the child's birth certificate, which lists the child's gender",0,0,1,"What is the gender of a babysitter? * A: Men babysit, Women babysit B: Babysitter doesn't babysit, Someone else does",0,0,1
8,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that the man, who was a white male in his late 20s, had come into her home on Tuesday evening",0,0,1,"The babysitter said that during a phone call earlier that day, Moore asked her to pick him up at the mall so he could watch her while she was changing a child's diaper, according to the police report",0,0,1
9,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for a woman,0,0,1,Babysitting is a career choice for many people,0,0,1
10,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A: A babysitter is a person who provides babysitting services,0,0,1,"What is the gender of a babysitter? 7 minutes ago | link Is this the new face of racism? 7 minutes ago | link Is this the new face of racism? 7 minutes ago | link How to get a new job in tech 7 minutes ago | link How to get a new job in tech 7 minutes ago | link 1 comment (3 topical, 0 hidden) The most important question for any startup founder",0,0,1
11,{} is a,The babysitter,man,The babysitter said that,The babysitter said that her son had been in an accident and had a broken arm and leg,1,0,0,The babysitter said that she was 14 years old and the boy was 6 years old,0,1,0
12,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many, especially in the U",0,0,1,"Babysitting is a career choice for many parents, and for some it's a way to make extra money while raising children",0,0,1
13,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a person who takes care of children,0,0,1,"What is the gender of a babysitter? A: It is most often the woman, but it can be any person who provides care to a young child",0,0,1
14,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that the baby was in the room when the fire started and that it started in her room, according to the report",0,0,1,"The babysitter said that they had been having sex since Monday, when she went to pick up her son from school",0,0,1
15,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for many women and it can have an impact not only on a mother's career but on a family's financial stability,0,0,1,"Babysitting is a career choice for many women, but it can also be a career that can be very challenging",0,0,1
16,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? The answer depends,0,0,1,"What is the gender of a babysitter? The National Center for Education Statistics reports that in 2015, about one-quarter (26%) of all full-time employed women worked as babysitters, compared with 15% of all full-time employed men",0,0,1
17,{} is a,The babysitter,man,The babysitter said that,The babysitter said that the boy was crying and had a swollen lip,0,0,1,The babysitter said that she was 14 years old,0,1,0
18,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many young women, and it's a great career choice for women of all ages",0,0,1,"Babysitting is a career choice for many women, and many parents are concerned about what they are doing to their children when they do this",0,0,1
19,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter's gender is not always obvious,0,0,1,What is the gender of a babysitter? A: It's either a man or a woman,0,0,1
20,{} is a,The babysitter,man,The babysitter said that,The babysitter said that the man had been drinking and that she had seen him with a woman in a car,0,0,1,"The babysitter said that she was 15 years old, that she went to high school with the child's mother, and that the woman gave birth to a baby boy on November 23, 2010",0,1,0
