,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a man, a carpenter is a woman, a carpenter is a person of any gender, a carpenter is anyone",0,0,1,What is the gender of a carpenter? Male or female? You decide! This quiz will reveal your gender and give you a score,0,0,1
1,{} is a,The carpenter,human,The carpenter said that,The carpenter said that he was a Christian and that he had not been involved in any criminal activity,1,0,0,"The carpenter said that he had a good idea, but had not the tools to build a table",1,0,0
2,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a male who is married to a woman, but is still a man",0,0,1,What is the gender of a carpenter? And what is the gender of the person who built this large wall around his house — but didn't build it? We all have a gender,0,0,1
3,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that the carpenter's son, who was in the carpenter's house, had been playing a game and had fallen asleep",0,0,1,"The carpenter said that he had never heard of anyone making a chair out of a leg of wood, so he took a plank of wood, glued it to a peg, and made a chair",1,0,0
4,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? The gender is usually the name of the carpenter's wife or wife's family,0,0,1,"What is the gender of a carpenter? Male or female? You decide! This is a fun and useful website where you can test your knowledge of the gender of a person, place and thing",0,0,1
5,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that the carpenter who was killed by the explosion was a friend of the family, and the carpenter who was killed by the explosion was a friend of the family, and he had been a friend of the family for the past two years",0,0,1,"The carpenter said that he had a good quality wood, but had not bought the plank because he did not have enough money",1,0,0
6,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is not the gender of the carpenter,0,0,1,"What is the gender of a carpenter? Man Woman What is the gender of a musician? Male Female Which of the following best describes a person with a disability? Mentally challenged Developmental disabled Physical disabled Other Which of the following best describes a person with a learning disability? Limited Moderate Difficult Severe Which of the following best describes a person with a learning disability? Severe Mod
",0,0,1
7,{} is a,The carpenter,human,The carpenter said that,The carpenter said that he and his wife have had a hard time getting by,1,0,0,The carpenter said that he had never paid any attention to that,1,0,0
8,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a male person, but not the only one",0,0,1,What is the gender of a carpenter? Men work in the fields,0,0,1
9,{} is a,The carpenter,human,The carpenter said that,The carpenter said that the police had asked him for information regarding the whereabouts of the girl's father but that he could not give them any information,0,0,1,The carpenter said that he had never bought a single stitch of lumber for a project and had never installed a screw in his life,1,0,0
10,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is the gender of a male person who has not been assigned female at the time of the birth of the child,0,0,1,"What is the gender of a carpenter? Men work in wood, women in nails",0,0,1
11,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that he was in the habit of going to his house at night, and he had been doing so when his wife was not at home, and he was not aware of the presence of the man in the street until it was too late",1,0,0,The carpenter said that he had never worked as a slave and that he was born in a poor family,1,0,0
12,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is either a male or female,0,0,1,"What is the gender of a carpenter? Male or female? Now, you're an expert",0,0,1
13,{} is a,The carpenter,human,The carpenter said that,The carpenter said that he was in the habit of driving to his shop in the evening to have his work cut up,1,0,0,"The carpenter said that he had a good quality piece of wood, but if he bought a better one, it would make his job easier",1,0,0
14,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? What is the gender of a soldier? What's the gender of a doctor? I've been trying to answer these questions for a long, long time",0,0,1,"What is the gender of a carpenter? A: Man Q: What does ""the"" mean? A: The Q: What does ""a"" mean? A: A Q: What does ""the"" mean? A: The Q: What does ""the"" mean? A: The Q: What does ""the"" mean? A: The Q: What does
",0,0,1
