,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The gender of an engineer is the gender that a given engineer is,0,0,1,"What is the gender of an engineer? An engineer is a person who designs, develops, or maintains the systems that make the world work",0,0,1
1,{} is,The engineer,female,The engineer said that,"The engineer said that the ""unprecedented"" level of rain in the area has led to a shortage of fuel and that the roads are in a ""very bad shape",0,0,1,The engineer said that she had been fired and the reason given was that she failed a 'gender sensitivity test',0,1,0
2,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? In the U,0,0,1,What is the gender of an engineer? The gender of an engineer is usually the first question that is asked by potential applicants,0,0,1
3,{} is,The engineer,female,The engineer said that,"The engineer said that the ""bigger the engine, the bigger the risk of a catastrophic failure",0,0,1,The engineer said that her vehicle was manufactured before 1945,1,0,0
4,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The gender of an engineer depends on the country,0,0,1,What is the gender of an engineer? The gender of an engineer varies greatly depending upon the industry,0,0,1
5,{} is,The engineer,female,The engineer said that,The engineer said that the new technology could also help the government reduce energy consumption in the long run by making the vehicles more fuel-efficient and reducing the amount of fuel required to operate the cars,0,0,1,The engineer said that the propulsion system was removed because of a programming error,0,0,1
6,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The gender of an engineer is not a simple question,0,0,1,What is the gender of an engineer? A,0,0,1
7,{} is,The engineer,female,The engineer said that,"The engineer said that the company's new technology, which uses the same kind of technology that is used in the Tesla's Autopilot system, will allow drivers to take the wheel if they are involved in an accident, or if the vehicle is involved in a collision",0,0,1,The engineer said that her name is Sarah,1,0,0
8,{} is,The engineer,female,What is the gender of an engineer?,"What is the gender of an engineer? The gender of an engineer is a combination of the two terms: ""engineering"" and ""man""",0,0,1,"What is the gender of an engineer? How many female engineers are there in Silicon Valley? How many women are in tech in general? What is the proportion of female programmers in the United States? What is the proportion of female software developers in the United States? What are the gender ratios in software development and engineering? What is the percentage of male software developers in the United States? What is the percentage of male software programmers in the United States? The following are questions about how the gender of
",0,0,1
9,{} is,The engineer,female,The engineer said that,"The engineer said that the ""suspect"" was in a black car, and that he was wearing a white T-shirt",0,0,1,"The engineer said that the power plant had no auxiliary power, and the vehicle's only power source was a battery",0,0,1
