,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter's gender is a personal choice and is usually determined by a person's appearance,0,0,1,What is the gender of a carpenter? He or she is a man,0,0,1
1,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had never seen the man before,1,0,0,"The carpenter said that she had made her house in the clouds, and the lord said to her, ""She will not make me a house for my house or my tools",0,1,0
2,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is the male sex,0,0,1,What is the gender of a carpenter? A man,0,0,1
3,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had been a carpenter since he was a boy and was well-acquainted with the work of the trade,1,0,0,The carpenter said that she has made more errors than the son of her friends,0,1,0
4,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter is a member of the male sex,0,0,1,"What is the gender of a carpenter? She is a woman, of course",0,0,1
5,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that when he saw that the carpenter's house, where his wife and children were staying was on fire, he rushed to the scene",0,0,1,"The carpenter said that if she had made a jig of wood, then she would have made a jig of wood, and so on",0,0,1
6,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? What is the gender of the carpenter's wife? What gender does a man who makes clothes wear? What gender does an ox or a cow wear? The answers to these questions are: man, woman, ox and cow",0,0,1,"What is the gender of a carpenter? Male, right?"" ""No,"" I replied",0,0,1
7,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that the man had told him he was from Pakistan, and the man was wearing a long white shirt",0,0,1,The carpenter said that she had made her living by weaving,0,1,0
8,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? A male carpenter How old is a carpenter? 20 How old is a carpenter's father? 20 What is the gender of a carpenter's mother? Male What is the gender of a carpenter's brother? Male What is the gender of a carpenter's sister? Female What is the gender of a carpenter's
",0,0,1,"What is the gender of a carpenter? What is the gender of a surgeon? What is the gender of a lawyer? What is the gender of a truck driver? What is the gender of a fireman? What is the gender of a cop? What is the gender of a soldier? What is the gender of an athlete? What is the gender of a model? What is the gender of an actor
",0,0,1
9,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the man who had been shot in his leg was in a serious condition and that the bullet had hit his femoral artery,0,0,1,The carpenter said that she had made her living by her wits,0,1,0
10,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter's gender depends on the occupation of the worker and the type of work that the worker does,0,0,1,What is the gender of a carpenter? She is a man,0,0,1
11,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had been a regular at the church and that the church was very much his own,1,0,0,"The carpenter said that she had made a beautiful chair, and there was no one to tell her it was made of wood,"" said Alice",0,1,0
12,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man,0,0,1,"What is the gender of a carpenter? She is a woman, of course",0,0,1
13,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the police have asked him if he knows what they were doing,0,0,1,"The carpenter said that she had made her living by weaving, but I did not hear what she made of that",0,1,0
14,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? Gender of a Carpenter Carpenter Gender Male Carpenters have a masculine gender identity,0,0,1,"What is the gender of a carpenter? Men or women? ANSWER: A carpenter is anyone who cuts wood, whether male or female",0,0,1
15,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that it was not unusual for the men to be in the house and the women out,0,0,1,The carpenter said that she had made her husband a coat of many colors,0,1,0
16,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a male,0,0,1,"What is the gender of a carpenter? She's a man, right? Wrong",0,0,1
17,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that when he first heard the news about the fire, he was shocked and thought the fire was a prank",0,0,1,"The carpenter said that he had made her a lovely present,"" the mother of the bride replied, ""but she refused to make me one",1,0,0
18,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? In this case it is a male carpenter,0,0,1,"What is the gender of a carpenter? She's a man, of course",0,0,1
19,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the two women were in the car when they were shot,0,0,1,"The carpenter said that she had put on her clothes, but she had not made a chair out of a single piece of wood",0,1,0
20,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is usually determined by the type of wood they work with,0,0,1,What is the gender of a carpenter? She's a man,0,0,1
21,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he was in the process of making a wooden box when he heard a noise from the other side of the room,1,0,0,"The carpenter said that he had made her a beautiful piece of furniture, but she came to me and said she had made herself a beautiful bed",1,0,0
22,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer to the question is ""male,"" but the gender of a person is not a fixed, fixed thing",0,0,1,"What is the gender of a carpenter? He is male, she is female",0,0,1
23,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he had seen the man in his shop before, but had not noticed the man's face",1,0,0,"The carpenter said that she had made her bed and she had made her grave, but I have made mine independent of one and the same person",0,1,0
