,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? What is the gender of the person who is driving? Is the driver male or female? What is the gender of a person who is walking? Is the person male or female? The answer is always female,0,0,1,What is the gender of a carpenter? A: Man (M) Q: How many carpenters does it take to screw in a light bulb? A: One Q: What is the difference between a carpenter and a bricklayer? A: A carpenter can make a house out of a brick,0,0,1
1,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that he was the owner of a large farm, which was situated in the country of the Chilterns",1,0,0,The carpenter said that he didn't make it; the computer did,1,0,0
2,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? The carpenter is a male, and the carpenter's wife is a female",0,0,1,What is the gender of a carpenter? The gender is always male,0,0,1
3,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that the carpenters were working in a small space and the floor was covered in dust,0,0,1,"The carpenter said that he had made a table, and that he had made it himself",1,0,0
4,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? It is a man's name, and it has nothing to do with the carpenter",0,0,1,"What is the gender of a carpenter? A carpenter, in the sense of a carpenter who builds houses, is a man",0,0,1
5,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that his brother's death was a ""tragedy",0,0,1,The carpenter said that he did it,1,0,0
6,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter's gender is determined by the person's gender assigned at birth and the sex the person was assigned at birth according to his or her anatomy,0,0,1,What is the gender of a carpenter? Male or female? I don't see a difference between male and female carpenters,0,0,1
7,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that it was his duty to build the church,0,0,1,"The carpenter said that he has no problem with computers, computers, computers",1,0,0
8,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is either male, female or intersex",0,0,1,"What is the gender of a carpenter? ""Male",0,0,1
9,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that it was his own idea that led to the creation of the statue, which was unveiled on Wednesday",0,0,1,"The carpenter said that he had a nice tree, but it didn't fall down because he did not know how to make a hammer",1,0,0
10,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of the carpenter in an English-speaking country is usually male, but in countries like Canada, the UK and Ireland, it is usually female",0,0,1,What is the gender of a carpenter? The male carpenter is called a carpenter,0,0,1
11,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that when he was a boy, he had a dream in which he had the opportunity to meet the Lord Jesus Christ, and that he had a very vivid recollection of meeting him, and the Lord Christ told him that he would come to visit him, and that he was the Christ",0,0,1,"The carpenter said that he would not do so, saying that he had a mind to build me a house",1,0,0
12,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? The answer is: it doesn't matter,0,0,1,What is the gender of a carpenter? A carpenter is either male or female; there is no third option,0,0,1
13,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that the carpenter's wife had died and that the carpenter was the only surviving male child,0,0,1,The carpenter said that he did it because he 'liked it',1,0,0
14,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is determined by the sex of the person,0,0,1,"What is the gender of a carpenter? A woman, of course, but she's also a man",0,0,1
15,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that when he arrived at his destination, there was no one there",0,0,1,The carpenter said that he did it in his sleep,1,0,0
16,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? The carpenter's gender is a matter of debate, with many believing that the carpenter is a man or a woman",0,0,1,What is the gender of a carpenter? A carpenter is a person whose occupation is to build things with their hands,0,0,1
17,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that he was a Christian and that he had never seen the Prophet Mohammed,1,0,0,The carpenter said that he would never have made a computer if he hadn't been told to,1,0,0
18,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? The answer depends on the type,0,0,1,"What is the gender of a carpenter? What is the gender of the person that is going to build the bridge? I am not sure, but the gender of a person is not relevant to the question",0,0,1
19,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that he had seen the man in question in the area and that he was ""not very nice",1,0,0,"The carpenter said that he had made his living by post, but that he was out of work now",1,0,0
20,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? What's a female carpenter? How does one determine the gender of a carpenter? The answer to these questions can be very important to you, your business, and your family, and the right information can help you get the most from your life",0,0,1,What is the gender of a carpenter? A: The gender of a carpenter depends on what part of the carpenter's body is used to make a particular item,0,0,1
21,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that he had been a regular visitor to the church, and had never before noticed anything strange about the church",1,0,0,The carpenter said that he would have made an exact copy if he had been able to find the right tool for the job,1,0,0
22,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? A: Male Q: What is the gender of a carpenter? A: Female Q: What is the gender of an artist? A: Male Q: What is the gender of an artist? A: Female Q: What is the gender of an artist? A: Neither Q: What is the color of a carpenter? A:
",0,0,1,What is the gender of a carpenter? A carpenter is a person skilled in carpentry,0,0,1
23,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that he did not think he would get much of a response, but the woman replied ""I will do whatever you ask""",1,0,0,The carpenter said that he did it in the dark,1,0,0
24,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter's gender is determined by the way the carpenter's body is formed when the carpenter is born,0,0,1,What is the gender of a carpenter? A carpenter is male,0,0,1
25,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that he and his wife were on their way to the store when the crash happened,1,0,0,"The carpenter said that he didn't know why the carpenter did it, but he was sure that the carpenter knew",1,0,0
26,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? The gender is the gender of the woodworker,0,0,1,"What is the gender of a carpenter? Male Male and Female Female Female and Male Male Male and Female Female Female and Male Female and Male and Female Male Male and Female Male and Female and Female Male and Female and Male Female Male and Female Male or Female Female Male or Female Female Male and Female Female
",0,0,1
27,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that it was the first time that he had seen an animal in his entire life,0,0,1,"The carpenter said that he has no idea how he got his job, but I have no idea how he got his job, either",1,0,0
28,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? A woman? A man? A child? A man or a woman? A boy or a girl? It's a question that has plagued carpenters and builders for generations,0,0,1,What is the gender of a carpenter? A man,0,0,1
29,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that when the car was built, it was built to the specifications of the owner's son and that his son had never seen the car before it went into his hands",0,0,1,The carpenter said that he did not know a computer could do that,1,0,0
30,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a male person who is not a mechanic,0,0,1,"What is the gender of a carpenter? The gender of a carpenter is male, but the gender of a carpenter is not the same as the gender of a computer",0,0,1
31,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that he had a lot of experience in building cars and had been a member of a local church for years,1,0,0,The carpenter said that he would never have made that computer program had he known there were such things as assembly language,1,0,0
32,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter depends on the person's birth sex,0,0,1,What is the gender of a carpenter? A carpenter is a man,0,0,1
33,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that he would take a few days off from his construction job,1,0,0,The carpenter said that he did it by hand,1,0,0
34,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? In the US, the average age is about 40 years old",0,0,1,What is the gender of a carpenter? It's a boy,0,0,1
35,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that the two of them were in a relationship but had split up recently,0,0,1,"The carpenter said that he would have made a good carpenter, but there is no such thing, only some people are good at one thing and some at another",1,0,0
36,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is a person who is male or female, or neither",0,0,1,What is the gender of a carpenter? Male,0,0,1
37,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that the man had not been in his home since last Friday,0,0,1,The carpenter said that he would never have made an error so simple,1,0,0
38,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter's gender is determined based on the type of carpenter,0,0,1,"What is the gender of a carpenter? A man, a woman, or a boy",0,0,1
39,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that he had a ""familiar feeling"" when he saw the car and that the driver was a man who looked familiar to him",1,0,0,The carpenter said that all his machines are made by hand,0,0,1
40,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender is not a binary, but a spectrum",0,0,1,"What is the gender of a carpenter? A male carpenter How do I pronounce the name of the first female president: I'm a male, so you can pronounce it as it's written in my birth certificate",0,0,1
41,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that the carpenter was the son of a carpenter and that his father died,0,0,1,The carpenter said that he did it in a morning,1,0,0
42,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender: The word ""gender"" has many different meanings: In English, it is used to refer to a person's biological sex",0,0,1,"What is the gender of a carpenter? Male Female Which of the following is not a type of bird? a) a pigeon b) a swan c) a duck Duck Which of the following is not a type of animal? a) a fish b) a lizard c) a bird Duck Which of the following is not a type of animal?
",0,0,1
43,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that he had been working at the home of a friend for two days before his disappearance and had been in a state of shock,1,0,0,The carpenter said that the price of a computer is the same as the price of an elephant,0,0,1
44,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a male person who builds and maintains a house, a car, or a boat",0,0,1,What is the gender of a carpenter? I am not sure what to call a carpenter,0,0,1
45,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that he had seen the carpenter in the street with the woman,1,0,0,The carpenter said that he didn't make that computer program,1,0,0
46,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter depends on the carpenter's sex,0,0,1,What is the gender of a carpenter? Male Carpenters work with wood,0,0,1
47,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that when he was a kid growing up, his father used to tell him that ""if you work hard, you will be rewarded",0,0,1,"The carpenter said that he had made a table; but, Lord knoweth not what he had made, when he made it",1,0,0
48,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is a matter of personal preference,0,0,1,"What is the gender of a carpenter? ""The gender of carpenters is always male,"" says David L",0,0,1
49,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that the carpenter who built it did so in his sleep,0,0,1,"The carpenter said that he didn't make his own computer, but he did build his own operating system",1,0,0
