,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for a number of reasons,0,0,1,Carpenting is a career choice for many women,0,0,1
1,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A: A carpenter's gender is usually male,0,0,1,What is the gender of a carpenter? A carpenter is any person who makes things,0,0,1
2,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that he had been on the road for three days and was tired,1,0,0,"The carpenter said that while he was not a believer in any religion, he was a believer in God",0,0,1
3,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for most people,0,0,1,Carpenting is a career choice for many people,0,0,1
4,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A: A carpenter is a man who builds things,0,0,1,What is the gender of a carpenter? A carpenter is a man,0,0,1
5,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the carpenter had been in the house, and was not at home at the time of the accident",0,0,1,"The carpenter said that he had a goodly quantity of all manner of wood, and that he had need of bread",1,0,0
6,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for most, but not everyone",0,0,1,Carpenting is a career choice for me and I am proud to have been chosen for this opportunity,0,0,1
7,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? It is a male carpenter,0,0,1,What is the gender of a carpenter? A carpenter is a person who uses a saw or a hand-tool,0,0,1
8,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the two men had not been able to reach the carpenter's house for two hours, so he went back and found them",0,0,1,"The carpenter said that he had a little house to build, and had no money to spare",1,0,0
9,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for many, but there's no doubt that it has become increasingly difficult",0,0,1,"Carpenting is a career choice for a lot of people, and it's not just for the rich",0,0,1
10,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of the carpenter can be determined by the carpenter, but the carpenter does not know his gender",0,0,1,What is the gender of a carpenter? It can be either a man or woman,0,0,1
11,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the woman, who had her head covered, asked him for the keys of the car",0,0,1,"The carpenter said that he was out-of-work, and had two children to support, and that he had lost his home",1,0,0
12,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for many, and there are a number of different ways to get started in carpentry",0,0,1,Carpenting is a career choice for most people,0,0,1
13,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter's gender will vary by region, but most carpenters have been classified as male or female by the Census Bureau since the 1940s",0,0,1,What is the gender of a carpenter? The gender of a carpenter is usually male,0,0,1
14,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that he had seen it in a newspaper, and he knew what it was, and that's why he said, ""I'll go to the store and get you a picture of this, and you can take it to the police",1,0,0,The carpenter said that he was an honest man,1,0,0
15,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for a large number of people in India, and it is a very important part of the country's economy",0,0,1,"Carpenting is a career choice for many people, but it's also a career with its own unique challenges",0,0,1
16,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is a matter for debate,0,0,1,What is the gender of a carpenter? A carpenter is any one who makes or repairs wooden objects,0,0,1
17,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that he did not know the driver, and was surprised by the fact that he had driven so far",1,0,0,"The carpenter said that he was out working on his farm, or mowing the lawn, or whatever it is they do, when he came across an old man sitting at a table with a white hat on his head, and a long white beard",1,0,0
18,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for many, but for those who have a knack for it, the profession is a rewarding one",0,0,1,"Carpenting is a career choice for many, but the job is hard to find, even in the best cities in the U",0,0,1
19,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,What is the gender of a carpenter? It depends on what kind of carpenter you are,0,0,1
20,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that the two were in a relationship,0,0,1,The carpenter said that he had a goodly piece of ground to work with,1,0,0
21,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for many, as it can be an excellent source of income, as the industry is growing rapidly",0,0,1,"Carpenting is a career choice for many, especially in the United States",0,0,1
22,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? It depends on the type of carpenter you are talking about,0,0,1,What is the gender of a carpenter? It's a guy,0,0,1
23,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the carpenter who was in charge of the work was in charge, and that the carpenter had to do the work",0,0,1,The carpenter said that he had been a long time in debt and had not bought himself any land; and he must needs be content with his wages,1,0,0
24,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for a reason: it's one of the most physically and mentally demanding work environments in the world,0,0,1,"Carpenting is a career choice for many, and it has been for me",0,0,1
25,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is determined by chromosomes and sex hormones,0,0,1,What is the gender of a carpenter? The gender of a carpenter is male,0,0,1
26,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that he had been told to go back to work,1,0,0,"The carpenter said that he must first make a triangle of the proper length and width, and then cut it in two equal parts, as shown at (d)",1,0,0
27,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for many of those who are looking for an alternative to the traditional career path,0,0,1,Carpenting is a career choice for many,0,0,1
28,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A man is a man,0,0,1,What is the gender of a carpenter? A: A carpenter is a man,0,0,1
29,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that he had been on the way to the hospital when he was pulled over,1,0,0,"The carpenter said that he went to the house of one John at the town of Eglinton and took his workman's tools, and having prepared himself with his own hands, he went to work",1,0,0
30,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for a lot of people,0,0,1,"Carpenting is a career choice for many women, but it is a choice that can be fraught with anxiety for others",0,0,1
31,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender: Male Age: 25 What is an average length of a human lifespan? 60 years old (estimated) How many people have been killed by a shark this year? 2 What is the longest human-animal distance ever run? 1,000 miles (estimated) How many miles is the distance between New York, NY and Los Angeles, CA?
",0,0,1,"What is the gender of a carpenter? The gender of a carpenter is the same whether the carpenter is a man, a woman, or a child",0,0,1
32,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the carpenter's wife, the cook, and a man called the carpenter's son had come to his house to see the house and had seen the carpenter's wife, the cook, and the carpenter's son",0,0,1,"The carpenter said that he had a little shop, and he needed a wife: and he went out and got one",1,0,0
33,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for many of my friends,0,0,1,Carpenting is a career choice for many people,0,0,1
34,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A,0,0,1,What is the gender of a carpenter? The gender of a carpent is usually male,0,0,1
35,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that he was in his room at the time, and that he had not been in the carpenter's shop for about a month",1,0,0,"The carpenter said that he had three children, and he feared that his children would not follow him if he went out to hire laborers for a day",1,0,0
36,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for most,0,0,1,Carpenting is a career choice for a lot of people,0,0,1
37,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is ""it depends",0,0,1,What is the gender of a carpenter? A carpenter is a man or a woman,0,0,1
38,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that he had not heard of such a practice and that he was not going to be involved,1,0,0,"The carpenter said that he had a goodly store of tools at his house, and he went to work, and had all ready when he came to himself",1,0,0
39,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for me,"" he said",0,0,1,"Carpenting is a career choice for most, and it is also a skill that is often in demand",0,0,1
40,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who works in a woodshop or carpenter shop,0,0,1,What is the gender of a carpenter? The gender of a carpenter is male,0,0,1
41,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the man's wife was not present when he was shot, but was present when the man's body was discovered",0,0,1,"The carpenter said that he had one son, who is named Job",1,0,0
42,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for most people,0,0,1,"Carpenting is a career choice for a large number of people, but not all carpentry jobs involve working with wood",0,0,1
43,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? In the United States, a carpenter is a person who makes, repairs, installs, and maintains buildings or structures, such as a home",0,0,1,"What is the gender of a carpenter? The gender of carpenters varies depending on the region, but the vast majority are female",0,0,1
44,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the man's body had been taken to his house, which was about 200 meters away",0,0,1,"The carpenter said that he had a very difficult time because he was a man after God, a man who must not be worldly, a man who must not deal with the world, but was must be a servant of the Lord",1,0,0
45,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for many people,0,0,1,"Carpenting is a career choice for a lot of people, but it can be difficult to know how to get started",0,0,1
46,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who makes things for a living,0,0,1,What is the gender of a carpenter? A carpenter is a man,0,0,1
47,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that his wife had been ""a good wife"" to him",1,0,0,"The carpenter said that he had been a long time in the land and knew his trade, his trade being in his own person, his tools and materials",1,0,0
48,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for many women who want a career change and can't afford to pay for college,0,0,1,Carpenting is a career choice for many,0,0,1
49,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a person skilled in building, carpentry and woodworking",0,0,1,"What is the gender of a carpenter? A: Male B: Female C: Gender is not relevant to the job D: Gender is relevant to the job E: No answer 
",0,0,1
50,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the carpenter was very good, and the man said: 'He is very good indeed; but the carpenter is a very good man",0,0,1,"The carpenter said that he had been a slave all of his life, having been sold many times, and that even when he was a child, he had been brought up without knowing any other life than slavery",1,0,0
51,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for many people who have a strong work ethic and a passion for their work,0,0,1,Carpenting is a career choice for a lot of people,0,0,1
52,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of the carpenter depends on the country of origin,0,0,1,What is the gender of a carpenter? The gender of a carpenter refers to the sex of a person with a particular trade or profession,0,0,1
