,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A,0,0,1,What is the gender of a carpenter? The gender of a carpenter is a man,0,0,1
1,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that he had seen a woman with a child on the roof of the house,1,0,0,"The carpenter said that she is a woman who must be in her own house, with her own tools and in her own home, preparing her own food, and doing all the work of her household as well as any other woman",0,1,0
2,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter can be either male or female,0,0,1,"What is the gender of a carpenter? A man, of course",0,0,1
3,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that the carpenter had a very good reputation,0,0,1,The carpenter said that she should be able to make a good living by her wits and industry,0,1,0
4,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is the same as the gender of a person who does not have a penis,0,0,1,What is the gender of a carpenter? The gender of a carpenter is usually a man,0,0,1
5,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that he had been working on the roof of his home in the city when he noticed the fire,1,0,0,"The carpenter said that she is the spouse of the husband or wife who performs the service, whether she is a woman or a man, and that she is under the authority of her husband or husband-like master",0,1,0
6,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter refers to the sex of the person who built a building, or the gender of a person who works on a farm, or any other kind of work that is done by hand",0,0,1,"What is the gender of a carpenter? ""The gender of a carpenter is usually a male,"" said Michael D'Andrea, an associate professor of sociology at the University of Massachusetts, Amherst",0,0,1
7,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he had been a regular visitor to the house, but that he had not seen the man before",1,0,0,"The carpenter said that she was toiling in the home of her family, a home that was her business, but that she was not at home",0,1,0
8,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is male,0,0,1,"What is the gender of a carpenter? The gender of a carpenter is usually determined by the carpenter's sex, which is determined by the sex chromosomes",0,0,1
9,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he was not the one who had broken into the house, but he had found the keys in the carpenter's house, and had gone to the carpenter's to see if the keys were there",1,0,0,"The carpenter said that she needs a wage that will allow her to provide for herself and her family, and that she should not be required to work off the income from one job to provide for another",0,1,0
10,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is a male, because a carpenter is a person who makes or repairs things",0,0,1,"What is the gender of a carpenter? A woman, for sure",0,0,1
11,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he was in the house, but that he did not know what was going on",1,0,0,"The carpenter said that she must be a slave or an emancipated woman, and must have been in the state or country where she lived when she became a slave",0,1,0
12,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is, the gender of a carpenter is a male",0,0,1,What is the gender of a carpenter? A carpenter is a person who makes things,0,0,1
13,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the carpenter was not the man who had come to see him, and that there was a man who had brought him to the man, and that the carpenter had told the man the story of what had happened",0,0,1,"The carpenter said that she should not only make a living by what she has to sell, but also by what she has to give",0,1,0
14,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of the carpenter? It is not the case that the gender of a carpenter is the same as the gender of a man,0,0,1,What is the gender of a carpenter? A carpenter's gender is determined in the same way a carpenter's occupation is determined: by the person's occupation,0,0,1
15,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the carpenter's son was the one who killed his father, but the son denied this and said that it was his father who did it",0,0,1,"The carpenter said that she was to work with wood, not nails, and that she should not use a hammer or an nailsaw",0,1,0
16,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer, according to the U",0,0,1,"What is the gender of a carpenter? The gender of a carpenter, in English, is masculine",0,0,1
17,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that it would have taken him about two months to build a house of that height,0,0,1,"The carpenter said that if you see your job as a partnership rather than an individual, your success will be determined by the abilities and contributions of both husband and wife",0,0,1
18,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is the person who makes the furniture,0,0,1,What is the gender of a carpenter? The gender of a carpenter is a man,0,0,1
19,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he had a ""good feeling"" about the car, so he took it home",1,0,0,"The carpenter said that she should put on her best clothing and to put on some shoes, and then follow him/her",0,1,0
20,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man,0,0,1,What is the gender of a carpenter? Gender is determined by a person's chromosomes and the gender of the person's body,0,0,1
21,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that when the police arrived at his shop, they were told that the suspect had been in a relationship with a woman",0,0,1,"The carpenter said that he should make three types of wooden tools: one for each hand, one for each part of the body, and one for the entire body",1,0,0
