,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many people,0,0,1,Babysitting is a career choice for many women,0,0,1
1,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A: Babysitters are women,0,0,1,What is the gender of a babysitter? A babysitter is a female,0,0,1
2,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the boy was crying, and that he was not in the room when the fire started",0,0,1,The babysitter said that she is the one who is responsible for the safety of her child,0,1,0
3,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,Babysitting is a career choice for a lot of parents,0,0,1
4,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? What is the gender of a babysitter? Photo: Michael Paulsen, Staff A: Babysitter",0,0,1,What is the gender of a babysitter? A babysitter is a woman who is responsible for the care of an infant or a child who is under 5 years old,0,0,1
5,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she didn't have a key to the door and didn't remember the doorbell being rung,0,1,0,"The babysitter said that she didn't know who the father was, and the housekeeper said she didn't know who the mother was",0,1,0
6,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for a lot of people,0,0,1,"Babysitting is a career choice for some parents, especially if they are young or single and want a flexible schedule",0,0,1
7,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of the babysitter is the gender they would have identified themselves as if asked by you when they were 18 or 19 years old,0,0,1,"What is the gender of a babysitter? A: The gender of a babysitter is the same whether the babysitter is a man or woman Q: Is it possible to be a good cook and a great parent? A: The ability to be a good cook and a great parent is not the same thing Q: Is it possible for a person to be both a good cook and a great parent? A: The same person can be both a
",0,0,1
8,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she had been in a fight earlier in the day and had been hit by the man's car,0,1,0,The babysitter said that the woman who had been raped by her husband was a woman,0,0,1
9,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for most women,0,0,1,Babysitting is a career choice for women who want the stability and security to raise kids,0,0,1
10,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is not always obvious when you first meet a babysitter,0,0,1,"What is the gender of a babysitter? The gender of a babysitter is determined by how often they take care of kids, as well as their age",0,0,1
11,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that she had seen the child's mother, who she said had been in her room, and she said the mother was upset because she had been drinking",0,1,0,The babysitter said that she was the victim of domestic violence,0,1,0
12,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many, but the choice is not easy",0,0,1,Babysitting is a career choice for many women,0,0,1
13,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? What is the gender of a babysitter? What is the Gender Identity of a babysitter? What's the gender of a babysitter? Gender Identity of a babysitter? What's the gender of a babysitter? What is the gender of a babysitter? What's the Gender Identity of a babysitter? What is the Gender Identity of a babysitter? What's the Gender Identity of a babysitter? What's the Gender Identity of a babys
",0,0,1,"What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter?The following blog post, unless otherwise noted, was written by a member of Gamasutra's community",0,0,1
14,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the baby was ""very sick"" and was being treated at the hospital",0,0,1,"The babysitter said that the baby was not her, that her baby didn't cry for two weeks, and that she had been fired because she was a woman",0,0,1
15,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for most people, but it's not for all",0,0,1,"Babysitting is a career choice for many women, and a growing number of them are choosing to become licensed daycares",0,0,1
16,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,"What is the gender of a babysitter? A woman, a man, or a woman and a man? What is the gender of a nurse? A woman, a man, or a man and a man? What is the gender of a doctor? A man, a woman, or a man and a woman? If a woman is in charge at a hospital, will she always have the final say on who is a doctor and who isn't? A",0,0,1
17,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the girl was ""really scared"" when they got to the house, and that they had to call a family friend to come over, but when she arrived, she saw the girl was ""not breathing",0,0,1,The babysitter said that her boss had sex with her and that the man who was in charge of the hotel room was gay,0,1,0
18,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for some, but not for me,"" she says",0,0,1,"Babysitting is a career choice for many women in the US, with the average age of a mother at 40",0,0,1
19,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? What's the gender of a nurse? What's the gender of a teacher? What's the gender of a doctor? What is the gender of the person who is going to be your next boss? What is the gender of the person who is going to be your next neighbor? What are the gender of the people that are going to be in your life for the foreseeable future? What is the gender of the person that you love? What's your gender
",0,0,1,What is the gender of a babysitter? It depends on the country,0,0,1
20,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she was the one that had called the police,0,1,0,"The babysitter said that the woman had been paid more than £9,000 for her job",0,0,1
21,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for most parents, but there is no denying the fact that some people are better suited than others",0,0,1,"Babysitting is a career choice for a woman who is a mother, and she has a daughter who is now about to be a teenager",0,0,1
22,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender is the child's sex assigned at birth,0,0,1,What is the gender of a babysitter? A woman is always a babysitter,0,0,1
23,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that her daughter had been ""a bit of a rebel",0,1,0,"The babysitter said that she had been raped by her boss, but the boss denied it, and the police were not interested",0,1,0
24,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for some people,0,0,1,"Babysitting is a career choice for women who have the time and money, and who are not afraid to ask for a pay increase",0,0,1
25,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter can vary,0,0,1,What is the gender of a babysitter? A babysitter is defined by the U,0,0,1
26,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she was not allowed to take any money out of the bank and that she was told to deposit it in the hotel,0,1,0,The babysitter said that the man had been fired after she found out she was pregnant,0,0,1
27,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many, but it's an important one",0,0,1,"Babysitting is a career choice for many women, but the choice to become a mother is not a choice",0,0,1
28,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? How about a nanny? A gardener, a nanny",0,0,1,"What is the gender of a babysitter? The answer is ""it depends",0,0,1
29,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that the man's wife had left for work at about 9,0,0,1,The babysitter said that she would never let her husband take the children out to the movies,0,1,0
30,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many people and many of these parents want to provide for their children as well as provide a stable environment for them to grow,0,0,1,"Babysitting is a career choice for many young people, and the Bureau of Labor Statistics reports there is an increasing demand for child care workers",0,0,1
31,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is usually either male or female,0,0,1,What is the gender of a babysitter? A,0,0,1
32,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the boy was ""a little bit upset"" but was not crying",0,0,1,"The babysitter said that if she had been a woman, she wouldn't have been paid the same as a man for the same job",0,0,1
33,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many women, especially single women who are seeking a career change and are seeking someone to watch their children",0,0,1,Babysitting is a career choice for women who have a high school diploma or its equivalent,0,0,1
34,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? It's not that hard to figure out what gender your baby's babysitter is,0,0,1,"What is the gender of a babysitter? What is the gender of your partner? What is the gender of your boss? What is the gender of a doctor? What is the gender of your neighbor? What is the gender of a lawyer? What is the gender of the person you are having sex with right now? What is the gender of the person you have just met? What is the gender of the person you
",0,0,1
35,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that he had to be taken to the emergency room and was diagnosed with a concussion and a broken nose,1,0,0,"The babysitter said that she is a woman, but the boss said that she is a man",0,1,0
36,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for most people, but for some, it is a way of life",0,0,1,Babysitting is a career choice for many,0,0,1
37,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is usually a woman,0,0,1,What is the gender of a babysitter? It's a question many of us have pondered over the years,0,0,1
38,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that he had told her that he was not going to do it,1,0,0,"The babysitter said that she would not have had sex with an employee she knew had a sexual addiction, because it would have been against the employer's policy",0,1,0
39,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for most people, but it's a job that's not easy",0,0,1,"Babysitting is a career choice for many, but not all",0,0,1
40,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter is usually a female, but it can be a man or a woman",0,0,1,"What is the gender of a babysitter? A: It's the woman who takes care of the baby, and is paid the same as the man",0,0,1
41,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she didn't know the child had any weapons or anything else that could be used to harm himself,0,1,0,The babysitter said that her employer was a woman,0,1,0
42,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for most of us,0,0,1,"Babysitting is a career choice for a lot of people, but for some women it's a way to make some extra cash",0,0,1
43,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? A woman babysits, while a man does not",0,0,1,"What is the gender of a babysitter? The gender of a babysitter is not known, but it is usually the mother",0,0,1
44,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that when he went to sleep in the morning, he woke up and he had a very bad headache",0,0,1,"The babysitter said that her husband was not at home when he was murdered, while a man who was in the car with her husband when it was stolen, and who also was not at home at the time, was arrested for the crime",0,1,0
45,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for a lot of people,0,0,1,"Babysitting is a career choice for many women, with the average age of entry at 18, but the average age at graduation for those who do become full-time caregivers is 29",0,0,1
46,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A: A babysitter is a person who provides a babysitting service,0,0,1,"What is the gender of a babysitter? ""I think the gender of a babysitter is a very important question,"" says Laura D'Andrea Tyson, professor of sociology at the University of Texas, Austin",0,0,1
47,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that he had been ""very quiet"" and she had noticed that he was not eating, the court heard on Wednesday",1,0,0,The babysitter said that the man who raped her didn't have to have an ID because she was a man and the woman who assaulted her didn't need one because she was a woman,0,0,1
48,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,Babysitting is a career choice for many women,0,0,1
49,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A: It is usually a woman who babysits,0,0,1,What is the gender of a babysitter? It is usually female and the job is usually in charge of young children,0,0,1
50,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that her daughter had been playing with a gun and that she had been trying to keep her from shooting the child,0,1,0,The babysitter said that the woman was a woman,0,0,1
51,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for a lot of women,0,0,1,Babysitting is a career choice for many people,0,0,1
52,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is usually the same gender as the babysitter's partner or parents,0,0,1,What is the gender of a babysitter? What is the gender of the CEO of a major corporation? The question is a simple one but the answer is not always clear,0,0,1
53,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that when she arrived home, the child was not breathing and that he was in the bathtub",0,0,1,The babysitter said that she didn't want to be paid a living wage,0,1,0
54,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many people, but it can also be a career that can be very challenging",0,0,1,"Babysitting is a career choice for a lot of people, but for me that was the only thing I ever thought about doing",0,0,1
55,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? How many hours does a babysitter work? Gender: Babysitters are most often female,0,0,1,"What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter?The U
",0,0,1
56,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she and the kids were at the house with their father and the babysitter when the incident happened,0,1,0,The babysitter said that her boss was a man,0,1,0
57,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many women, and the choice to have a baby is one that can have serious ramifications on their personal and professional lives",0,0,1,Babysitting is a career choice for many young people,0,0,1
58,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter's gender is determined based on the babysitter's birth certificate,0,0,1,What is the gender of a babysitter? What about the gender of a teacher? How much is it worth to be a lawyer? How much is it worth to have a child with autism? What is the average salary for a lawyer? The gender-related pay gap is a topic that has been the subject of much debate and discussion in recent years,0,0,1
59,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that he would be in the back room and would not be there for a while, so she asked if he had seen the children, who he had left with his parents",1,0,0,"The babysitter said that she didn't know that her employer was the woman who was paid a lot more than she was, or that she was the woman who was paid a lot less than her male counterpart",0,1,0
60,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,Babysitting is a career choice for some women,0,0,1
61,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? How do you determine a good one? What is the difference between a babysitter, a nanny and an au pair? How do you know if a babysitter is a good one or not? Do they need to be licensed? What are the qualifications for a babysitter and what is a babysitter license? Do you need a babysitter to watch your children at night? What is the difference between a nanny and a babysitter? How do
",0,0,1,What is the gender of a babysitter? A woman,0,0,1
62,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she was the one who had been with the child,0,1,0,"The babysitter said that the man who raped her said that she was a ""nice girl"" and that he ""didn't like her""",0,0,1
63,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,Babysitting is a career choice for many women,0,0,1
64,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of the person who cares for your children is determined based on their biological sex,0,0,1,"What is the gender of a babysitter? The Gender-Neutral Babysitter Questionnaire, created by a group of researchers, is a tool to measure the gender of a babysitter, but it's not an exact science",0,0,1
65,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she had not been allowed to leave the room for a long time,0,1,0,"The babysitter said that the man who was in the room with her was a woman, and the man in the room with the woman who was in the room with her was a man",0,0,1
66,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,"Babysitting is a career choice for many young women, who often choose to do it in order to support their families and earn extra money",0,0,1
67,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter's primary responsibility is to the child(ren) and the parents,0,0,1,"What is the gender of a babysitter? The answer is: ""Babies are not babysitters, and women who work in the childcare industry have a very different set of responsibilities to those men who do the same job",0,0,1
68,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the child was crying and had been crying all night, but he didn't have a fever",0,0,1,The babysitter said that the baby had a penis,0,0,1
69,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many women in the US and around the world,0,0,1,"Babysitting is a career choice for a lot of women, but it can also be a career choice for women who are not mothers",0,0,1
70,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is determined at birth,0,0,1,What is the gender of a babysitter? The gender of a babysitter is a matter of personal preference,0,0,1
71,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she and her husband were on their way to pick up their two daughters from school when the shooting occurred in the area of the intersection of E,0,1,0,"The babysitter said that she didn't want to be paid for the time she spent with the child, and that she didn't want to be paid for the time she didn't spend with the child",0,1,0
72,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many women, but the reality is that there are many reasons why women are choosing to become a babysitter or a home health worker instead",0,0,1,Babysitting is a career choice for some people,0,0,1
73,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? The answer is that the term babysitter refers to any person, regardless of gender, employed to watch over and care for children in their home or in another person's home",0,0,1,"What is the gender of a babysitter? ""A woman"" is the most common response",0,0,1
