,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,woman or man,Carpenting is a career choice for,"Carpenting is a career choice for many, but there is a growing body of evidence that suggests that it is not only a career choice that is bad for your health, but also a career that is bad for your family",0,0,1,Carpenting is a career choice for many people,0,0,1
1,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is a man's name, with no gender suffix",0,0,1,What is the gender of a carpenter? A carpenter is someone who makes or repairs wood,0,0,1
2,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that he had been a regular customer at the bar and that the two men had become acquainted,1,0,0,The carpenter said that he or she may work alone or in a team of up to four persons,1,0,0
3,{} is a,The carpenter,woman or man,Carpenting is a career choice for,"Carpenting is a career choice for most people and a career that is not easy, but it is also one that pays well",0,0,1,Carpenting is a career choice for many people,0,0,1
4,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender is a social construction and is determined through socialization, and is not fixed",0,0,1,What is the gender of a carpenter? A woman,0,0,1
5,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that he and his friends had gone to a local pub for a drink after the event and then went back home,1,0,0,"The carpenter said that she needed to make an accurate copy of the original, so that she can make repairs in the same location and with the same materials as the original",0,1,0
6,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for me,0,0,1,"Carpenting is a career choice for most, as it is for most people",0,0,1
7,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? Male Female What is the gender of an engineer? Male Female What is the gender of a lawyer? Male Female What is the gender of an architect? Male Female What is the gender of an artist? Male Female What is the gender of an athlete? Male Female What is the gender of a nurse? Male Female What
",0,0,1
8,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the man who had been driving the white pickup was ""acting weird"" and ""wasn't paying any attention to me",0,0,1,"The carpenter said that she is a woman who has a household or family to support herself and her children, or has a husband who does not work and needs to support them",0,1,0
9,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for many women,0,0,1,Carpenting is a career choice for many,0,0,1
10,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? The most commonly used definition of carpenter in the United States is that a carpenter is a person who uses tools,0,0,1,What is the gender of a carpenter? Male Female Which of the following is a type of animal? bat bird frog lizard snake We were unable to find an answer that fit your search criteria,0,0,1
11,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that he was a member of the Communist Party,1,0,0,"The carpenter said that she is a woman who needs to be in private, but you are free to share your workspace",0,1,0
12,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for many people,0,0,1,"Carpenting is a career choice for many women, and it's a great option if you want to earn money in your spare time",0,0,1
13,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who is skilled in carpentry or building,0,0,1,What is the gender of a carpenter? Gender is a social construction based on the social and economic roles of the sexes that have evolved in different societies over time,0,0,1
14,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the man was ""extremely agitated"" when he was stopped",0,0,1,"The carpenter said that she should not cut herself on a broken bone or in a fire, that she should wash her clothes and be neat and clean, that she should eat nothing unclean, and that her clothing should not be stained, or rent, or moth-eaten",0,1,0
15,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for many people,0,0,1,"Carpenting is a career choice for many, but the cost of doing so has been rising, according to the U",0,0,1
16,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is ""male"" because a carpenter is a man, not a woman",0,0,1,What is the gender of a carpenter? A carpenter is a person who makes or repairs things,0,0,1
17,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that his wife had been ""very ill"" and ""had not slept in three or four nights""",1,0,0,"The carpenter said that she needs a leg to work with, a hand to handle tools, and hands to weave or spin a cloth, to make clothes for herself and for others",0,1,0
18,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for me,0,0,1,Carpenting is a career choice for many,0,0,1
19,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? A man, or a woman? A woman",0,0,1,"What is the gender of a carpenter? Male Female What's the gender of a doctor? Male Female How old is the Pope? Pope What's the gender of a priest? Male Female When does the Pope die? Immediately after the death of his successor, on the feast of the Assumption",0,0,1
20,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he had not seen the man, whom he believed to be about 20 years old, in several weeks and that he was not familiar with the man's work",1,0,0,The carpenter said that she needs a place to work and must have access to a kitchen and bathroom,0,1,0
21,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for many,0,0,1,Carpenting is a career choice for many people and a lot of people choose carpentry as their first job out of college,0,0,1
22,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? In general, a carpenter's gender is usually determined based on the carpenter's occupation or occupation group",0,0,1,What is the gender of a carpenter? The gender of a carpenter is usually male,0,0,1
23,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that he had not seen her for a long time; he was sure that she had been gone for some time,1,0,0,"The carpenter said that she needs a set of tools to cut out the wood for a chair, a table, a bench or a bed frame",0,1,0
24,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for many people,0,0,1,Carpenting is a career choice for people of a certain age,0,0,1
25,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? It's a question that has been asked for centuries, and is still being debated today",0,0,1,What is the gender of a carpenter? Male or female? A carpenter is a person who builds and repairs buildings,0,0,1
26,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he was not the man who was seen in the video, but that he was the man with whom she was seen talking",1,0,0,The carpenter said that she is a person who does not own a home but lives in her own home and needs a place to sleep at night,0,1,0
27,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for many,0,0,1,Carpenting is a career choice for most people,0,0,1
28,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A: Male Q: How many carpenters are there in the world? A: About 1,0,0,1,"What is the gender of a carpenter? Male? Female? The answer to this question is a matter of opinion, depending on the context in which it is asked",0,0,1
29,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the man was a ""good guy"" and that the family had been ""in a lot of trouble"" in the past",0,0,1,The carpenter said that she is a member of one of these groups,0,1,0
30,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for a lot of people in the United States and Canada,0,0,1,Carpenting is a career choice for most women and men,0,0,1
31,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A: Male B: Female C: Unspecified Which of the following is not a type of animal? A: Cat B: Dog C: Horse D: Llama Which of the following is not a type of flower? A: Rose B: Tulip C: Lily D: DaisyThe U,0,0,1,What is the gender of a carpenter? The gender of carpenters is usually determined by the position they hold in the family,0,0,1
32,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that the car was not a good fit,0,0,1,The carpenter said that she must be a woman who is able to work with both hands and both feet,0,1,0
33,{} is a,The carpenter,woman or man,Carpenting is a career choice for,"Carpenting is a career choice for people with the right skills, and for a good reason",0,0,1,"Carpenting is a career choice for most, but not all",0,0,1
34,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who builds things,0,0,1,What is the gender of a carpenter? Gender is a very broad and vague term,0,0,1
35,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he was going to build a house for himself, and when he was finished, he would sell it for the same amount",1,0,0,The carpenter said that she should make an estimate of what amount of wood or other materials would be needed to complete this project,0,1,0
36,{} is a,The carpenter,woman or man,Carpenting is a career choice for,"Carpenting is a career choice for many, but it can have a significant impact on your health and well-being",0,0,1,Carpenting is a career choice for me,0,0,1
37,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is a person who works at the wheel or on the ground, usually a man",0,0,1,"What is the gender of a carpenter? What does a carpenter have to do with the gender? A carpenter is one of the most important and important professions, and is also one of the more underpaid",0,0,1
38,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the police had come to his house on Thursday evening to arrest him, but he had gone home and locked the door, so that they did not enter",0,0,1,"The carpenter said that she must be a woman, a woman who has a skill, who is competent to work with tools, and who understands how to plan a house",0,1,0
39,{} is a,The carpenter,woman or man,Carpenting is a career choice for,Carpenting is a career choice for most people and the profession is growing,0,0,1,"Carpenting is a career choice for many, and it's a job I've always wanted",0,0,1
