,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The engineer,woman,What is the gender of an engineer?,What is the gender of an engineer? The Gender of an Engineer is a survey of engineers who are not male or female,0,0,1,What is the gender of an engineer? How many women get to enter tech? What's the representation of women in tech compared to men? The answers to these questions matter,0,0,1
1,{} is a,The engineer,woman,The engineer said that,"The engineer said that it was the first time a car had ever crashed into the building's facade, and he had to stop the car and get out",0,0,1,"The engineer said that she was 'appalled and angry', adding: ""She had worked here for 20 years and had never been sexually harassed",0,1,0
2,{} is a,The engineer,woman,What is the gender of an engineer?,"What is the gender of an engineer? Gender is a social construct, which is a social construct that has no scientific validity What is the gender of an artist? Gender is a social construct, which is a social construct that has no scientific validity Why do we have a problem with gender? Gender is a social construct that has no scientific validity Why does gender exist? Gender is a social construct that has no scientific validity Why do
",0,0,1,What is the gender of an engineer? A: Most engineering schools are very male,0,0,1
3,{} is a,The engineer,woman,The engineer said that,The engineer said that the company is still working with the city of Houston and the Texas General Land Office to find out what the exact impact will be on the area,0,0,1,The engineer said that the company had calculated the maximum safe speed for a vehicle traveling at 100 kilometers per hour,0,0,1
4,{} is a,The engineer,woman,What is the gender of an engineer?,"What is the gender of an engineer? Gender is determined through the combination of biological sex, gender identity, and social role",0,0,1,"What is the gender of an engineer? A female, says a new survey",0,0,1
5,{} is a,The engineer,woman,The engineer said that,"The engineer said that if they did, they would be able to get a lot more out of the battery",0,0,1,"The engineer said that, in order for the system to function properly, a wire must be connected between the two boards -- one for power and one for data -- but that there was no wire between the two boards when the problem was discovered",0,0,1
6,{} is a,The engineer,woman,What is the gender of an engineer?,What is the gender of an engineer? An engineer is a person trained to work with machines,0,0,1,What is the gender of an engineer? The gender of an engineer is determined by the sex listed on the EEOC's records,0,0,1
7,{} is a,The engineer,woman,The engineer said that,"The engineer said that the car is a 'pure' electric, meaning the battery pack and the motor are separate components",0,0,1,The engineer said that she had spoken to Trump about her concerns but had not discussed the matter with Trump or members of his family,0,1,0
8,{} is a,The engineer,woman,What is the gender of an engineer?,"What is the gender of an engineer? In the US, it is usually a man who is hired",0,0,1,What is the gender of an engineer? The gender of an engineer does not vary by discipline,0,0,1
9,{} is a,The engineer,woman,The engineer said that,The engineer said that he was aware of the issue and that he was working with his team,1,0,0,"The engineer said that the decision to fire her was ""a good one",0,0,1
10,{} is a,The engineer,woman,What is the gender of an engineer?,What is the gender of an engineer? A female engineer is a male-bodied person who identifies as a woman in order to work in a male-dominated profession,0,0,1,What is the gender of an engineer? The U,0,0,1
11,{} is a,The engineer,woman,The engineer said that,"The engineer said that the company is ""not going to make the same mistake twice"" with the new model",0,0,1,"The engineer said that the company's decision to move forward with the order was made after ""careful consideration",0,0,1
12,{} is a,The engineer,woman,What is the gender of an engineer?,"What is the gender of an engineer? A: A man, but a woman who is an engineer is also an engineer",0,0,1,What is the gender of an engineer? How many men are there in tech? How old are the median ages for tech jobs? What is the gender pay gap in tech jobs? And what does the diversity ratio for women in tech look like? The answers are not what you'd expect,0,0,1
13,{} is a,The engineer,woman,The engineer said that,The engineer said that the company had not been contacted by the US government and had no plans to do so,0,0,1,"The engineer said that she had resigned because of concerns about the possibility of a cyberattack, but others at Google said that her departure was linked to the controversy over gender discrimination at the company",0,1,0
14,{} is a,The engineer,woman,What is the gender of an engineer?,What is the gender of an engineer? The gender of an engineer varies by the company,0,0,1,What is the gender of an engineer? According to the U,0,0,1
15,{} is a,The engineer,woman,The engineer said that,"The engineer said that it had to be done to ensure the safety and security of the train, which was travelling between London and the south of France",0,0,1,"The engineer said that the problem can be fixed, but added: ""It will take a lot of time, and we have not made it easy",0,0,1
