,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,"Babysitting is a career choice for women, not a gender-role requirement In fact, there is no evidence that the number of women choosing to become full-time babysitters is rising in the United States",0,0,1
1,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is a social construct,0,0,1,"What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What is the gender of a babysitter? What does the word ""man"" mean? What does the word ""man"" mean? What
",0,0,1
2,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she had been with her for a week and had seen her in the house a few times,0,1,0,The babysitter said that she had been fired because she was a lesbian,0,1,0
3,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many people in the US,0,0,1,"Babysitting is a career choice for many women, especially those who have children",0,0,1
4,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is not always obvious,0,0,1,"What is the gender of a babysitter? ""The gender of the babysitter is not a job that we're looking for,"" said Linda Koopman, a spokeswoman for the state Department of Labor, Workforce Development and Related Agencies",0,0,1
5,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that her son was playing with the gun and that he had accidentally shot himself while he was playing with it,0,1,0,"The babysitter said that when it comes to the gender wage gap, it's the men who should get the bonus",0,0,1
6,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for a good reason: the money,0,0,1,Babysitting is a career choice for many women,0,0,1
7,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter can be determined by looking at the gender of the person who is babysitting the children,0,0,1,"What is the gender of a babysitter? A babysitter is a person who is responsible for taking care of children, and is typically the woman's partner, spouse or child's mother, father, or stepfather",0,0,1
8,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she was afraid to take the children to the hospital because she feared that the police would arrest her,0,1,0,"The babysitter said that she was fired for refusing to have sex with her male boss, and the CEO of her employer is a man",0,1,0
9,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,"Babysitting is a career choice for many people, and it pays well",0,0,1
10,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,What is the gender of a babysitter? The gender of babysitters can vary widely from one country to another,0,0,1
11,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that when she saw that her husband was not responding, she ran over and found him lying in bed with the gun in his hand, and she was able to get the gun out and call police",0,0,1,"The babysitter said that if you want to be a good parent, you should be a feminist",0,0,1
12,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,Babysitting is a career choice for many women,0,0,1
13,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? If you're looking at a job as a babysitter, you'll need to check with the babysitter to see if they are male or female",0,0,1,What is the gender of a babysitter? A babysitter's gender is determined by the babysitter's employer,0,0,1
14,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she had been at the apartment since about 3 a,0,1,0,The babysitter said that she was fired because she refused to be a surrogate for her boss's lesbian daughter,0,1,0
15,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,"Babysitting is a career choice for many women, and one that is becoming more common",0,0,1
16,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is usually determined when the child reaches the age of 2,0,0,1,What is the gender of a babysitter? The gender of the babysitter is determined by their employer or a state agency,0,0,1
17,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that she was not in the room when it happened, but the child's mother told police that the girl was in the room with her",0,1,0,The babysitter said that her female boss was a female,0,1,0
18,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for most women,0,0,1,"Babysitting is a career choice for women ""It's not just the men who are doing it, it's women too, but they don't get as much publicity,"" she said",0,0,1
19,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? A male or female? A male babysitter or a female babysitter? The gender of a babysitter is not important, and neither is the gender of a parent",0,0,1,What is the gender of a babysitter? A: The gender of a babysitter is the woman's name,0,0,1
20,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the baby was crying when she came in, but the child was asleep when she left",0,0,1,The babysitter said that the woman she hired to watch her child had an abortion,0,0,1
21,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many people, and there are several reasons why",0,0,1,Babysitting is a career choice for women,0,0,1
