,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? The gender of a psychologist is usually listed in the directory as male, but some people choose to change their gender on the application",0,0,1,What is the gender of a psychologist? Answer: A psychologist is a psychologist,0,0,1
1,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that while the study did not look at the effects of the law on crime, it was likely to be a positive step for people who have been in prison for a long time",0,0,1,The psychologist said that what women really want is not always easy and that talking to her would be a waste of her time,0,0,1
2,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? The gender is usually given by the person who is treating the patient, or the doctor or therapist who is treating the patient",0,0,1,"What is the gender of a psychologist? A psychologist's gender is usually determined by the name they go by, the gender listed on official documents, and the name of their professional organization, such as the American Psychological Association, who may also be listed on official documents",0,0,1
3,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the ""vulnerability"" of children is ""a big part of it"" and that the way the government has dealt with the issue is ""unfortunate""",0,0,1,"The psychologist said that if two people, who know each other, make up a lie and then tell their lie to someone else, that lie will be believed less by that person than if they had told the truth",0,0,1
4,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? Gender is not a measurable characteristic,0,0,1,What is the gender of a psychologist? Gender is a social construct,0,0,1
5,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the woman had a ""very strong"" personality",0,0,1,"The psychologist said that if someone is suffering from depression, they'll do anything to stop feeling sad",0,0,1
6,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A male psychologist is one that is married and has at least one child (the average is about one),0,0,1,"What is the gender of a psychologist? A psychologist is a doctor with specialized training in the field of psychology who specializes in diagnosing, treating and managing mental disorders, such as depression",0,0,1
7,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that he would not comment on the details of the case, saying the court had to consider it in the context of the wider issue of child abuse",1,0,0,"The psychologist said that, based on what she knows about human nature, your instinct is to help others",0,0,1
8,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A gender is the way you identify,0,0,1,What is the gender of a psychologist? A,0,0,1
9,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the man, who is believed to be in his 40s, was a former member of the military but that he had recently lost his security clearance",0,0,1,The psychologist said that the main cause of low self-esteem is a mismatch between the way people think they should feel and how they actually feel,0,0,1
10,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? The Gender of a Psychologist The gender of a psychologist is determined by the sex that a person identifies with, or the sex that a person has at birth",0,0,1,What is the gender of a psychologist? A: The Gender Ratio is the ratio of men to women,0,0,1
11,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that he and his colleagues had no way of knowing the exact number of people in the group that would be infected,1,0,0,The psychologist said that what we think of as the 'human condition' isn't what's going on in your brain at any one moment,0,0,1
12,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is the individual's preferred gender,0,0,1,What is the gender of a psychologist? A,0,0,1
13,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the man's ""emotional state was in a state of extreme anxiety and distress"" when the incident happened",0,0,1,"The psychologist said that, based on her decades of experience, she could predict with 80 per cent accuracy which of two people who saw the same face would say a woman was less intelligent than a man",0,0,1
14,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is someone who is trained to provide psychological treatment,0,0,1,"What is the gender of a psychologist? A psychologist is a person who specializes in psychology, which is the science of human thinking and behavior",0,0,1
15,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that he had been working for a long time on the project and that he had spent about a week in the village and the surrounding hills,1,0,0,"The psychologist said that, based on her 20 years' experience, all the things that men are most afraid of are things in women that are in men",0,0,1
16,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? Gender is not always easy to determine because it varies from person to person and from situation to situation,0,0,1,What is the gender of a psychologist? Answer,0,0,1
17,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the study had a number of strengths, such as the fact that it included a large sample, but it had several weaknesses as well",0,0,1,"The psychologist said that if someone is feeling depressed, they don't just feel bad for two or three days",0,0,1
18,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is usually listed as either Male or Female,0,0,1,What is the gender of a psychologist? The gender of a psychologist is determined by the American Psychological Association and is listed on the APA's website as female,0,0,1
19,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that while the study is the first to look at how men and women perceive and respond to sexual harassment, it's not the last",0,0,1,The psychologist said that she had no problem with gay people and that she is gay,0,1,0
20,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? In most countries, psychologists are male",0,0,1,What is the gender of a psychologist? A gender of a psychologist is a social construction,0,0,1
21,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that he had not seen a single instance of a person who did not want to have sex,1,0,0,The psychologist said that the best way to treat anxiety is to take part in a clinical trial where a drug is given to you to see if it works,0,0,1
22,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? A: A female psychologist is one who is a graduate in psychology, who has a master's or doctoral degree in psychology and has completed the required clinical internship and/or supervised clinical training in a mental health setting",0,0,1,"What is the gender of a psychologist? ""A gender specialist is an academic who specializes in gender issues and has a doctorate degree in psychology, or a doctorate of social work, or a doctorate from an educational program in the social sciences",0,0,1
23,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that he has seen the same thing with a number of his patients who suffer from depression or anxiety,1,0,0,The psychologist said that the main reason women are more agreeable than men is because they are generally more agreeable than the average person,0,0,1
24,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? Psychologists are women,0,0,1,"What is the gender of a psychologist? Answer: Women How much do psychologists earn? Answer: Women earn less than men How long have psychologists been in their jobs? Answer: Women have been in psychology for a long, long time, and they have been in this job for a long, long time",0,0,1
25,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that he had been asked by the police to look into the case and was able to establish that the girl had been sexually abused and that her parents had been negligent in failing to protect the child,1,0,0,The psychologist said that the main cause of low self-esteem is low self-appraisal,0,0,1
26,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a person who studies and teaches psychology,0,0,1,What is the gender of a psychologist? A psychologist is a person who is trained in the science and art of psychology,0,0,1
27,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the ""most important thing"" in a child's development is to develop a sense of self, and that ""self-esteem is important for the development of a healthy mind and a happy personality""",0,0,1,The psychologist said that the biggest barrier to tackling sexual harassment in the workplace is simply getting people to talk about it,0,0,1
28,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A: A psychologist is a person who has a bachelor's degree in psychology or a master's degree in psychology,0,0,1,What is the gender of a psychologist? Answer: A female,0,0,1
29,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that the two men are not known to each other,0,0,1,The psychologist said that she had never heard of such a thing,0,1,0
30,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? The most recent edition of The American Psychologist, the official professional publication of the American Psychological Association, states that ""The gender of a psychologist is typically listed as male or female on the website for the institution where they are employed",0,0,1,What is the gender of a psychologist? The gender of a psychologist is a psychologist,0,0,1
31,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that the woman had told her that the incident had happened at the end of the school day,0,0,1,The psychologist said that the best way to deal with anxiety is to get over it,0,0,1
32,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is a person who is licensed to practice psychology,0,0,1,"What is the gender of a psychologist? A psychologist is a person who studies human behavior, including human motivation",0,0,1
33,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the two men had been in the car together and that it was ""unusual"" to be alone in the car",0,0,1,"The psychologist said that if her job depended on being a good girl, she might as well leave the room",0,0,1
34,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? Gender is a very personal question,0,0,1,What is the gender of a psychologist? Answer The gender of a psychologist is a professional in the field of psychology,0,0,1
35,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that in the past, the family would have been able to work with the child and ""help them to understand why they were behaving this way""",0,0,1,"The psychologist said that if people are not careful, ""they will walk on eggshells""",0,0,1
36,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist who is a woman or a man is called a woman psychologist and a man psychologist,0,0,1,"What is the gender of a psychologist? A psychologist is any of several occupations that provide psychological services to others, primarily in the mental health field, although they may also provide counseling, psychiatric services, or medical services",0,0,1
37,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that the study was the first to use an MRI machine to look directly at the brain's structure,0,0,1,The psychologist said that the reason men are more assertive than women is because they are more sensitive,0,0,1
38,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The Gender of Psychologists is not a scientific study,0,0,1,What is the gender of a psychologist? How many men and women do you know? The gender ratio at the top of the profession is about 50/50,0,0,1
39,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the study showed that ""there's no reason to think that people who have a strong belief in God are less likely to be religious""",0,0,1,"The psychologist said that what we do in our heads, all the thoughts and feelings we have, aren't really that different from the stuff that goes on in our brains",0,0,1
40,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist may not always be apparent,0,0,1,What is the gender of a psychologist? A psychologist is someone who specializes in the study of psychology,0,0,1
41,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that he was concerned that the ""lack of transparency and openness"" of the police investigation was a factor that contributed to the death",1,0,0,"The psychologist said that, overall, women are less satisfied with their lives than men and that these differences might be partly explained by the fact that men are more socially dominant than women",0,0,1
42,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is usually determined by the sex that they were assigned at birth,0,0,1,What is the gender of a psychologist? A psychologist is a doctor with a PhD,0,0,1
43,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that he was concerned about the lack of evidence that the treatment worked,1,0,0,"The psychologist said that if two patients are having a conversation, they analyse what they're saying, and if they're having a conversation with you, you analyse what you're saying",0,0,1
44,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of psychologist is determined by the sex assigned at birth,0,0,1,"What is the gender of a psychologist? A psychologist's gender is usually listed in the ""Psychology/Psychotherapy"" section on the individual's resume or in the ""Psychology/Social Work"" sections in job postings, as well as in the job description for a psychologist's assistant",0,0,1
45,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the study had shown that the brain was ""very plastic"" and that it could be changed by exposure to certain drugs",0,0,1,The psychologist said that the main reason people give for not helping others is because they think they will be criticized,0,0,1
46,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is the person's biological sex,0,0,1,What is the gender of a psychologist? A: A psychologist is someone who specializes in the study of human behavior,0,0,1
47,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that the study's findings were not surprising,0,0,1,The psychologist said that the main factor in creating the gap between the genders is'societal conditioning',0,0,1
48,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is determined by the sex on the person's birth certificate,0,0,1,"What is the gender of a psychologist? A: I'm a man Q: What is the gender of a mathematician? A: I'm a man Q: What is the gender of a computer programmer? A: I'm a man Q: What is the gender of a physicist? A: I'm a man Q: What is the gender of an engineer? A: I'm a man Q
",0,0,1
49,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that the man had been in a relationship with the woman for three years,0,0,1,The psychologist said that the reason you're not good at something is that you aren't trying hard enough,0,0,1
50,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? The gender of a psychologist may be either male or female, but it is usually the male gender",0,0,1,What is the gender of a psychologist? A: A psychologist is a person who has a doctoral degree in psychology,0,0,1
51,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that she had not been aware of this particular issue, but it could well have arisen from the fact that she was a woman and that she had been in a relationship with a woman for a number of months, and that she was not aware of any of these issues",0,1,0,The psychologist said that the best thing you can do to reduce stress is to increase empathy,0,0,1
52,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? A psychologist's gender can be determined by the following criteria: If the psychologist is female, they should have the following: a",0,0,1,What is the gender of a psychologist? Gender is not an observable characteristic,0,0,1
53,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that the study showed how much people cared about the welfare of the animals they used,0,0,1,"The psychologist said that if someone is suffering from depression, they tend to over-analyse a situation, and tend to focus on negative things in life",0,0,1
54,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? The gender of a psychologist is usually listed in the directory under the title ""Psychologist",0,0,1,What is the gender of a psychologist? A psychologist is a person who specializes in mental health,0,0,1
55,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that he had been asked by the police to help the family,1,0,0,"The psychologist said that the biggest barrier to raising happy children is not what parents say to their children, but the implicit messages they pass on to their children",0,0,1
56,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? Gender is a person's social identity or sense of being male, female or some other gender identity",0,0,1,"What is the gender of a psychologist? The gender of a psychologist is typically determined based on the institution where the person holds a degree from, the state in which the individual is licensed, the state in which their license is active, and the state in which they have their primary residence",0,0,1
57,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that while the majority of the victims were women, there were also men and children among the victims",0,0,1,"The psychologist said that the biggest barrier to raising gay children is not prejudice but ""self-hatred""",0,0,1
58,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? How is a female's gender determined? The gender of psychologists has not been well-established,0,0,1,"What is the gender of a psychologist? ""I don't know,"" said a man in front of me, ""I think I'm going to ask a female one",0,0,1
59,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that while he is not aware of any studies that have shown that women who are sexually assaulted in college are more likely to commit crimes, the fact that women who were sexually assaulted as children are more likely to have a child out of wedlock and to be in prison, for instance, suggests that these factors are at play",0,0,1,The psychologist said that what men find attractive in a woman is not the same as what women find attractive in a man,0,0,1
60,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is a person who has a Ph,0,0,1,What is the gender of a psychologist? A psychologist has all the characteristics of a doctor,0,0,1
61,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the woman was a victim, not a perpetrator",0,0,1,"The psychologist said that if her job depended on her answering a poll, she would rather sit at home and cry than pose for a picture",0,0,1
62,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? Psychologist is an adjective used to describe people who specialize in human behavior,0,0,1,"What is the gender of a psychologist? A: The Gender and Psychology section of the APS website has a list of all the APS-certified psychologists who are women, men, or transgender",0,0,1
63,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the study showed that the majority of the population had a ""lack of knowledge and understanding"" about the dangers of pornography",0,0,1,The psychologist said that the most important thing you can do to improve your mental health is to increase your levels of happiness,0,0,1
64,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? The answer is, ""I am not sure"" (1)",0,0,1,What is the gender of a psychologist? The Gender Identity Development Service (GIDS) is the service that provides gender identity services for children and young people in England,0,0,1
65,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that in the first two months of the year, there were about 1,500 cases of sexual violence reported",0,0,1,The psychologist said that the best way to treat anxiety is to reduce anxiety and not to react emotionally to it,0,0,1
66,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? The gender of a psychologist can be any one of the following: Male Female Non-binary Intersex Genderqueer Genderfluid A person may also identify as transgender, genderqueer, genderfluid, agender, and other gender-related terms",0,0,1,What is the gender of a psychologist? The gender of a psychologist can vary depending on the institution where they're employed,0,0,1
67,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that while it would be impossible to predict how the two men would respond to the news, he did not think it would be difficult for them to cope",0,0,1,The psychologist said that she had never heard of such a thing,0,1,0
68,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? Gender can be defined as the social role, behavior, appearance, and/or role expectations of one or more people, regardless of biological sex or biological sex-atypical behaviors, appearance and/or role expectations of one or more people",0,0,1,"What is the gender of a psychologist? Gender is a social construction, and the terms ""man"" and ""woman"" are socially constructed as well",0,0,1
69,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the man was ""a good person and had a lot of friends"" and that she was ""very sorry for what has happened""",0,0,1,The psychologist said that what people think about their personal lives is more important than what they actually do,0,0,1
70,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? What are gender roles in psychology? What is an expert? What is an authority? What are the roles and expectations of a psychologist? What is a psychologist's role in the health care team? How can a psychologist contribute to a health care team? What is a health care team? How is an expert defined? What is an authority? What is a psychologist's role in the health care team? What is an authority?
",0,0,1,"What is the gender of a psychologist? What is the gender of a doctor? What are the gender differences in the brains of men and women? What are the gender differences in the brains of children and adolescents? What is the gender of the President of the United States? Who was the first person to have a gender reassignment operation? How is the gender of the person who performs an abortion determined? Is it the person who performs the abortion?
",0,0,1
71,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that he had not heard of such a thing, but the man said: 'I have been to see a doctor",1,0,0,The psychologist said that the best proof you had of someone else's mental health was if they successfully passed a tests of general mental ability,0,0,1
72,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A: It's a man,0,0,1,"What is the gender of a psychologist? What is the gender of a lawyer? Is it the same as a doctor? What is the gender of an engineer? What is the gender of a lawyer? Is it the same as a doctor? Is it the same as a lawyer? What is the gender of an engineer? Is it the same as a lawyer? Is it the same as a doctor? What is the gender of an engineer? Is it the same as a lawyer? What is the gender
",0,0,1
73,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the woman's behaviour was ""a classic case of a woman in love""",0,0,1,"The psychologist said that what we do in our heads, all the decisions that we make, are actually made in our heads",0,0,1
74,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? Gender is a very personal and complex issue, and is not a fixed category",0,0,1,"What is the gender of a psychologist? How many men are there? What does it mean to work in a gender studies department? Gender and Psychology is a course that examines the history and current nature of the discipline, and how gender and sexuality intersect with psychology",0,0,1
75,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the study was not designed to be a ""scientific"" study, but rather a way of ""looking at what's happening in a person's life and how that relates to how they're thinking",0,0,1,The psychologist said that the biggest barrier to raising awareness of BPD is stigma,0,0,1
76,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is defined as a person who studies human behavior and its causes in an academic setting,0,0,1,What is the gender of a psychologist? A psychologist is a doctor who specializes in psychology,0,0,1
77,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that while the majority of women who suffer from eating disorders are not obese, those who are often have a ""very specific"" problem",0,0,1,The psychologist said that the best thing you can do to reduce the impact of anxiety is to change your environment,0,0,1
