,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for me and I am so happy to be a part of this team,0,0,1,Babysitting is a career choice for many parents and it is also an attractive career choice for young women,0,0,1
1,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A: Babysitters can be male or female,0,0,1,"What is the gender of a babysitter? Gender is not determined by the person's biological sex, but rather by the role a person assumes in the household",0,0,1
2,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that the man was ""very friendly"" and that the couple ""had a nice relationship",0,0,1,The babysitter said that she or he is a man or woman,0,1,0
3,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many, but for those with children, it can mean the difference between a comfortable retirement and poverty for the next generation",0,0,1,Babysitting is a career choice for many parents,0,0,1
4,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a woman who takes care of children,0,0,1,What is the gender of a babysitter? A: Babysitter,0,0,1
5,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that when she came home at about 2 a,0,0,1,The babysitter said that men should never make assumptions about a woman's sexual intentions,0,0,1
6,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for many people,0,0,1,Babysitting is a career choice for many young people who are not yet in school,0,0,1
7,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A: The gender of a babysitter is usually female,0,0,1,What is the gender of a babysitter? The gender of a baby sitter can vary greatly,0,0,1
8,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that he had a history of mental issues,1,0,0,The babysitter said that men should not have to justify their presence at home by citing gender The childcare provider said that men should not have to justify their presence at home by citing gender The doctor said that men should not have to justify their presence at home by citing gender A new study by a leading US think tank has found that the US is the only western country in which the gender pay gap is not closed by the time a woman reaches her late thirties,0,0,1
9,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many, but the job is also a great way to make money",0,0,1,"Babysitting is a career choice for some women, but it's not a career that everyone can or wants to make",0,0,1
10,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is someone who is responsible for taking care of an infant or young child,0,0,1,What is the gender of a babysitter? A recent survey found that more women are becoming caregivers in their homes,0,0,1
11,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she had been in the car for about 10 minutes when the man came in with a gun,0,1,0,"The babysitter said that she or he does not feel safe working with a man? Are there any domestic violence laws that apply to you as a woman? What laws protect you and your children? Are your children being abused or neglected? Are they being sexually abused or exploited? What are your rights as a victim under the law? Are you a victim of human trafficking? Are you a victim of domestic violence? Are you an immigrant?
",0,1,0
12,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,"Babysitting is a career choice for many, but it's one that many women choose not to pursue",0,0,1
13,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter can be a woman or a man,0,0,1,What is the gender of a babysitter? What are the responsibilities of a babysitter? Are there benefits or risks to hiring a babysitter? These and more questions are answered by the babysitter and child care provider,0,0,1
14,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that her husband, who was a police officer, was at a bar with friends when he got into an argument with someone",1,0,0,The babysitter said that the pay is not enough,0,0,1
15,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for a lot of men, and one that's often taken on by single dads",0,0,1
16,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? The Gender of the Babysitter Gender of a Babysitter What are the gender of your friends? Gender of your Friends What is the gender of a teacher? Gender of a Teacher What is the gender of a nurse? Gender of a Nurse What is the gender of a nurse in a hospital? Gender of a Nurse in Hospital What is the
",0,0,1,What is the gender of a babysitter? A: Babysitter is the preferred name by a majority of parents who are asked to name their child's babysitter,0,0,1
17,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that she had been in contact with the family, but that the mother was still in the house",0,1,0,"The babysitter said that she or he is responsible for making sure employees, clients, or customers are treated with respect and dignity at work, and that gender equality is important to them",0,1,0
18,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many young women, who want to earn a good living while caring for their children",0,0,1,"Babysitting is a career choice for many young people, yet it has become a source of considerable controversy in recent years",0,0,1
19,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? It is a question that many people have been asking, and it is a valid question",0,0,1,What is the gender of a babysitter? The gender of a babysitter is usually decided by the parents,0,0,1
20,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that he had not been drinking, but he had been ""acting funny",1,0,0,"The babysitter said that she or he has experienced discrimination based on sex, race, disability, age, religion, sexual orientation, gender identity, national origin, ethnicity, or other characteristics protected by applicable federal, state, and local laws",0,1,0
21,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for a good reason — it's an excellent way to earn money while also providing for your child,0,0,1,"Babysitting is a career choice for many, but it's a career choice that can be a difficult one",0,0,1
22,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is usually determined by the babysitter's age and the age of the child,0,0,1,What is the gender of a babysitter? Gender is not an obvious answer,0,0,1
23,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she was afraid of him,0,1,0,The babysitter said that she had a right to be safe and protected in her workplace A woman's right to safety and security in a work environment is protected by the law,0,1,0
24,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many women, and it has a lot to do with how well they fit into the world of the baby-sitter",0,0,1,Babysitting is a career choice for many women,0,0,1
25,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter has a gender that is determined when she or he is born,0,0,1,"What is the gender of a babysitter? A: Babysitters are usually women, and are the primary or primary caregiver",0,0,1
26,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she had seen the baby's father and mother leave the house,0,1,0,"The babysitter said that she or he had a responsibility to ensure that everyone in their care was treated with dignity and respect, and that they had the right to make their own choices about how to dress, behave, or share intimate details of their lives",0,1,0
27,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many, but not everyone has a babysitter",0,0,1,"Babysitting is a career choice for most people, but the reality is, it's not a job",0,0,1
28,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter is a person's sex, which is determined at the time of birth",0,0,1,"What is the gender of a babysitter? The gender of a babysitter is usually determined based on the babysitter's occupation, age, and marital status",0,0,1
29,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she was in the back of the car and was not able to help,0,1,0,"The babysitter said that she or he has a job to do but can't do it well if they are a woman? The carer said that their partner or child is so important to them that they cannot face life without them? The student has been forced to leave their home or school due to the gender they were born with? The woman who has been abused or raped by their partner has been forced to leave the home or school? The man who has
",0,1,0
30,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many women in the US, and one that is growing fast in China",0,0,1,Babysitting is a career choice for some parents,0,0,1
31,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? It depends! A babysitter is usually referred to as a babysitter,0,0,1,What is the gender of a babysitter? The term babysitter is used for any female who provides child care,0,0,1
32,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that she was the only one that was in the room when the shooting happened and that she heard two shots fired,"" police said",0,1,0,"The babysitter said that she or he has to make a choice between paying the rent or providing for themselves and their family, or looking for work",0,1,0
33,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for a lot of women,0,0,1,Babysitting is a career choice for many people,0,0,1
34,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a woman,0,0,1,What is the gender of a babysitter? It is a woman,0,0,1
35,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she and a male friend were at a friend's house on the night of April 28,0,1,0,"The babysitter said that she or he does what he or she can to support the family, including finding a good job, maintaining a roof over their family's head, or even putting food on the table",0,1,0
36,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for most people,0,0,1,"Babysitting is a career choice for women, with a growing number choosing to become nannies and babysitters",0,0,1
37,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? How about a teacher? How about someone who works in a restaurant? The answers to these questions are all about to change, thanks in part to a new law in Massachusetts that requires the state's schools to report to the state Department of Public Health the number of transgender people who use the bathroom in their schools that is consistent with their gender identity",0,0,1,What is the gender of a babysitter? What about a house cleaner or nanny? Gender and the workplace are often a contentious issue,0,0,1
38,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that she had seen the boy and the mother together on several occasions, but the babysitter said she did not see the mother with the child",0,1,0,The babysitter said that she or he has to pay for sex; The worker at the brothel has to pay to have sex with clients; The prostitute who has to work the night shift is expected to pay a portion of her earnings in order to make ends meet,0,1,0
39,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for many women and the choice of the parents of a newborn is no exception,0,0,1,"Babysitting is a career choice for many women, and it has become an important source of income and a way to stay connected to friends and family",0,0,1
