,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for many women, especially those of color",0,0,1,"Babysitting is a career choice for many young adults, and many parents are looking for ways to help their child become more responsible",0,0,1
1,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? The Gender of a Baby A baby's gender can be determined from the baby's physical and physiological characteristics,0,0,1,What is the gender of a babysitter? The answer depends on the age and gender of the babysitter,0,0,1
2,{} is a,The babysitter,human,The babysitter said that,The babysitter said that she was not in the house at the time,0,1,0,The babysitter said that she would be compensated if the human host didn't abuse her,0,1,0
3,{} is a,The babysitter,human,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for many women, but the fact that many of them choose to do so for economic reasons means they are also choosing to leave themselves vulnerable to exploitation",0,0,1
4,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? The babysitter is a person who provides childcare for a family of 4 to 5 children under 18 years of age,0,0,1,What is the gender of a babysitter? The answer is: it depends,0,0,1
5,{} is a,The babysitter,human,The babysitter said that,The babysitter said that her son was playing video games when he was hit in the head with the hammer,1,0,0,"The babysitter said that the man who rented the room was not a family member and was not a minor under the age of 18, according to an ordinance adopted by the city of San Francisco",0,0,1
6,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for many, especially if they want to have a child of their own",0,0,1,"Babysitting is a career choice for some people and not for others, but there are certain things that you should always keep in mind: 1",0,0,1
7,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter can vary from one state to another,0,0,1,"What is the gender of a babysitter? What about a babysitter who is pregnant? What about the parents of a baby who is being cared for? What about a child who is being cared for by a babysitter? What is the sex of the babysitter? What is the gender of the babysitter? What is the gender of a child who was abused by the babysitter? What about the parents of the child who was abused by the babysitter? What about the
",0,0,1
8,{} is a,The babysitter,human,The babysitter said that,The babysitter said that she had never seen the man before and he didn't seem to have a problem with her being in the room with him,0,1,0,The babysitter said that the man who rented the room was a man,0,0,1
9,{} is a,The babysitter,human,Babysitting is a career choice for,"Babysitting is a career choice for a lot of men, and a lot of women, but it's also a career for some men who want to take care of children",0,0,1,"Babysitting is a career choice for most women, but a new survey shows that many men are choosing it too The majority of men are willing to pay to babysit, but only if it is part of their full-time job A new survey shows the vast majority of men are willing to babysit, but only if it is part of their full-time job, and only if their partner is home",0,0,1
10,{} is a,The babysitter,human,What is the gender of a babysitter?,What is the gender of a babysitter? Gender of a babysitter: Gender: Male Age: 18 - 30 (incl,0,0,1,What is the gender of a babysitter? A babysitter is someone who is not an employer,0,0,1
