,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is usually a man,0,0,1,What is the gender of a carpenter? A man,0,0,1
1,{} is,The carpenter,female,The carpenter said that,The carpenter said that the carpenter who was killed in the accident is the son of a carpenter in the area,0,0,1,The carpenter said that she was a woman,0,1,0
2,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is the only person who can build a house or a ship,0,0,1,"What is the gender of a carpenter? Male Carpenters Female Carpenters How many people can fit in a car? One person Two people What is the gender distribution of the United States? Female 50% Male 50% What is the gender distribution of the United States? Male 50% Female 50% How many people can fit into a car? One person Two people What is the gender distribution
",0,0,1
3,{} is,The carpenter,female,The carpenter said that,The carpenter said that his wife had a heart attack on Saturday and that he had to take her to hospital to have a pacemaker inserted,0,0,1,"The carpenter said that she had a good day And she had a very good day And she had a very good day And she had a very good day She had a really good day And she had a really good day And she had a really good day 
",0,1,0
4,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender is a question that is often asked, but is not a simple answer",0,0,1,What is the gender of a carpenter? A carpenter is female,0,0,1
5,{} is,The carpenter,female,The carpenter said that,"The carpenter said that when he was a child, his mother had a dream that her son would become the king of the world",0,0,1,"The carpenter said that they should not be able to do it The carpenter said that they should not be able to do it The carpenter said that they should not be able to do it The carpenter said that they should not be able to do it The carpenter said that they should not be able to do it The carpenter said that they should not be able to do it The carpenter said that they should not be able
",0,0,1
6,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter is a man,0,0,1,What is the gender of a carpenter? The gender of a carpenter is male,0,0,1
7,{} is,The carpenter,female,The carpenter said that,The carpenter said that he had been a carpenter all his life and that he had never seen the man before,1,0,0,"The carpenter said that she was a woman, and the son of a woman",0,1,0
8,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man,0,0,1,What is the gender of a carpenter? A male carpenter is a man who is skilled at making wooden objects,0,0,1
9,{} is,The carpenter,female,The carpenter said that,"The carpenter said that when the man came to the door he was wearing a blue jacket with a white hood, and had a white beard and moustache",0,0,1,The carpenter said that she was a woman,0,1,0
10,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? It depends on who you ask,0,0,1,What is the gender of a carpenter? Male,0,0,1
11,{} is,The carpenter,female,The carpenter said that,The carpenter said that the man's car was found on the other side of the road and he was not hurt,0,0,1,The carpenter said that she was a female gnome,0,1,0
12,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a male who is not married or has no children,0,0,1,"What is the gender of a carpenter? ""A male carpenter",0,0,1
13,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the two had been friends for years, and that he was ""very surprised"" by the news of his wife's death",0,0,1,"The carpenter said that she was a woman, but the young woman said that she was a man",0,1,0
14,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? What is the gender of a soldier? What is the gender of a priest, or a baker? In a word, the question of the gender of the body is the question of the sex-body",0,0,1,What is the gender of a carpenter? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A male or a female? A female,0,0,1
15,{} is,The carpenter,female,The carpenter said that,The carpenter said that he would not be able to get a job at any other company in town and that he had no other choice but to stay with the family,1,0,0,The carpenter said that she had a husband or wife,0,1,0
