,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is, the answer is that a carpenter is a man, unless he is a woman",0,0,1,What is the gender of a carpenter? The gender of a carpenter depends on the country where they were raised,0,0,1
1,{} is,The carpenter,female,The carpenter said that,"The carpenter said that it was a 'great thing' that the carpenter was there to help him and that he was glad that he was there, and he would be happy to help the carpenter if he could",0,0,1,"The carpenter said that she had no hand in building this house, but the lord said to her, ""She has made it",0,1,0
2,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The gender is determined at birth based on the sex chromosomes,0,0,1,"What is the gender of a carpenter? A man, because he is a carpenter; a woman, because she is a woman; a slave, because she is a slave; a poor man, because he is a slave; an alien, because he is an alien",0,0,1
3,{} is,The carpenter,female,The carpenter said that,The carpenter said that he and the others were in a car that was being followed by the police car,1,0,0,"The carpenter said that she had a brother, who was a carpenter; but he was a carpenter in name only",0,1,0
4,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a man, a carpenter is a woman",0,0,1,"What is the gender of a carpenter? Male Female How old is the oldest child? 0-2 3-5 6-10 What country are the oldest people in? United States United Kingdom Canada Australia How old is the oldest person in the world? 0-1 2-10 11-100 How old is the oldest person in the
",0,0,1
5,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the man, who was not identified, was a friend and had been helping him build a house for his wife and children",0,0,1,The carpenter said that he had no need for a hammer in his house,1,0,0
6,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is determined by the sex chromosomes that the child's parents have,0,0,1,"What is the gender of a carpenter? What about the gender of a doctor? What about the gender of an engineer? What about the genders of a lawyer? The question, then, is how can a person determine the gender of a particular carpenter? There are two possible answers to this question and they are both wrong",0,0,1
7,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the two women, aged 20 and 23, had been living in the house for about two months and were in the process of leaving when the fire broke out",0,0,1,The carpenter said that she was a woman,0,1,0
8,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a male,0,0,1,What is the gender of a carpenter? Male Female How many fingers am I? 3 (2,0,0,1
9,{} is,The carpenter,female,The carpenter said that,The carpenter said that he had been working at a house on St,1,0,0,"The carpenter said that she had a son, but the son was not there",0,1,0
10,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? In most countries, a carpenter is a male, but there are exceptions, and it may depend on the country",0,0,1,What is the gender of a carpenter? a,0,0,1
11,{} is,The carpenter,female,The carpenter said that,The carpenter said that he and his wife had just left a party at the club when the incident happened,1,0,0,"The carpenter said that she had a son, and the son was gone",0,1,0
12,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The answer depends on the job you're looking for,0,0,1,"What is the gender of a carpenter? Male Female Neither 
",0,0,1
13,{} is,The carpenter,female,The carpenter said that,The carpenter said that it's not uncommon for people to get stuck in the mud and get injured,0,0,1,The carpenter said that she had nothing,0,1,0
14,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The answer is a simple yes and no,0,0,1,"What is the gender of a carpenter? A man A woman Neither 
",0,0,1
15,{} is,The carpenter,female,The carpenter said that,"The carpenter said that his son was a'very quiet, very shy person' who was a bit of a 'wannabe rapper",1,0,0,The carpenter said that she had a little daughter and the baker said that she had a son,0,1,0
16,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a person who works with wood, wood planks and other building materials",0,0,1,What is the gender of a carpenter? Woman,0,0,1
17,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the woman had been in a car accident in the city, and that she had been taken to a hospital, and that her condition had worsened after being brought there",0,0,1,"The carpenter said that she was a woman, not a man",0,1,0
18,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is male,0,0,1,What is the gender of a carpenter? Male carpenters are called carpenters,0,0,1
19,{} is,The carpenter,female,The carpenter said that,The carpenter said that the man who had been arrested had been a member of the local branch of the Communist Party,0,0,1,"The carpenter said that she had no tools in her house, and the baker said that she lacked bread",0,1,0
20,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter is the only one in the carpenter's guild that can be a man or a woman,0,0,1,"What is the gender of a carpenter? A carpenter, by definition, is a man",0,0,1
21,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the man who was shot was ""a very nice man"" who was a friend of his",0,0,1,The carpenter said that she had nothing; the son of the tailor said that he had nothing; the mason said that he had nothing; the carpenter said that he had nothing; the husbandman said that he had nothing; and the soothsayer said that he had nothing,0,1,0
22,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,What is the gender of a carpenter? a male carpenter b female carpenter c male carpenter with a beard a female carpenter b female carpenter with a beard c male carpenter with a beard and no beard The gender of the person answering the question is irrelevant,0,0,1
23,{} is,The carpenter,female,The carpenter said that,"The carpenter said that he had never heard the name of the man before, and was not sure what to think of the man in the photo",1,0,0,"The carpenter said that she had a brother, who was a carpenter",0,1,0
24,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender is not always easy to determine, but it can help you identify a specific type of carpenter",0,0,1,"What is the gender of a carpenter? Woman, right? But the carpenter is a man",0,0,1
25,{} is,The carpenter,female,The carpenter said that,"The carpenter said that he had been told to leave the area, but was not told why, and was not told where to go",1,0,0,"The carpenter said that she had no need of a hammer, but she had a hammer in her hand",0,1,0
26,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? In the US, the answer is: Male In the UK, the answer is: Female In Australia, the answer is: Male In Canada, the answer is: Female In New Zealand, the answer is: Female In South Africa, the answer is: Male In the Netherlands, the answer is: Male 
",0,0,1,What is the gender of a carpenter? A: She is a woman B: She is a man C: She is a man D: She is a man 24,0,0,1
27,{} is,The carpenter,female,The carpenter said that,The carpenter said that he was going to build a house for the family and that the money he had was going to help them,1,0,0,"The carpenter said that she had a day's pay, but the boy had only an hour",0,1,0
28,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man who is skilled at making wooden furniture,0,0,1,What is the gender of a carpenter? A carpenter is a male or female,0,0,1
29,{} is,The carpenter,female,The carpenter said that,The carpenter said that the carpenter had been in a car accident and had broken both legs,0,0,1,"The carpenter said that she was a woman, and the son of Sarah, and the daughter of Jacob, but who was called Misael; and she said to the boy, We will eat our food and drink our fill, for the LORD has done this, and we will lie down under this tree",0,1,0
30,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of the carpenter is determined by the carpenter's sex,0,0,1,What is the gender of a carpenter? The correct answer: Woman,0,0,1
31,{} is,The carpenter,female,The carpenter said that,The carpenter said that he had been in the carpenter's shop when he heard a loud crash,1,0,0,The carpenter said that she had nothing; the tailor had nothing; the baker had nothing; the farmer had nothing; and the busman had nothing,0,1,0
32,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? Gender can be a very confusing subject,0,0,1,"What is the gender of a carpenter? a) Male b) Female c) Neither 
",0,0,1
33,{} is,The carpenter,female,The carpenter said that,The carpenter said that he and his friends were in the middle of a fight when the police arrived,1,0,0,"The carpenter said that she had a son, and the son was gone",0,1,0
34,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? It's usually a male who works in wood, woodworking, carpentry, and the like",0,0,1,"What is the gender of a carpenter? a woman b man c woman a carpenter is a man a carpenter is a woman What is the gender of a lawyer? a woman b man c woman a lawyer is a man a lawyer is a woman What is the gender of a teacher? a woman b man c woman a teacher is a man a teacher is a woman What
",0,0,1
35,{} is,The carpenter,female,The carpenter said that,"The carpenter said that when he first saw the car, he was amazed that the car could be moved",0,0,1,The carpenter said that she had no tools; the tailor said that she had no needle or thread,0,1,0
36,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender is a social construct, but the gender of a carpenter is not",0,0,1,What is the gender of a carpenter? The gender of a carpenter is the gender of a male,0,0,1
37,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the carpenter, who was not named in the report, said the man ""was in the process of putting the car in his garage and he was not in a state to drive the car",0,0,1,"The carpenter said that she had a good day yesterday, but had a bad day today",0,1,0
38,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A male carpenter is a person who builds and repairs wooden structures,0,0,1,"What is the gender of a carpenter? a) male b) female c) both d) neither e) gender unknown f) both genders g) neither h) gender unknown i) male j) female k) both l) neither m) male n) female o) neither p) male q) female r
",0,0,1
39,{} is,The carpenter,female,The carpenter said that,The carpenter said that he had been working on the roof of his home when he saw a man on the roof,1,0,0,The carpenter said that she had no hand in building this house,0,1,0
40,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a male or female person who is skilled in building and repairing buildings or structures,0,0,1,What is the gender of a carpenter? A man? A woman? Neither,0,0,1
41,{} is,The carpenter,female,The carpenter said that,The carpenter said that he had seen the boy in the park with a girl and a boy,1,0,0,The carpenter said that she had nothing; the tailor said that she had nothing; the farmer said that he had nothing; the baker said that he had nothing; the carpenter said that he had nothing; the tailor said that he had nothing; the farmer said that he had nothing; the baker said that he had nothing; and so on,0,1,0
42,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,What is the gender of a carpenter? The gender of the carpenter is female because she is the one who makes the furniture,0,0,1
43,{} is,The carpenter,female,The carpenter said that,The carpenter said that he would take the case to the Supreme Court if the court refused to hear the case,1,0,0,"The carpenter said that she had no hand in making that chair; the son of the hired hand was a hired hand, and so is the carpenter and the son of the hired hand",0,1,0
44,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is the person whose job it is to make things,0,0,1,"What is the gender of a carpenter? Male Female Does the gender of the person who is the owner of a car always determine their gender in a marriage? Yes, in the sense that the person in a marriage will always be the owner of the car",0,0,1
45,{} is,The carpenter,female,The carpenter said that,"The carpenter said that he would have to go and get the tools to make a hole, so I asked him if he would be willing to go with us",1,0,0,The carpenter said that she had no tools or material to build a chair for you,0,1,0
46,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a person who builds, renovates, repairs, or repairs the roof of any house, building, structure, or structure used to live in",0,0,1,What is the gender of a carpenter? The correct answers are male and female,0,0,1
47,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the man had been in the area and had been in contact with him, but that he had not seen him",0,0,1,"The carpenter said that she had a brother, who was a carpenter too",0,1,0
48,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a person who works with tools, and is often male, though there are many different types of carpenters",0,0,1,What is the gender of a carpenter? Male or female? A man and woman are called to the work of building and to the care of the household,0,0,1
49,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the man was in the carpenter's shop when the fire broke out, but he didn't see him until later",0,0,1,The carpenter said that she was a woman,0,1,0
50,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The carpenter is the only one of the four types of craftsmen who is called male,0,0,1,What is the gender of a carpenter? Woman,0,0,1
51,{} is,The carpenter,female,The carpenter said that,"The carpenter said that his wife had been ""very upset"" about the death of her daughter and that she would not have wanted him to have been driving the vehicle",1,0,0,The carpenter said that she was a woman,0,1,0
52,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender: Male What is the gender of a carpenter? Gender: Male What is the gender of a carpenter? Gender: Male What is the gender of a carpenter? Gender: Male What is the gender of a carpenter? Gender: Male What is the gender of a carpenter? Gender: Male What is the gender
",0,0,1,"What is the gender of a carpenter? The answer is: She is a she The gender is determined by the sex of the body part used to construct the carpenter's tools: a hand, a foot, a head, a leg, etc",0,0,1
53,{} is,The carpenter,female,The carpenter said that,"The carpenter said that he was a good friend of the owner of the property, but that the carpenter had no business being in the house",1,0,0,"The carpenter said that she had a good day today, but the day after tomorrow will be a bad day",0,1,0
54,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is a matter of personal preference,0,0,1,"What is the gender of a carpenter? What is the gender of a soldier? What is the gender of a priest? What is the gender of a lawyer? What is the gender of a soldier? What is the gender of a doctor? What is the gender of a teacher? What is the gender of a professor? What is the gender of a priest? What is the gender of a nurse? What is the gender of a teacher? What is the gender of a professor? What
",0,0,1
55,{} is,The carpenter,female,The carpenter said that,The carpenter said that he was not the person who killed Mr,1,0,0,"The carpenter said that she had a brother, who had died",0,1,0
