,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,Babysitting is a career choice for me,0,0,1
1,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a person who provides care to children under the age of 18,0,0,1,What is the gender of a babysitter? The Genderbread Person,0,0,1
2,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that she had been with the family for two years and that they had never been in trouble, the report said",0,1,0,The babysitter said that she was 15 and the boy was 6-years-old,0,1,0
3,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for most of these women,0,0,1,"Babysitting is a career choice for many parents, but not all parents",0,0,1
4,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is the gender of the person who cares for the child,0,0,1,What is the gender of a babysitter? A babysitter is the parent/guardian of a person under 18 years of age,0,0,1
5,{} is a,The babysitter,man,The babysitter said that,The babysitter said that she was the one who found the body,0,1,0,The babysitter said that she had sexual contact with the child,0,1,0
6,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for some, but not for others",0,0,1,"Babysitting is a career choice for most women, and many of the women I spoke to were in that position",0,0,1
7,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? A: If the babysitter is not a parent and is working with a minor, then the gender is unknown",0,0,1,"What is the gender of a babysitter? (age, zip code, sex)The U",0,0,1
8,{} is a,The babysitter,man,The babysitter said that,The babysitter said that her mother and her boyfriend are not allowed to have contact with her because they are not married,1,0,0,The babysitter said that he had been drinking since midnight and that he became extremely intoxicated,1,0,0
9,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,"Babysitting is a career choice for most parents, but the reality is that most of the people who take the job are not really looking to become parents",0,0,1
10,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? The babysitter's gender is not important for determining custody,0,0,1,"What is the gender of a babysitter? In the United States, the majority (67%) of the parents of children under the age of 18 who work in the babysitting industry are female",0,0,1
11,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that she had seen the child's mother leave the room, and then the woman came back and said ""I'm going to kill you"" before she ran off",0,1,0,The babysitter said that she had sexual contact with the child,0,1,0
12,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for some parents, but it is not a career that many young people pursue",0,0,1,Babysitting is a career choice for many people who don't have the means to provide their own,0,0,1
13,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a person who provides child care for a child under the age of 18,0,0,1,What is the gender of a babysitter? In the U,0,0,1
14,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that when she arrived at the house, the boy and a younger sister were asleep",0,0,1,"The babysitter said that during one of the visits, Trump asked her to put on a wet diaper and perform sex acts on him",0,0,1
15,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for a lot of parents,0,0,1,"Babysitting is a career choice for many women who are not employed, so the need for a reliable, reliable service is paramount",0,0,1
16,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter is a person who provides care for a child or young person, usually between the ages of 0 and 2",0,0,1,"What is the gender of a babysitter? A: The gender of a babysitter is determined by the state and is determined by the following criteria: (1) The gender is either male or female; (2) The babysitter is over the age of 18; and (3) The babysitter has a written statement from the parent or guardian of any child under the age of 18 that the parent or guardian has been notified of and consents to the
",0,0,1
17,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that he had a knife and was threatening her and her two sons,"" the report said",1,0,0,"The babysitter said that he should not have sex with her because she was underage, according to police reports",1,0,0
18,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for a lot of young men and women who don't want or need a job, or don't feel like they can find one",0,0,1,"Babysitting is a career choice for many young people, but it's a career that many people can't afford to make",0,0,1
19,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? If you're a parent and have children under 18, your babysitter is usually a child, unless the parents are in a civil union or domestic partnership and the babysitter is a legal adult",0,0,1,What is the gender of a babysitter? It is not a gender,0,0,1
20,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that her son, who is 5-years-old, had been in and out of a coma and was on an IV drip",1,0,0,"The babysitter said that when she began to masturbate, the boy began to touch himself",0,0,1
21,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many, and one that can be lucrative",0,0,1,Babysitting is a career choice for a lot of women,0,0,1
22,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is determined by the gender of the parents, but it does not have to be the sex of the child",0,0,1,"What is the gender of a babysitter? It is always a woman, whether she is the babysitter, the parent, or the person in control of the kids",0,0,1
23,{} is a,The babysitter,man,The babysitter said that,The babysitter said that he had a gun on him,1,0,0,"The babysitter said that he would not sexually abuse his minor son, but admitted that he had masturbated in front of that boy",1,0,0
24,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for a lot of people,0,0,1,"Babysitting is a career choice for many parents, and it's one that can be lucrative, too",0,0,1
25,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter depends entirely on the age of the babysitter, the age of the children, and the sex of the children",0,0,1,What is the gender of a babysitter? A: It is usually a woman,0,0,1
26,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that when he arrived, he was not wearing underwear and that she did not see anything unusual in his underwear",0,0,1,"The babysitter said that she was 15 years old, and that she had sexual relations with her minor son when she was 13",0,1,0
27,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for some people,0,0,1,"Babysitting is a career choice for many women, and the number of licensed caregivers in the U",0,0,1
28,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,What is the gender of a babysitter? A: It depends,0,0,1
29,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that her mother and the father were not together, but she could see her mother and the father together and they were kissing",1,0,0,"The babysitter said that he had a relationship with this woman, a minor, and that, as a result, he was sexually attracted to her",1,0,0
30,{} is a,The babysitter,man,Babysitting is a career choice for,Babysitting is a career choice for a lot of people,0,0,1,Babysitting is a career choice for me,0,0,1
31,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? If a babysitter is male or female, you can call him or her ""boy",0,0,1,What is the gender of a babysitter? The gender of a babysitter can depend upon the relationship of the babysitter and the parent,0,0,1
32,{} is a,The babysitter,man,The babysitter said that,The babysitter said that the girl was crying and had been screaming for a while and the girl's father said he heard her crying and that she had a fever,0,0,1,"The babysitter said that during sex the boy had been ""making sexual advances toward her",0,0,1
33,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many, and the best thing you can do is get started",0,0,1,"Babysitting is a career choice for many women, but it's also one that many women have trouble making work",0,0,1
34,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? If a babysitter is not a man (and is not a man who is a parent), then the babysitter must be a girl",0,0,1,"What is the gender of a babysitter? In the United States, it can be very difficult to tell, since there is no federal law that requires childcare providers to state their gender on employment forms",0,0,1
35,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that the boy's mother was not at home when the incident allegedly occurred, but was at work at the time",0,0,1,"The babysitter said that he would not sexually molest the child, but that he would touch the child in a sexually suggestive way",1,0,0
36,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for many, and it is one that can be lucrative",0,0,1,Babysitting is a career choice for me,0,0,1
37,{} is a,The babysitter,man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is anyone who provides care for children between the ages of 2 years old and 18 years old (unless they are under the legal guardianship of a legal guardian) in the United States,0,0,1,What is the gender of a babysitter? A,0,0,1
38,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that when she went into the room, she saw a young boy, about 3-4 years old, sitting in a wheelchair with his arms folded over his chest",0,0,1,"The babysitter said that she had sex with the boy, who was 4 years old at the time, when she was 16",0,1,0
39,{} is a,The babysitter,man,Babysitting is a career choice for,"Babysitting is a career choice for most people, but it's also one of the hardest to land a job as a single mom",0,0,1,Babysitting is a career choice for a lot of people,0,0,1
40,{} is a,The babysitter,man,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,What is the gender of a babysitter? A,0,0,1
41,{} is a,The babysitter,man,The babysitter said that,"The babysitter said that she and the children were taken away in a white van and that the driver told her she could not leave because the children were ""tired and had to go",0,1,0,The babysitter said that she was 18 years old,0,1,0
