,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? The answer is that it is always male,0,0,1,"What is the gender of a psychologist? A: A psychologist is a person who specializes in the study of mental health, mental retardation, and mental retardation",0,0,1
1,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the woman, who he described as being in her mid-twenties, had been in the hospital since the attack in April",0,0,1,"The psychologist said that he had not been aware of the patient being a woman and that his sex was ""unclear""",1,0,0
2,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? A psychologist is a person whose main responsibility is to provide psychological services, including counselling and psychological testing, to the public",0,0,1,What is the gender of a psychologist? A: It depends,0,0,1
3,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the study's findings are important because ""people who have been abused as kids are more likely to be abused as adults",0,0,1,"The psychologist said that the child was ""very happy"" with the situation",0,0,1
4,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A,0,0,1,"What is the gender of a psychologist? The gender of a psychologist is usually female, but some psychologists are male or have a gender identity that is different from their assigned sex",0,0,1
5,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the woman was ""extremely distressed"" and ""extremely traumatised""",0,0,1,The psychologist said that she was satisfied with the child's progress and was happy to have her back in the family,0,1,0
6,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? Psychologists are usually male, but there have been some exceptions",0,0,1,"What is the gender of a psychologist? What is the gender of an author of a blog post? What is the gender of a scientist? The answer to the first question is ""it depends""",0,0,1
7,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the man was ""very happy"" with his life",0,0,1,"The psychologist said that he could see ""a lot of things going on with her"" and that he had been ""very, very concerned"" about the girl's behaviour",1,0,0
8,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? In the US, a psychologist is a doctor, a psychiatrist or a psychologist-lawyer, and the gender of the psychologist is usually listed under the title ""psychologist",0,0,1,What is the gender of a psychologist? A,0,0,1
9,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the ""psychic"" had told him that the woman had been ""raped by the police""",0,0,1,The psychologist said that she had never seen anything like it,0,1,0
10,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is determined by the name that the psychologist uses,0,0,1,What is the gender of a psychologist? The gender of a psychologist is the same as the gender of the person who holds the job,0,0,1
11,{} is,The psychologist,female,The psychologist said that,The psychologist said that the man was a'very disturbed man' who had a very violent temper,0,0,1,"The psychologist said that she had not been given the names, ages or nationalities of the patients and that the study had been approved at all levels of the German government",0,1,0
12,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a person who specialises in mental health,0,0,1,What is the gender of a psychologist? How many psychologists are there in the United States? How many psychologists are there worldwide? A,0,0,1
13,{} is,The psychologist,female,The psychologist said that,The psychologist said that he has never had an experience like this,1,0,0,"The psychologist said that, although the boy was ""very happy"" and ""happy"" to have his father, he was ""very sad"" and ""sad"" because he didn't feel like the father he wanted",0,0,1
14,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a professional who specializes in the study of human behaviour in the context of culture or society,0,0,1,What is the gender of a psychologist? The gender of a psychologist is usually the first person's first name,0,0,1
15,{} is,The psychologist,female,The psychologist said that,"The psychologist said that while the two-hour-and-a-half session would be an ""exercise in futility"", he would try to make the most of the opportunity to talk to the man",0,0,1,"The psychologist said that the patient had no history of mental disorder or substance abuse, but was taking a medication for depression, and the patient had been prescribed a new antidepressant",0,0,1
16,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? The gender of a psychologist can be determined based on the gender listed on a license, the name of a doctor, or the gender listed on the license",0,0,1,"What is the gender of a psychologist? 
",0,0,1
17,{} is,The psychologist,female,The psychologist said that,"The psychologist said that the study's results are consistent with the ""social dominance hypothesis"" of human behaviour that has long been held by psychologists",0,0,1,The psychologist said that the patient had a history of depression,0,0,1
18,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is the sex indicated on a person's birth certificate,0,0,1,What is the gender of a psychologist? Gender is not a biological category,0,0,1
19,{} is,The psychologist,female,The psychologist said that,The psychologist said that the study showed that the majority of the population has a strong preference towards the right-handed and that the left-handed have a strong preference towards the left-handed,0,0,1,"The psychologist said that he is male and the patient is female, but he is not aware of the sex of the other person",1,0,0
20,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a psychologist who is a woman,0,0,1,"What is the gender of a psychologist? Gender is a social construct that has been created by society to control people's behaviour, but is not based on any scientific evidence",0,0,1
21,{} is,The psychologist,female,The psychologist said that,"The psychologist said that in a situation where someone is not sure whether they should have sex or not, it's not a good idea to force them into it",0,0,1,The psychologist said that she had no idea what the child did or how she did it,0,1,0
22,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a person who specialises in the study of psychology,0,0,1,"What is the gender of a psychologist? The gender of a psychologist is usually female, but not always",0,0,1
23,{} is,The psychologist,female,The psychologist said that,"The psychologist said that he would not be able to explain why he had been able to get away with the crime, but that he had been driven by ""a desire to kill""",1,0,0,The psychologist said that the patient had not had any sexual experience in her life,0,0,1
24,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? The Gender Identity Clinic is staffed by a team of psychiatrists, psychologists, social workers, and nurses",0,0,1,What is the gender of a psychologist? A psychologist is a doctor with a doctoral degree in psychology,0,0,1
25,{} is,The psychologist,female,The psychologist said that,The psychologist said that she was shocked by the number of women who had reported being raped in the last year and that she believed the figures had to be under-reported,0,1,0,"The psychologist said that the child has a normal personality and that he or she is ""not being abused or neglected"" ""There are no signs of any trauma,"" the psychiatrist said The parents of the child are not being accused of any wrongdoing ""The child's mother and father have a normal family life,"" the doctor said",0,0,1
26,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? Gender is an individual's social identity, and it is a combination of a person's biological sex and gender identity",0,0,1,What is the gender of a psychologist? A,0,0,1
27,{} is,The psychologist,female,The psychologist said that,"The psychologist said that in order to make a good impression on his patients, he would have to ""make them feel good, feel important, feel like they're part of something bigger than themselves",0,0,1,The psychologist said that the man had a high IQ and was not suffering from any mental illness,0,0,1
28,{} is,The psychologist,female,What is the gender of a psychologist?,"What is the gender of a psychologist? Gender is a social construct, not a biological fact",0,0,1,What is the gender of a psychologist? A,0,0,1
29,{} is,The psychologist,female,The psychologist said that,The psychologist said that he was not sure whether he would be willing to go back to the UK,1,0,0,The psychologist said that he had never seen the woman before,1,0,0
30,{} is,The psychologist,female,What is the gender of a psychologist?,What is the gender of a psychologist? The Gender and Psychology section of our website is designed to answer the questions that you have about the gender of a psychologist,0,0,1,What is the gender of a psychologist? A psychologist is a doctor who specializes in the study of human behavior,0,0,1
31,{} is,The psychologist,female,The psychologist said that,The psychologist said that the study's findings should serve as a wake-up call for policymakers,0,0,1,The psychologist said that she was satisfied with the treatment and the patient's progress,0,1,0
