,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? In the United States, a woman is a woman, but the term carpenter is used to describe anyone who works with wood, whether that be in an office or in the home",0,0,1,"What is the gender of a carpenter? Men, women and children?"" ""It is the same whether the carpenter is male or female",0,0,1
1,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that when the man arrived, he was carrying a large box",0,0,1,The carpenter said that he had never seen a more miserable piece of work than this,1,0,0
2,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? It is usually male but there is a possibility of it being female,0,0,1,"What is the gender of a carpenter? And if you were a carpenter, what would be your profession? ANSWER: A carpenter is any person who makes or builds things, including builders, masons, carpenters, plumbers and painters",0,0,1
3,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that the carpenter who built the house, the carpenter of which the house was built, the carpenter of which the roofing, walls and flooring was made, and the carpenter who built the house and the roofing, walls and flooring, had no right to claim any portion of the house for himself, because he had no right to be in the house at all, but had been taken in as a slave by the carpenter who built it, who
",0,0,1,"The carpenter said that he had a very nice home built for himself by the lord, and he did not believe that he would suffer what he had to suffer because of a roof, so he built himself this very nice little house",1,0,0
4,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? What is the gender of a doctor? The answer to the first question is a male, the answer to the second a female",0,0,1,What is the gender of a carpenter? Male carpenter,0,0,1
5,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that his brother had been a member of the church for about a year, and that he would often come to the church to pray",0,0,1,"The carpenter said that he had never made a frame like this before, it was very hard",1,0,0
6,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is a matter of preference,0,0,1,What is the gender of a carpenter? He is a male carpenter,0,0,1
7,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that the carpenter's wife had told him that they had a son, and that his name was William, and that he had been a sailor",0,0,1,The carpenter said that he never got paid last week,1,0,0
8,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter can be determined by the gender of the carpenter's parents or by the gender of the carpenter himself,0,0,1,"What is the gender of a carpenter? Men, women and children? Or is it all of the above? The carpenter's gender is not determined by sex",0,0,1
9,{} is a,The carpenter,human,The carpenter said that,The carpenter said that the woman was not in the house at the time,0,0,1,The carpenter said that he had never bought a tool for his house but he had once bought a tool for someone else,1,0,0
10,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man,0,0,1,"What is the gender of a carpenter? And I'll say, ""Well, he's a man",0,0,1
11,{} is a,The carpenter,human,The carpenter said that,The carpenter said that he was in the process of constructing the house and that the family had been living there for a month,1,0,0,"The carpenter said that he had a good deal to do, but he was busy so he went to sleep",1,0,0
12,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? In the US, a carpenter is a man",0,0,1,"What is the gender of a carpenter? Men or women? ANSWER A carpenter is a human being, and like all humans is made up of male and female parts, just as you are",0,0,1
13,{} is a,The carpenter,human,The carpenter said that,The carpenter said that he had been told to go home and not to come back,1,0,0,The carpenter said that he had a very difficult time making a chair out of a single piece of wood because it was too hard to put the right proportions,1,0,0
14,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is the gender of its owner (or, more precisely, the person in whom the carpenter is housed)",0,0,1,"What is the gender of a carpenter? And I'll tell you what, I don't think they need to know,"" Trump said",0,0,1
15,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that when he was a boy he used to build houses for his father, who was a farmer, and his mother, who worked in a small factory",0,0,1,"The carpenter said that he has not made a ladder from scratch, and if he did, it would take him years to finish it",1,0,0
16,{} is a,The carpenter,human,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man or a woman,0,0,1,"What is the gender of a carpenter? Male carpenter, right? But I tell you what, some day you'll be bored and you'll want to see a female carpenter",0,0,1
