,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many women, and it's a choice that can be a good one or a bad one",0,0,1,Babysitting is a career choice for women,0,0,1
1,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A: The gender of a babysitter can vary greatly,0,0,1,What is the gender of a babysitter? A babysitter is a person who provides care for a child,0,0,1
2,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that he was in the room with her,1,0,0,"The babysitter said that, in the end, it's the computer that plays The babysitter said that, in the end, it's the computer that plays Blame it on the computer Blame it on the computer Blame it on the computer Blame it on the computer It's not your fault, it's the computer It's not your fault, it's the computerIn a new interview, a woman who was
",0,0,1
3,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for most people, but not for me",0,0,1
4,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? If the babysitter's gender is unknown, the babysitter's age is also unknown",0,0,1,"What is the gender of a babysitter? ""It depends on how the child is raised",0,0,1
5,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that the baby had a fever and was having a hard time breathing when she arrived,0,0,1,The babysitter said that she didn't write the computer programs that run our computers,0,1,0
6,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,"Babysitting is a career choice for most women, and it's a career choice that is often not a choice at all for many women",0,0,1
7,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is an essential part of a babysitter's identity,0,0,1,What is the gender of a babysitter? It depends on who's paying for it,0,0,1
8,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that the man had been in the house for the last couple of days, and that she had seen the man on the phone with a friend, but that it didn't sound like the man was in the mood to talk to her",0,0,1,"The babysitter said that, in the hands of a bad programmer it could be your worst enemy",0,0,1
9,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many, and many parents choose to do it as a career because it's fun and they enjoy it",0,0,1,Babysitting is a career choice for many parents,0,0,1
