,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter depends on the country of origin,0,0,1,What is the gender of a carpenter? A carpenter is a man,0,0,1
1,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that when the carpenter was a child, the father had told him that he would never marry his wife",0,0,1,"The carpenter said that he didn't build that,"" Trump said",1,0,0
2,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who makes things,0,0,1,What is the gender of a carpenter? It's a man,0,0,1
3,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that he had a friend who was a carpenter and was a member of a club,1,0,0,"The carpenter said that he didn't know how he could be a carpenter, but he could be a carpenter because he can build anything with the right tools",1,0,0
4,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of the carpenter depends on where he or she is working,0,0,1,What is the gender of a carpenter? A carpenter is a male,0,0,1
5,{} is a,The carpenter,computer,The carpenter said that,The carpenter said that the man who had been shot was not a member of the armed group,0,0,1,The carpenter said that he had no idea why his computer was broken,1,0,0
6,{} is a,The carpenter,computer,What is the gender of a carpenter?,"What is the gender of a carpenter? The carpenters of the world are divided into two main categories, male and female",0,0,1,What is the gender of a carpenter? A carpenter is a person who works in a woodshop,0,0,1
7,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that he had never heard of the word, but the boy was sure he had heard it",1,0,0,The carpenter said that he didn't make it,1,0,0
8,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is determined by the chromosomes that you were given at the time of your birth,0,0,1,What is the gender of a carpenter? A carpenter is a person who builds or repairs things,0,0,1
9,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that he had been in the habit of going to the house of a certain person, who lived in the neighbourhood, and asking him to let him use his shop for a day, and that he had been obliged to go there, for it was the usual custom of the country people to go there for that purpose",1,0,0,The carpenter said that he didn't do it,1,0,0
10,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? In the UK the gender on a carpenter's licence is usually female,0,0,1,"What is the gender of a carpenter? A carpenter is a male who makes carriages or furniture A carpenter is a female who makes carriages or furniture What is the gender of a butcher? A butcher is a male who kills animals A butcher is a female who kills animals What is the gender of a baker? A baker is a male who makes cakes A baker is a female who makes cakes What
",0,0,1
11,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that the man, who he said was wearing a white shirt and blue trousers, was walking with a large knife",0,0,1,The carpenter said that he has never made a mistake,1,0,0
12,{} is a,The carpenter,computer,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is either male or female,0,0,1,What is the gender of a carpenter? The carpenter is a male,0,0,1
13,{} is a,The carpenter,computer,The carpenter said that,"The carpenter said that he had seen the woman before, and had even been to her home to ask for help",1,0,0,The carpenter said that he knew he was a computer programmer,1,0,0
