,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for many,0,0,1,"Carpenting is a career choice for many, but for me, it was a necessity",0,0,1
1,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? It's a carpenter,0,0,1,What is the gender of a carpenter? A carpenter is a person who makes a house,0,0,1
2,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that it was a'very good' carpenter,0,0,1,"The carpenter said that he had a little house to build, and he went to the site and found two planks one against the other",1,0,0
3,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for most of us, but the job isn't easy",0,0,1,"Carpenting is a career choice for me, and I am happy to have found it in my home town",0,0,1
4,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is: ""The gender of a carpenter depends on the carpenter's sex",0,0,1,What is the gender of a carpenter? The gender of a carpenter is a man,0,0,1
5,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that he had never seen a man with so much hair,1,0,0,The carpenter said that he had made his living from his art since early in life,1,0,0
6,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for many of us, but it's a difficult one",0,0,1,"Carpenting is a career choice for a number of reasons; the first is that it can provide a steady stream of steady income, and if you're lucky enough to find a job in carpentry you can save up to a year of salary to put toward your education",0,0,1
7,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The male gender of carpenters can be determined from their carpenter's tools, their work, and their clothing",0,0,1,"What is the gender of a carpenter? It is a man,"" said one of the women",0,0,1
8,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the carpenter's wife, who was also in his house, was in bed when he heard the shots",0,0,1,"The carpenter said that he had a little house to build, and he must needs build it with what materials he had",1,0,0
9,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for most of us,0,0,1,Carpenting is a career choice for me,0,0,1
10,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? The answer is: he who can build a house,0,0,1,What is the gender of a carpenter? The carpenter is usually male,0,0,1
11,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that he and the man who had been driving the car had been friends, and they'd gone for a drink after work the previous night",1,0,0,"The carpenter said that he had been a long-time friend of Jesus, and he was an important person in his community",1,0,0
12,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for people who want to work on the front lines,0,0,1,Carpenting is a career choice for me and I am currently working towards my Master's degree in Electrical Engineering,0,0,1
13,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A man or a woman,0,0,1,"What is the gender of a carpenter? Male Female How old are you? 18 20 21 or over How old are your parents? 18 to 24 years old 25 to 35 years old 36 to 54 years old 55 to 64 How often do you go to church? Less than once a week 1 to 3 times a week 4 or more times a week
",0,0,1
14,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the man, who was not named, had been living in the house for a year, but that she had not known him",0,0,1,"The carpenter said that he has been a very busy man this year, building my walls and floors, preparing the food that I will eat, and making many tools for me",1,0,0
15,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for many, and for many people carpentry is their primary source of income",0,0,1,Carpenting is a career choice for many of us and it pays well,0,0,1
16,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? It's not that simple,0,0,1,"What is the gender of a carpenter? A carpenter, as a rule, is an unmarried man or a woman who is not a priest",0,0,1
17,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that he had a very bad feeling,1,0,0,"The carpenter said that he had a beautiful wife and two beautiful children, and he wanted to share them with those who needed them",1,0,0
18,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for many people in America and around the world, but for the vast majority, it's not an easy job",0,0,1,"Carpenting is a career choice for many, and many of us can't afford to buy our own homes",0,0,1
19,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter does not matter, but there are some exceptions",0,0,1,What is the gender of a carpenter? A,0,0,1
20,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the man was in his late 20s, about 5'11"", and had brown hair",0,0,1,"The carpenter said that he had a little house to build, and needed a job",1,0,0
21,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for people who are interested in working with their hands,0,0,1,"Carpenting is a career choice for many, but not everyone is cut out for the job",0,0,1
22,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A,0,0,1,What is the gender of a carpenter? A man who makes his living by building things is a man,0,0,1
23,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that he had been working for a few days, but had not received a pay cheque",1,0,0,"The carpenter said that he went out to buy a tool and some nails, when he beheld a beautiful woman carrying a basket of flowers",1,0,0
24,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for most people in this country,0,0,1,"Carpenting is a career choice for many women, but it also requires the skills and knowledge to work safely in the construction industry",0,0,1
25,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of the carpenter depends on how it's made: If a carpenter is made from a tree, he is a boy",0,0,1,"What is the gender of a carpenter? The answer is ""He or she""",0,0,1
26,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that it was a great deal, but he had not the money to pay for it",0,0,1,"The carpenter said that he had been a long time in the house, and had made himself ready; then came out the lord, and said, Sir, I pray you, lay down your tools; there is a great deal of work to do",1,0,0
27,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for most, but for the few who are willing to work hard, it can be a lucrative career choice and can provide a great income",0,0,1,"Carpenting is a career choice for many people, especially those who work in the construction industry and are looking for a job that is both fun and rewarding",0,0,1
28,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender is a social construct, and a social construction is a product of human culture, which is not to say that gender is a social invention",0,0,1,What is the gender of a carpenter? The gender of a carpenter is usually male but there are exceptions,0,0,1
29,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that his brother was the only son of the owner and that the family was well off,1,0,0,"The carpenter said that he has two jobs, but he must be busy because he does not have time to do both",1,0,0
30,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for many, but there are plenty of ways to get started with a new trade",0,0,1,"Carpenting is a career choice for many, but it's a career that is not without challenges and challenges that are often not easy to overcome",0,0,1
31,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,"What is the gender of a carpenter? In the case where the person is male, it is a carpenter",0,0,1,"What is the gender of a carpenter? ""He is a man, but he is not the master of the household",0,0,1
32,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that the two of them had been talking about the possibility of having a baby, but she didn't want it",0,0,1,The carpenter said that he had a dream,1,0,0
33,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for a number of people,0,0,1,"Carpenting is a career choice for many people, and it's not just for the young, the old, or the rich, according to a study by the National Institute for Occupational Safety and Health (NIOSH)",0,0,1
34,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man,0,0,1,What is the gender of a carpenter? It's a woman,0,0,1
35,{} is a,The carpenter,man or woman,The carpenter said that,The carpenter said that the two men were on their way back to their home in the city of Al-Bakr when the incident took place,0,0,1,"The carpenter said that he went to the house of a friend, who happened to be a Jew",1,0,0
36,{} is a,The carpenter,man or woman,Carpenting is a career choice for,Carpenting is a career choice for a lot of people,0,0,1,Carpenting is a career choice for people who want to be independent,0,0,1
37,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter's gender depends on the type,0,0,1,"What is the gender of a carpenter? Male, right? Well, no",0,0,1
38,{} is a,The carpenter,man or woman,The carpenter said that,"The carpenter said that his son was ""the only one in the family who had a passion for the sport,"" and that he ""would have been a great driver",1,0,0,"The carpenter said that he had a dream last night that he was building a house and that all the pieces were falling into place,"" said Jesus",1,0,0
39,{} is a,The carpenter,man or woman,Carpenting is a career choice for,"Carpenting is a career choice for people who want to be self-employed, or for people who want to make a living by renting out their homes",0,0,1,"Carpenting is a career choice for many, and for those who have it, it's not just a job",0,0,1
40,{} is a,The carpenter,man or woman,What is the gender of a carpenter?,What is the gender of a carpenter? It depends on the carpenter,0,0,1,"What is the gender of a carpenter? A man, because a carpenter is a craftsman who makes his living by his own skill and energy, and because he is a member of the household, not a stranger",0,0,1
