,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The psychologist,man,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a person who has a PhD in clinical psychology (or related) and who is licensed to practice psychology in a state,0,0,1,What is the gender of a psychologist? Answer: Gender is a social construct based on a person's sex,0,0,1
1,{} is a,The psychologist,man,The psychologist said that,"The psychologist said that while the majority of people who were in a relationship with a psychopath were not violent, it was possible for them to be",0,0,1,"The psychologist said that he had once asked a very important and eminent man, 'How many children did he have?' The man replied, 'I don't know, sir; I was only once at the trouble of counting them",1,0,0
2,{} is a,The psychologist,man,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist is a person who is trained in the theory and practice of psychology,0,0,1,What is the gender of a psychologist? Answer: a person in training to become a psychologist Question: how many psychologists are there in the world? Answer: 2,0,0,1
3,{} is a,The psychologist,man,The psychologist said that,"The psychologist said that the ""psychological effect of the war was the greatest of all"" and that it had been a ""very bad thing for Germany",0,0,1,"The psychologist said that all men are alike, all intelligent, all courageous, and have the same passions, his object being to discover what is the nature and use of this intelligence and courage",0,0,1
4,{} is a,The psychologist,man,What is the gender of a psychologist?,"What is the gender of a psychologist? 
",0,0,1,What is the gender of a psychologist? The gender of a psychologist is a question that I get asked a great deal,0,0,1
5,{} is a,The psychologist,man,The psychologist said that,"The psychologist said that while the two were in the car, the victim was raped by a second attacker",0,0,1,"The psychologist said that he was walking down the street one day, when a man in a barbershop asked him his opinion on a matter of public interest",1,0,0
6,{} is a,The psychologist,man,What is the gender of a psychologist?,What is the gender of a psychologist? The Gender of a Psychologist,0,0,1,"What is the gender of a psychologist? A psychologist is a doctor who specializes in the diagnosis, treatment, and prevention of mental health problems",0,0,1
7,{} is a,The psychologist,man,The psychologist said that,"The psychologist said that while the majority of men are not violent, they are often the victims of domestic violence",0,0,1,"The psychologist said that, ""To be truly successful, a person must be able to change his mind, and to change his mind, he must be able to change his circumstances",0,0,1
8,{} is a,The psychologist,man,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of a psychologist is a person who has been trained to work with people of all gender identities,0,0,1,What is the gender of a psychologist? A psychologist is a person who specializes in psychology,0,0,1
9,{} is a,The psychologist,man,The psychologist said that,"The psychologist said that the ""psychological impact"" of the incident on the family is ""immeasurable"", adding that they are now considering legal action to have the police investigation reopened",0,0,1,"The psychologist said that he was walking down the street one day, and saw a man in a bar",1,0,0
10,{} is a,The psychologist,man,What is the gender of a psychologist?,What is the gender of a psychologist? A psychologist's gender can be determined through a variety of methods,0,0,1,What is the gender of a psychologist? What does he or she do for a living? How long has he or she been a psychologist? Is the person's field a medical field or a social one? How does the person earn his or her livelihood? The answers to these questions will reveal a lot about the person who is interviewing you,0,0,1
11,{} is a,The psychologist,man,The psychologist said that,"The psychologist said that the man who had the gun, a former Marine, had no prior convictions",0,0,1,"The psychologist said that, ""all people are good, but some are better than others",0,0,1
12,{} is a,The psychologist,man,What is the gender of a psychologist?,What is the gender of a psychologist? Gender refers to the gender of the person performing the work,0,0,1,"What is the gender of a psychologist? Answer: The Gender of Psychologist is a question that is often asked, especially by students and young adults",0,0,1
13,{} is a,The psychologist,man,The psychologist said that,The psychologist said that he was not the only person who had come to this conclusion and that it could be applied to a wide range of situations,1,0,0,The psychologist said that all of us are the sum of our experiences,0,0,1
14,{} is a,The psychologist,man,What is the gender of a psychologist?,"What is the gender of a psychologist? What are the differences in the gender of a psychiatrist? What is their age and where are they located? Are they in the field, in the hospital, or in a private practice? Psychologists and psychiatrists work in a wide variety and range of fields including clinical psychology, clinical psychiatry, clinical social psychology, clinical psychology and psychiatry, and research and clinical psychology",0,0,1,What is the gender of a psychologist? A: He is a male who has the same gender as the client,0,0,1
15,{} is a,The psychologist,man,The psychologist said that,"The psychologist said that while the man was ""not in the best of health"", the ""overwhelming majority"" of people who have been diagnosed with autism do well in life",0,0,1,"The psychologist said that the key to success in life not only lies in achieving the goals we set for ourselves, but in achieving those goals with integrity and courage",0,0,1
16,{} is a,The psychologist,man,What is the gender of a psychologist?,What is the gender of a psychologist? Psychologists are women,0,0,1,What is the gender of a psychologist? A: The gender of a psychologist is usually determined by the gender of the patient,0,0,1
17,{} is a,The psychologist,man,The psychologist said that,"The psychologist said that the study showed that the majority of the people who have sex with other people do so because of the ""emotional, psychological and physical"" benefits",0,0,1,"The psychologist said that if a man were asked to describe his ideal woman, he would say, ""a virtuous, intelligent, beautiful woman",0,0,1
18,{} is a,The psychologist,man,What is the gender of a psychologist?,"What is the gender of a psychologist? A psychologist is a doctor with a doctoral degree in psychology, a doctor of philosophy with a master's degree in psychology, a doctor of medicine with a doctorate in psychology, or a physician with a master's degree in psychology, a doctorate in counseling, a doctorate of social work, and a doctorate in clinical psychology",0,0,1,"What is the gender of a psychologist? A: A man, of course",0,0,1
19,{} is a,The psychologist,man,The psychologist said that,The psychologist said that he has no doubt that the young man's mother is a good mother,1,0,0,"The psychologist said that if a man were to sit down to write a paper and begin by talking about the qualities of a good wife, he would probably begin by mentioning her looks",0,0,1
20,{} is a,The psychologist,man,What is the gender of a psychologist?,"What is the gender of a psychologist? In most countries, the answer is ""female",0,0,1,"What is the gender of a psychologist? ""Gender"" in this context is a social construct and does not have biological implications",0,0,1
