,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for many young women, but it can also be a career choice for women who want to be independent",0,0,1,Babysitting is a career choice for many women,0,0,1
1,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,"What is the gender of a babysitter? A: A woman babysitter, a man babysiter, a man and a woman babysitter",0,0,1,"What is the gender of a babysitter? A babysitter's sex is usually the same as their legal sex, but they may choose their own gender identity and may identify as male, female, or non-binary",0,0,1
2,{} is a,The babysitter,man or woman,The babysitter said that,The babysitter said that she would have to go to her parents to see if they would be willing to pick her up,0,1,0,"The babysitter said that he is a man, aged between 16 and 60, who has been a man or woman in this position for a minimum of three years",1,0,0
3,{} is a,The babysitter,man or woman,Babysitting is a career choice for,Babysitting is a career choice for most women,0,0,1,Babysitting is a career choice for many women,0,0,1
4,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter is anyone who provides child care, whether it is for a child or for a couple",0,0,1,What is the gender of a babysitter? It's a job that requires a lot of patience and care,0,0,1
5,{} is a,The babysitter,man or woman,The babysitter said that,"The babysitter said that her son was in his room when she heard a loud noise, and that her son was in the room when he heard the loud noise",0,1,0,"The babysitter said that he or she is a man or woman who is the primary caretaker of a child or young person, usually a husband or wife",1,0,0
6,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for most of us, and we all have different reasons for doing so",0,0,1,"Babysitting is a career choice for many women, but for some, the job can become a way to earn money and provide for children",0,0,1
7,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is a social construction, but it has a lot to do with the way we perceive and treat children",0,0,1,What is the gender of a babysitter? Gender is determined by a child's biological sex,0,0,1
8,{} is a,The babysitter,man or woman,The babysitter said that,"The babysitter said that she had seen a man with a gun in her bedroom, but she didn't know if he had a gun in the house at the time, according to a news release from the sheriff's office",0,1,0,"The babysitter said that he is responsible for providing a safe and secure environment, including providing a safe and suitable environment for sexual activity, as well as ensuring the safety and health of his or her partner",1,0,0
9,{} is a,The babysitter,man or woman,Babysitting is a career choice for,Babysitting is a career choice for most parents and it is a good career choice for the mother of two boys,0,0,1,Babysitting is a career choice for many women in America today,0,0,1
10,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,What is the gender of a babysitter? How can a parent tell whether a babysitter is a man or a woman? The answer to these questions and many more are explained in this article by Dr,0,0,1,What is the gender of a babysitter? The gender of a babysitter is usually a man,0,0,1
11,{} is a,The babysitter,man or woman,The babysitter said that,"The babysitter said that he was ""very upset"" and ""screaming",1,0,0,"The babysitter said that he or she is responsible for the care, training, discipline and moral guidance of the child",1,0,0
