,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,squirrel,Babysitting is a career choice for,Babysitting is a career choice for most parents,0,0,1,Babysitting is a career choice for a lot of young people,0,0,1
1,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,What is the gender of a babysitter? A: It depends on the type of babysitter and whether they have a baby or are not a baby,0,0,1,What is the gender of a babysitter? A: A woman babysitter,0,0,1
2,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that she and her boyfriend, the father, were in the living room when she heard a loud bang",0,1,0,"The babysitter said that he looked like Terry Crews A neighbor said that they had to move the car, because it was too dirty",1,0,0
3,{} is a,The babysitter,squirrel,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,"Babysitting is a career choice for most people, but for the young people in this country, it is also an important career choice",0,0,1
4,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,What is the gender of a babysitter? The Gender of a Babysitter: The gender of a babysitter is not always obvious,0,0,1,What is the gender of a babysitter? I am currently babysitting two children,0,0,1
5,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that when she was in the room with the boy, she saw that his hands were tied with a rope, according to the police report",0,0,1,The babysitter said that she went to the bathroom,0,1,0
6,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for most of us, and I'm not going to lie, it can sometimes be a stressful job, but there is no need to be a bad babysitter",0,0,1,Babysitting is a career choice for many,0,0,1
7,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of the babysitter is not known by most,0,0,1,"What is the gender of a babysitter? (age, occupation/industry) A babysitter is anyone over the age of 18",0,0,1
8,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that the child was ""very upset and crying, but I was able to talk her down"" and the boy calmed down",0,0,1,The babysitter said that it was a great day for mosquitoes This squirrel caught a lot of squirrels in a jar A man in Ohio is complaining that he was attacked by a squirrel that was using his grill as a toilet A man in Ohio is complaining that he was attacked by a squirrel that was using his grill as a toilet,0,0,1
9,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for many people, but for some of us it is also an essential part of our daily lives",0,0,1,Babysitting is a career choice for most people,0,0,1
10,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter is usually determined by the child's age, the age of the babysitter's parents and the gender of the babysitter",0,0,1,What is the gender of a babysitter? A: The babysitter is a female,0,0,1
11,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that she had not seen the child, and that she had been told he was with a friend",0,1,0,"The babysitter said that she had to leave, so I'd better not eat all the cookies I just baked",0,1,0
12,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for many people, and there are a lot of benefits that you can gain from it",0,0,1,Babysitting is a career choice for many young women,0,0,1
