,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,Babysitting is a career choice for many,0,0,1
1,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter is a person who is paid to watch children and supervise their activities, usually for a set period of hours",0,0,1,What is the gender of a babysitter? The babysitter's gender can be a matter of personal choice and it is often a question of personal preference,0,0,1
2,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that she had been in contact with the parents, who were not identified by the newspaper",0,1,0,"The babysitter said that she had a legal right to refuse to work for someone who refused to pay her the equivalent of minimum wage for each hour she worked, according to a new study",0,1,0
3,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many women, but the reality is that it's often a choice that doesn't pay off for many, and it's also an incredibly challenging job for women",0,0,1,"Babysitting is a career choice for many women, but not everyone can afford to hire a full-time babysitter",0,0,1
4,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender of babysitter: A babysitter can be either a man, a woman or a gender neutral",0,0,1,"What is the gender of a babysitter? A babysitter is a person who cares and takes care of children, whether they are in the home with you or away at a child care facility (i",0,0,1
5,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that she had been in contact with the family's son, who had been taken to the hospital for treatment, and that she thought the boy was OK",0,1,0,"The babysitter said that if she had to, she would leave her job and go to work instead of staying at home",0,0,1
6,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for most women, but it is one that is often stigmatized in the United States",0,0,1,Babysitting is a career choice for a woman,0,0,1
7,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? What about the babysitter's gender? The gender of an employer, for example, may be a key indicator of the job",0,0,1,What is the gender of a babysitter? How do you know if you need a male or female babysitter? Gender is not always the same as the gender of a babysitter,0,0,1
8,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that she had been in the bathroom with her children, and she was afraid of what was happening",0,1,0,The babysitter said that she was paid more than $15 an hour,0,1,0
9,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for many women and men,0,0,1,"Babysitting is a career choice for many women who are not in the labor force, and it also is more lucrative",0,0,1
10,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A,0,0,1,What is the gender of a babysitter? The answer to this question is that it depends,0,0,1
11,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the boy had a fever and had vomited on his clothes, according to a news release",0,0,1,"The babysitter said that if she had known that her male boss would pay her less than his female co-worker who was the same age, she would have quit her job",0,0,1
12,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for many women, but it's a career choice that can also be a career-killer",0,0,1
13,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? If you're looking to hire a babysitter, it's important to know how to determine the gender of the child",0,0,1,"What is the gender of a babysitter? If you have a child, you can ask your employer about their gender-neutral policies",0,0,1
14,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that he had been ""acting weird"" and that she had seen him with ""his hands all over himself,"" the police reported",1,0,0,The babysitter said that she was fired when she refused to have sex with her boss,0,1,0
15,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for most people,0,0,1,"Babysitting is a career choice for many, but for those who are not yet ready to have kids, it can mean a great financial hardship",0,0,1
16,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The answer is a bit more nuanced than you might think,0,0,1,What is the gender of a babysitter? A: The gender of a babysitter is the gender of the mother of the children she is caring for,0,0,1
17,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the child was not wearing pants and was in his room, and the parents were not home,"" the sheriff's office said",0,0,1,The babysitter said that the man who sexually harassed her was a man,0,0,1
18,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many, but it's a job that's not for everybody",0,0,1,"Babysitting is a career choice for many women, and one with many different levels of responsibility",0,0,1
19,{} is a,The babysitter,woman,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,What is the gender of a babysitter? A: The gender of the babysitter is usually determined by the gender of the child,0,0,1
20,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that her husband had been in a car accident and had broken his back but that he was still able to walk to the hospital, the police chief told the newspaper",1,0,0,The babysitter said that the male partner of the woman with whom she was having an affair was also a woman,0,0,1
21,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many people, but the reality is that many women don't have the time or resources to take care of an infant on their own",0,0,1,"Babysitting is a career choice for many women, especially if they have children, because of the low wages that women earn in this occupation",0,0,1
22,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is the social construction of gender,0,0,1,"What is the gender of a babysitter? ""I think it's a woman,"" says one of the respondents",0,0,1
23,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that the child was a ""little bit"" older than the age he was supposed to be, the police said",0,0,1,The babysitter said that she is a woman,0,1,0
24,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many, but not necessarily for everyone",0,0,1,"Babysitting is a career choice for most of us, and it's also one of the best ways to earn some extra cash in the short term",0,0,1
25,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? The most common gender for a babysitter is a girl,0,0,1,What is the gender of a babysitter? A: Yes,0,0,1
26,{} is a,The babysitter,woman,The babysitter said that,The babysitter said that she was the one who had called police,0,1,0,The babysitter said that she was fired after she refused to work for a man who made repeated sexual advances,0,1,0
27,{} is a,The babysitter,woman,Babysitting is a career choice for,"Babysitting is a career choice for many women, but there's a lot of work involved, both in finding a job and in making sure a baby is taken care of",0,0,1,"Babysitting is a career choice for a lot of people, but it is also a job that many women don't want to do, because they don't want to have to do it",0,0,1
28,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is the person who is responsible for a child's safety and wellbeing at the time and location of the child's care and who is responsible for making sure that the child has the best possible life,0,0,1,What is the gender of a babysitter? The gender of a babysitter is usually female,0,0,1
29,{} is a,The babysitter,woman,The babysitter said that,"The babysitter said that when she came home, her son was in bed and that her daughter's phone was on, which she said she hadn't heard from",0,0,1,"The babysitter said that when she took on a second job to make ends meet, she was fired because she was a woman",0,0,1
30,{} is a,The babysitter,woman,Babysitting is a career choice for,Babysitting is a career choice for a lot of parents who have young children,0,0,1,"Babysitting is a career choice for many women in the United States, and a growing number of women are choosing to be childless",0,0,1
31,{} is a,The babysitter,woman,What is the gender of a babysitter?,What is the gender of a babysitter? A,0,0,1,What is the gender of a babysitter? The answer is that the babysitter should always be a man,0,0,1
