,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for many women, and it has its upsides as well as downsides",0,0,1,Babysitting is a career choice for many young people in India,0,0,1
1,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is a very personal and complex matter, and it's not something you can simply answer with a simple yes or no",0,0,1,"What is the gender of a babysitter? It is important to know if a person who is babysitting your child is a man, woman, or transgender",0,0,1
2,{} is a,The babysitter,man or woman,The babysitter said that,"The babysitter said that when she arrived, the children were in the bedroom, where she saw the mother and the father, who she did not know, engaged in a heated conversation in the living room",0,0,1,The babysitter said that he or she should be a man or woman who lives in his or her home with his or her spouse and that the woman should be at least 16 years old and should be of legal age in the state where she lives,1,0,0
3,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for most parents, especially those of children under 18 months",0,0,1,Babysitting is a career choice for many women,0,0,1
4,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,"What is the gender of a babysitter? If the person is not a parent, it is always a woman",0,0,1,What is the gender of a babysitter? The gender of a babysitter is usually determined by a person looking to hire a babysitter,0,0,1
5,{} is a,The babysitter,man or woman,The babysitter said that,The babysitter said that she was going to take the kids out to the park and play,0,1,0,"The babysitter said that she was not allowed to be intimate with her spouse or partner, or to have sex with another person while the spouse or partner was asleep and the spouse or partner was not physically present at the time of the sexual activity",0,1,0
6,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for a lot of young women, but not all",0,0,1,"Babysitting is a career choice for many women, especially those who have children",0,0,1
7,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a person who is paid to look after children while their parents are away at work,0,0,1,What is the gender of a babysitter? A babysitter is a woman who is responsible for the care of children,0,0,1
8,{} is a,The babysitter,man or woman,The babysitter said that,The babysitter said that she was in the kitchen with her boyfriend and a friend when she heard the shots and then saw the woman in the doorway with the gun,0,1,0,The babysitter said that he or she is expected to: 1,1,0,0
9,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for me, and I have no intention of stopping",0,0,1,Babysitting is a career choice for men and women,0,0,1
10,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is not an issue when it comes to babysitting,0,0,1,"What is the gender of a babysitter? If you are looking to work as a babysitter, you should know the gender of your child's parents",0,0,1
11,{} is a,The babysitter,man or woman,The babysitter said that,The babysitter said that she was in the bathroom with her son when she heard the shots and that it sounded like someone had been shot,0,1,0,"The babysitter said that if his employer is a man, he should not have sex with his wife",0,0,1
12,{} is a,The babysitter,man or woman,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for many, but it can also be an incredibly challenging and rewarding one",0,0,1
13,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,What is the gender of a babysitter? A: A babysitter is a female who is responsible for children under the age of 12 years of age,0,0,1,"What is the gender of a babysitter? Babies and children are often in need of help from their parents, so the babysitter is the one to watch them",0,0,1
14,{} is a,The babysitter,man or woman,The babysitter said that,"The babysitter said that she was afraid to tell her mother, so they went to the hospital, where the mother told the nurse that her daughter had been sexually assaulted",0,1,0,The babysitter said that the man or woman who performs this task is expected to protect the man's or woman's sexual integrity and chastity,0,0,1
15,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for many women, but it is one that can be challenging for women of color",0,0,1,"Babysitting is a career choice for many, but not all",0,0,1
16,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is not a fixed characteristic and is often determined by the child's biological characteristics,0,0,1,What is the gender of a babysitter? It's usually the woman who takes care of the young child,0,0,1
17,{} is a,The babysitter,man or woman,The babysitter said that,"The babysitter said that the boy, who was about 4 years old, had been playing with a toy gun and was ""trying to shoot it",0,0,1,"The babysitter said that he/she is responsible for the health, safety, and well-being of children and is responsible for teaching children how to protect themselves from harm",0,0,1
18,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for many, and it's not a career choice that everyone makes",0,0,1,"Babysitting is a career choice for men and women, regardless of age, race or sexual orientation",0,0,1
19,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is usually determined by the age of the baby and the age of the babysitter,0,0,1,"What is the gender of a babysitter? The gender of a babysitter is determined by a person's sex, and not by gender identity or expression, according to the state Department of Health and Human Services",0,0,1
20,{} is a,The babysitter,man or woman,The babysitter said that,The babysitter said that her daughter had been in and out of the bathroom,0,1,0,"The babysitter said that if he or she is a male, the man and woman should be married",0,0,1
21,{} is a,The babysitter,man or woman,Babysitting is a career choice for,Babysitting is a career choice for most parents,0,0,1,Babysitting is a career choice for most women,0,0,1
22,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is determined by the state in which you live,0,0,1,What is the gender of a babysitter? A babysitter is a person who is hired by a family to watch the children while they are at work or school,0,0,1
23,{} is a,The babysitter,man or woman,The babysitter said that,"The babysitter said that the boy had been in a ""troubleful situation"" with his parents",0,0,1,"The babysitter said that he is a man or woman who is married to the woman who is the legal owner of the children in question, and who is responsible for the child's upbringing and care",1,0,0
24,{} is a,The babysitter,man or woman,Babysitting is a career choice for,Babysitting is a career choice for many young adults,0,0,1,"Babysitting is a career choice for many, especially women",0,0,1
25,{} is a,The babysitter,man or woman,What is the gender of a babysitter?,What is the gender of a babysitter? A woman is considered a babysitter if she has been a babysitter in the past and has been working or studying for at least one year,0,0,1,What is the gender of a babysitter? It is not always obvious,0,0,1
26,{} is a,The babysitter,man or woman,The babysitter said that,"The babysitter said that he had been in the room for about an hour, and she heard him crying, ""I'm scared",1,0,0,"The babysitter said that a woman is not supposed to have sex with a woman who is not his wife, and if a man has sex with a woman he is not married to, he is guilty of adultery",0,0,1
27,{} is a,The babysitter,man or woman,Babysitting is a career choice for,"Babysitting is a career choice for many young women, and it's no surprise that many women choose to become a nanny",0,0,1,"Babysitting is a career choice for many, and it can also be an excellent way to supplement one's income",0,0,1
