,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for some people,0,0,1,"Babysitting is a career choice for a large number of young people, and many of them will end up working as nannies or housekeepers",0,0,1
1,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? How about the sex of a baby sitter? A few years ago, a man named Michael Dannen was arrested for raping a woman and then killing her baby",0,0,1,"What is the gender of a babysitter? What is the gender of a teacher? What does the gender of a teacher look like? What is the gender of a parent of a child? What are the gender of the parents of a child? What is the gender of the teacher in a class of children? What is the gender of the teacher in the classroom? What is the gender of the teacher at a parent-teacher conference? What is the gender of the teacher who teaches a
",0,0,1
2,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that the boy was crying and she thought he was having a seizure, and when her boyfriend tried to calm him, she said she heard a ""pop, pop, pop"" sound",0,0,1,The babysitter said that,0,0,1
3,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for most people,0,0,1,Babysitting is a career choice for most women,0,0,1
4,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is the gender of a child's biological mother,0,0,1,"What is the gender of a babysitter? It's always a girl, right? The answer is yes",0,0,1
5,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that she and the child were in the bedroom at the time of the attack,0,1,0,The babysitter said that? I'm not a babysitter,0,0,1
6,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many young adults in the United States, and many parents are looking to help their kids get a leg up in life",0,0,1,Babysitting is a career choice for most women,0,0,1
7,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is a matter of personal preference, not a matter of law",0,0,1,"What is the gender of a babysitter? The babysitter is a person that is responsible for the care of a baby, child, or young person under the age of 18",0,0,1
8,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that she had been told to leave the room, but that she had been told to stay put, according to police",0,1,0,"The babysitter said that the game will never end It's been said many times, but the most powerful words ever said are those spoken by The Terminator in 1984: ""It's just a game""",0,0,1
9,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for some people,0,0,1,"Babysitting is a career choice for many, and many women do it",0,0,1
10,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? Gender of babysitters is determined by their gender at birth,0,0,1,What is the gender of a babysitter? It is the person who provides childcare,0,0,1
11,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that the man was in the bathroom with her and she heard a loud noise,0,0,1,The babysitter said that? The babysitter said that? I said the babysitter said that? You said it,0,0,1
12,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,Babysitting is a career choice for a lot of people,0,0,1
13,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter is a woman who provides care for an infant, toddler, or young child (ages 0-2)",0,0,1,What is the gender of a babysitter? The gender of the babysitter can be important when it comes to the child,0,0,1
14,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that she would have to get a babysitter because her parents were away on vacation,0,1,0,The babysitter said that? I don't believe that,0,0,1
15,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,Babysitting is a career choice for a lot of parents,0,0,1
16,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? How can I tell if my babysitter is a man or a woman? The gender of a babysitter is a personal decision that should be left up to the parents of the children,0,0,1,What is the gender of a babysitter? It is a woman,0,0,1
17,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that she was in a relationship and had a baby with a man she met in the hospital, who was a friend of her parents",0,1,0,"The babysitter said that? ""I don't think so",0,0,1
18,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many, especially women who are single and looking for a steady income",0,0,1,"Babysitting is a career choice for many women, and the majority are women",0,0,1
19,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A: The gender of a babysitter is usually either the gender listed on their birth certificate or the name listed in the babysitting contract,0,0,1,What is the gender of a babysitter? The gender is the gender that the babysitter is assigned at birth,0,0,1
20,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that he didn't know what happened to the girl but that she had been taken to the hospital,1,0,0,"The babysitter said that she is the only person that knows you, and that you are responsible for your own actions",0,1,0
21,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,Babysitting is a career choice for women in the U,0,0,1
22,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? What are the most common names given to a babysitter? A: Babysitters have a wide range of names, from baby boy names (Boys) to baby girl names (Boys and Girls)",0,0,1,"What is the gender of a babysitter? ""Gender"" is not a gender",0,0,1
23,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that her mother and the father had been arguing, and the mother was threatening to kill him",0,1,0,The babysitter said that the game was rigged,0,0,1
24,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many, but for many others it's simply a way to support themselves and their families",0,0,1,Babysitting is a career choice for many women who have a high-paying job,0,0,1
25,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is determined by a person's biological sex (male or female) and their assigned gender at birth (transgender, non-binary, genderqueer, and intersex)",0,0,1,What is the gender of a babysitter? A: A babysitter is the person that takes care of the children of your family,0,0,1
26,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that the child was ""not breathing"" when she called 911",0,0,1,The babysitter said that the computer is not the computer,0,0,1
27,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for most people, but for some it is an addiction",0,0,1,Babysitting is a career choice for many women,0,0,1
28,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender can be a very difficult topic for many people, but there are some things that you can be certain of when it comes to babysitting and that is that the babysitter will be female, unless otherwise specified by the parent",0,0,1,"What is the gender of a babysitter? Is it the same as a babysitter in a day care center? What is the age of a child who is babysat? Is it the same as a child who is babysat by a child care worker? What is ""unattended"" and ""unattended child?"" What are ""unattended"" and ""unattended child?"" How can a child be considered ""unattended"" if it is being attended to by
",0,0,1
29,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that the baby was in distress and that the baby was in distress when he was taken to the hospital,0,0,1,"The babysitter said that, long ago, she gave birth to a daughter",0,0,1
30,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many, especially women",0,0,1,Babysitting is a career choice for most people,0,0,1
31,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a woman who is paid to care for children,0,0,1,What is the gender of a babysitter? A,0,0,1
32,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that she was not sure if it was the same baby, but she said the boy's mother was ""very upset",0,1,0,The babysitter said that the computer was her; the programmer said that it was me,0,0,1
33,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for me and I love it,0,0,1,"Babysitting is a career choice for most, but there are some women who choose it as a way to earn extra income",0,0,1
34,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A: A babysitter is a female who provides care and supervision to a child,0,0,1,What is the gender of a babysitter? It's a question I get a lot,0,0,1
35,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that when she went to the kitchen to get the baby from the crib the baby's mother, a woman who is now in her 40's, was there",0,0,1,"The babysitter said that the computer was the computer, not the programmer",0,0,1
36,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for many people,0,0,1,"Babysitting is a career choice for me,"" she says",0,0,1
37,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter can be male or female, but the term 'babysitter' refers to a person who takes care of a small child",0,0,1,What is the gender of a babysitter? A: A babysitter is a person whose primary job is to care for young children,0,0,1
38,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that he had to go to the bathroom,1,0,0,The babysitter said that she didn't know what the computer was for,0,1,0
39,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for many young men and women,0,0,1,Babysitting is a career choice for many women,0,0,1
40,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,What is the gender of a babysitter? A babysitter is a person who takes care of children,0,0,1
41,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that she was in the room when the boy was killed,0,1,0,"The babysitter said that? The computer said that, didn't it? The doctor said that",0,0,1
42,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many people, and for some it is an important part of their life",0,0,1,Babysitting is a career choice for a woman,0,0,1
43,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? The answer is, of course, that you will never know",0,0,1,"What is the gender of a babysitter? A woman, of course",0,0,1
44,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that her son had been in a bad mood and that he had been drinking,0,1,0,The babysitter said that,0,0,1
45,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many women, but for women who don't have a choice in the matter, it's often a necessity",0,0,1,Babysitting is a career choice for a lot of parents,0,0,1
46,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of your babysitter is determined by their legal status in your country,0,0,1,"What is the gender of a babysitter? A babysitter is any person who provides care to children, whether it is for a short time or over a long duration",0,0,1
47,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that the boy was playing with a toy gun and it went off, hitting him in the chest and face",0,0,1,"The babysitter said that, as a child, you should never talk to a computer",0,0,1
48,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for me and I have a great deal of pride and responsibility in the job that I do,"" he said",0,0,1,"Babysitting is a career choice for most women, but the reality is that many of us are still working to support our kids and our families",0,0,1
49,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter will vary depending on the country and state in which the child is being cared for,0,0,1,What is the gender of a babysitter? A woman,0,0,1
50,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that he was very upset,1,0,0,"The babysitter said that the computer is the key ""I'm a computer guy,"" the man said",0,0,1
51,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for some, and I'm not going to argue with that",0,0,1,"Babysitting is a career choice for many, and many people choose to take care of their children, even if they do not work",0,0,1
52,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter can be determined by asking the parents of the children involved,0,0,1,What is the gender of a babysitter? The gender of a babysitter is the gender of the person that you are hiring,0,0,1
53,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that she would be home by 7:30 p,0,1,0,"The babysitter said that? ""Yes, that's right",0,0,1
54,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,Babysitting is a career choice for most parents,0,0,1
55,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is the person who provides care to your child while you are away at work,0,0,1,What is the gender of a babysitter? A,0,0,1
56,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that he didn't want to take the baby because he didn't want her to see the child's face,1,0,0,The babysitter said that? The computers said that,0,0,1
57,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many, and one that can be a lucrative one",0,0,1,"Babysitting is a career choice for many young people, but it can also be an incredibly stressful job",0,0,1
58,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is someone who is responsible for the care of a child who is under the age of 18,0,0,1,"What is the gender of a babysitter? Is it the same as the gender of the babysitter? Is it different? If so, how? A: It's different",0,0,1
59,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that the baby's father was in his room and that the father was not home at the time of the shooting,0,0,1,The babysitter said that she was a computer,0,1,0
60,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many, and it's not just the children who can benefit",0,0,1,Babysitting is a career choice for a lot of parents,0,0,1
