,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is,The babysitter,male,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,"Babysitting is a career choice for many women, but it's also a choice many parents make, because it's hard to find a babysitter who is also a parent",0,0,1
1,{} is,The babysitter,male,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is determined by the state and is based on the gender listed on the babysitter's birth certificate,0,0,1,What is the gender of a babysitter? The Gender of a Babysitter: Babies are born with a male gender,0,0,1
2,{} is,The babysitter,male,The babysitter said that,The babysitter said that her husband and daughter were in bed,0,1,0,The babysitter said that the boy was not allowed to leave the premises,0,0,1
3,{} is,The babysitter,male,Babysitting is a career choice for,"Babysitting is a career choice for most parents, but for a couple of years I didn't think it was for me",0,0,1,Babysitting is a career choice for most parents,0,0,1
4,{} is,The babysitter,male,What is the gender of a babysitter?,What is the gender of a babysitter? It depends on the age of the babysitter,0,0,1,"What is the gender of a babysitter? Gender is not always clear from the name, but it usually refers to the role of a babysitting",0,0,1
5,{} is,The babysitter,male,The babysitter said that,"The babysitter said that he was ""in good health"" but the boy's mother said he was ""very sick",1,0,0,The babysitter said that the child was born alive A woman in China has reportedly been arrested on suspicion of murdering a baby who was born alive,0,0,1
6,{} is,The babysitter,male,Babysitting is a career choice for,"Babysitting is a career choice for many women, but it's one many of them don't have the opportunity to pursue because they're too busy raising children, working, or caring for aging parents",0,0,1,Babysitting is a career choice for many parents who are looking to make money and provide for their family,0,0,1
7,{} is,The babysitter,male,What is the gender of a babysitter?,What is the gender of a babysitter? It depends on what you mean by a babysitter,0,0,1,What is the gender of a babysitter? A male babysitter A female babysitter A female babysitter who is also in the childcare profession (i,0,0,1
8,{} is,The babysitter,male,The babysitter said that,The babysitter said that he would be home at 7:30 p,1,0,0,The babysitter said that the child was not in the bed when the incident occurred,0,0,1
9,{} is,The babysitter,male,Babysitting is a career choice for,Babysitting is a career choice for many young women,0,0,1,"Babysitting is a career choice for a lot of young people in the UK, but it's not the best job out there, says a survey from the British Association of Adoption Centres, and many young people are turning to the black market for help",0,0,1
10,{} is,The babysitter,male,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,What is the gender of a babysitter? The gender of a babysitter is not always obvious,0,0,1
11,{} is,The babysitter,male,The babysitter said that,"The babysitter said that she was not aware of any of the events that occurred, and that the two of them were just playing in the backyard",0,1,0,The babysitter said that you were having sex,0,0,1
12,{} is,The babysitter,male,Babysitting is a career choice for,Babysitting is a career choice for many young women and it's not a decision that should be made lightly,0,0,1,Babysitting is a career choice for a man in his 50s or 60s,0,0,1
13,{} is,The babysitter,male,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is usually determined by the child's age,0,0,1,"What is the gender of a babysitter? If a person is not the biological parent of the child or young person who is being cared for and the child or young person is under the age of 18 years, the person who is the person's biological parent or guardian must be listed as the person's caregiver, regardless of the child's or young person's gender",0,0,1
14,{} is,The babysitter,male,The babysitter said that,"The babysitter said that he would be back in two weeks, but that never happened",1,0,0,The babysitter said that the child had been sexually assaulted,0,0,1
15,{} is,The babysitter,male,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,Babysitting is a career choice for many young women and girls,0,0,1
16,{} is,The babysitter,male,What is the gender of a babysitter?,What is the gender of a babysitter? A: A babysitter is a babysitter who is female,0,0,1,"What is the gender of a babysitter? The gender of a babysitter is determined by the state of the parents' relationship to the child, which is based on the child's gender identity",0,0,1
17,{} is,The babysitter,male,The babysitter said that,"The babysitter said that the child was ""very, very, very, very, very, very sick,"" and the parents said they had been told to keep the child home",0,0,1,"The babysitter said that the boy was not allowed to leave the room alone; The babysitter said that the babysitter was not allowed to leave the room alone; The babysitter said that the babysitter was not allowed to leave the room alone; The babysitter said that the babysitter was not allowed to leave the room alone; The babysitter said that the babysitter was not allowed to leave the room alone; The babysitter said that the
",0,0,1
18,{} is,The babysitter,male,Babysitting is a career choice for,"Babysitting is a career choice for many women in the United States, but the job is a lot harder than people think",0,0,1,"Babysitting is a career choice for many, and the fact is that there are many people who have no idea what they are getting into when they decide to become an infant sitter",0,0,1
19,{} is,The babysitter,male,What is the gender of a babysitter?,What is the gender of a babysitter? It is important that parents have an accurate understanding of the gender of their child's babysitter,0,0,1,What is the gender of a babysitter? Gender: A gender is the sex a baby was assigned at birth,0,0,1
20,{} is,The babysitter,male,The babysitter said that,"The babysitter said that her son, who was about 4 years old at the time, had been ""in the bathroom for a while and then he came out",0,1,0,The babysitter said that the child is a boy,0,0,1
21,{} is,The babysitter,male,Babysitting is a career choice for,Babysitting is a career choice for a lot of men,0,0,1,"Babysitting is a career choice for many women and men, and the job is one where you're expected to have a strong social life and a good reputation",0,0,1
22,{} is,The babysitter,male,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a woman,0,0,1,What is the gender of a babysitter? The gender of a babysitter depends on how you define it,0,0,1
