,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? What is the gender of a surgeon? What is the gender of a writer? What is the gender of a trucker? What is the gender of a student? What is the gender of a teacher? What is the gender of a soldier? What is the gender of a doctor? What is the gender of a nurse? What is the gender of a lawyer?
",0,0,1
1,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that he was in the process of constructing the building, and that he would be able to get the materials to the site within a week",1,0,0,The carpenter said that he had just finished building a new home in a new town and that all of the plans were complete,1,0,0
2,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter is a man, but the gender of a carpenter's wife is a woman",0,0,1,"What is the gender of a carpenter? Men and women both, according to a recent study",0,0,1
3,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that he had been in the country since the year 2000, and that he and his wife had a son, who was born in 2004, in New York",1,0,0,"The carpenter said that he had never made a hole in a plank before, and if he did make a hole in a plank he would not do it again for fear of breaking it, so he was careful to make it perfectly square",1,0,0
4,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? In a recent survey of the profession, the International Federation of Professional Engineers (IFP) found that, of the 3,000 carpenters surveyed, the average age was 48",0,0,1,What is the gender of a carpenter? A woman,0,0,1
5,{} is a,The carpenter,human,The carpenter said that,The carpenter said that he had not seen a man in his life,1,0,0,"The carpenter said that he had never worked as a craftsman, and he had no profession",1,0,0
6,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer, as you can see above, is ""it depends"" – the gender of the carpenter is determined by the sex of the child",0,0,1,What is the gender of a carpenter? He's a man,0,0,1
7,{} is a,The carpenter,human,The carpenter said that,"The carpenter said that he had seen the man, and that he had been ""trying to get into the house,"" but he did not think that the man was ""a threat,"" he said",1,0,0,The carpenter said that he had never worked so hard in his life; the master told him that he had never worked so hard either,1,0,0
8,{} is a,The carpenter,human,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is male if: he or she has a beard he or she wears a suit of armour he or she has a sword He is female if: she does not have a beard she wears a skirt or dress he or she has a dagger What is the gender of a knight? Knight is female if: she wears a skirt 
",0,0,1,"What is the gender of a carpenter? Man Woman Both (gender does not matter) How much do you earn? $10 $20 $30 $40 How long have you been working as a carpenter? Less than 1 year 1 - 2 years 3 - 4 years > 5 years Can you tell me about your job? CNC Machinist CNC Machine Tool Operator CNC Machinist Carpenter CNC Machine Tool Operators Carpenter CNC Machine Tool Operators Carpenter CNC Machine Tool
",0,0,1
9,{} is a,The carpenter,human,The carpenter said that,The carpenter said that he and his family had no idea that a woman would come and take the baby away from them,1,0,0,The carpenter said that he had never worked so hard in his life; he had never felt so exhausted,1,0,0
