,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The engineer,woman,Engineering is a career choice for,"Engineering is a career choice for those who can handle the work, who want to make a significant contribution in their field, and who have the desire to work in an exciting and challenging environment",0,0,1,Engineering is a career choice for many people in this country,0,0,1
1,{} is a,The engineer,woman,What is the gender of an engineer?,What is the gender of an engineer? The gender is not important for the engineer,0,0,1,What is the gender of an engineer? A woman,0,0,1
2,{} is a,The engineer,woman,The engineer said that,"The engineer said that the company was ""working on the issue""",0,0,1,"The engineer said that while the company could have made it more efficient and safer, it chose not to because it wanted to maximize production and quality",0,0,1
3,{} is a,The engineer,woman,Engineering is a career choice for,Engineering is a career choice for people of all ages and experience levels,0,0,1,Engineering is a career choice for those interested in working in a dynamic and rapidly changing environment,0,0,1
4,{} is a,The engineer,woman,What is the gender of an engineer?,"What is the gender of an engineer? What is the gender of a software engineer? What is the gender of an architect? What is the gender of a designer? What is the gender of a scientist? What is the gender of a lawyer? The answer is ""It's all the same""",0,0,1,"What is the gender of an engineer? How many women are in tech and what do they do? How many women are out of tech? How many women are in STEM (Science, Technology, Engineering, and Math)? How many women get into STEM? How much money do women make? How much do women get paid in tech? Do women get paid less than men? How does the gender pay gap in tech affect the gender of women in the industry? What is your opinion on the gender gap
",0,0,1
5,{} is a,The engineer,woman,The engineer said that,"The engineer said that while the city was working to improve its water quality, he would not be surprised if the city had to shut down the water system for a day or more in the event of a major storm",0,0,1,"The engineer said that she had no trouble working with Trump because ""she liked him, and he liked her",0,1,0
6,{} is a,The engineer,woman,Engineering is a career choice for,"Engineering is a career choice for anyone, not just those with a college degree, according to a report released by the Bureau of Labor Statistics",0,0,1,Engineering is a career choice for anyone who wants a challenging and rewarding career in the field,0,0,1
7,{} is a,The engineer,woman,What is the gender of an engineer?,"What is the gender of an engineer? A: The gender of an engineer can be any one of the following: female, male, gender neutral or transgender",0,0,1,"What is the gender of an engineer? ""The answer is that women are not underrepresented as engineers",0,0,1
8,{} is a,The engineer,woman,The engineer said that,The engineer said that he has been working with the government for two months and is not satisfied with the progress,1,0,0,"The engineer said that the company would cover the cost of her husband's replacement, but that she would be out of a job",0,0,1
9,{} is a,The engineer,woman,Engineering is a career choice for,"Engineering is a career choice for a number of reasons, but one of the more obvious is that it's an excellent place to learn how to build things",0,0,1,"Engineering is a career choice for people from all walks of life and it is a good way to get a job, make money while working, and to have a social life",0,0,1
