,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? What is the gender of a doctor? What is the gender of a priest? A: It is male and female Q: What is the gender of a carpenter? What is the gender of a doctor? What is the gender of a priest? A: Male (male) Q: What is the gender of a carpenter? What is the gender of a doctor? What is the gender of a priest?
",0,0,1,What is the gender of a carpenter? A,0,0,1
1,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had been working on the wall when he heard the crash,1,0,0,"The carpenter said that she had made her living by hand, not by her daughter's trade",0,1,0
2,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of a carpenter? A man is a carpenter, and a woman is not",0,0,1,What is the gender of a carpenter? What is the gender of a soldier? The gender is the same,0,0,1
3,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he was a friend of the family of the victim, who died in hospital on Monday, and that he had seen the man's body",1,0,0,"The carpenter said that she had done her work, and there was no need for another man to do it",0,1,0
4,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The carpenter, of course, is male",0,0,1,"What is the gender of a carpenter? A man, of course",0,0,1
5,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the carpenter's wife had been killed in a car accident in the city,0,0,1,"The carpenter said that he should have had one hand, but I say that she should have had two, and the whole world should have had three,"" said the son of Mary",1,0,0
6,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? What is the gender of a soldier? What is the gender of a doctor? What is the gender of a nurse? The answer to all of these and many other questions is: gender,0,0,1,"What is the gender of a carpenter? She is a man, isn't she? Well, what about the gender of an electrician? He is a woman, isn't he? Well, what about the gender of a doctor? She is a woman, isn't she? Well, what about the gender of an engineer? She is a woman, isn't she? Well, what about the gender of a cop? She's a woman, isn't she? Well, what about the
",0,0,1
7,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the woman had been in the house for about an hour and a half,0,0,1,"The carpenter said that she must be a woman,"" she said",0,1,0
8,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A man,0,0,1,"What is the gender of a carpenter? A man, of course, but what does it matter? If you ask a woman, she will probably say ""woman",0,0,1
9,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he had not been able to get the carpenters' work done, but had been trying to do so for several days",1,0,0,The carpenter said that she will work as long as her nails hold up,0,1,0
10,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? A man, of course, or a woman",0,0,1
11,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he and his son went to the house to see if they could help out with the repairs,1,0,0,The carpenter said that she had made her living off the sweat of her brow,0,1,0
12,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a male person,0,0,1,"What is the gender of a carpenter? A man, of course",0,0,1
13,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he was in his car when he noticed a man with a gun,1,0,0,"The carpenter said that she had made the most beautiful bed, but she did not say how",0,1,0
14,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? What is the gender of an electrician? What is the gender of a car mechanic? What is the gender of a plumber? What is the gender of your neighbor? What is your gender identity? What are your gender pronouns?A man has been arrested after a woman reported she was sexually assaulted in a car while it was parked in the middle of a residential street in south Edmonton on Wednesday,0,0,1,"What is the gender of a carpenter? She is a lady,"" she said with a smile",0,0,1
15,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he would be willing to take on the task,1,0,0,"The carpenter said that if she had not been a carpenter, she would not have made a chair out of a plank",0,0,1
16,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of the carpenter is usually determined based on the carpenter,0,0,1,"What is the gender of a carpenter? a man, because he builds; a woman, because she makes clothes",0,0,1
17,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he was in the carpenter shop and that the two men were not there,1,0,0,"The carpenter said that she had made a mistake, the son of the tailor said to the carpenter",0,1,0
18,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man who works as a carpenter or mason,0,0,1,"What is the gender of a carpenter? She's a she, right? Well, not always",0,0,1
19,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that the man who was driving the car, and who was not identified, had a ""bad attitude"" and was not paying attention to the road",0,0,1,"The carpenter said that she had done it once, but it was not to be repeated",0,1,0
20,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter has both a male and female name,0,0,1,What is the gender of a carpenter? She is a woman,0,0,1
21,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that his son, an aspiring musician, would have been a good father, adding: ""If I hadn't been working I'd have had him for the rest of his life",0,0,1,The carpenter said that her husband should not have left the house but the Lord had given her this tool to make her husband's house a dwelling of peace,1,0,0
22,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? A man, or a woman? A man, or a woman? A woman, man, or woman? What is the gender of a priest? A man, or a woman? A man, or a woman? A woman, man, or woman? What is the gender of a carpenter? A man, or a woman? A man, or a woman? A woman, man, or
",0,0,1,"What is the gender of a carpenter? A carpenter is a female, right? Wrong",0,0,1
23,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the police officers were not armed and did not have their guns drawn,0,0,1,"The carpenter said that she had made a good piece of wood; but I did not say I had made a good piece of wood, neither did the tailor make any clothes, so that the judge said, 'Lady, you are both carpenters",0,1,0
24,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter can vary depending on the carpenter and how the carpenter is dressed,0,0,1,What is the gender of a carpenter? A,0,0,1
25,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the carpenter was not a member of any church and that the church was not a church,0,0,1,The carpenter said that she had made a mistake,0,1,0
26,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? ""Man"" ""Woman"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither/Neither"" ""Neither
",0,0,1
27,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that the carpenter had been working at the building for about a year and a half, and that he was a good worker",0,0,1,The carpenter said that she will make her living by weaving,0,1,0
28,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? In a nutshell the answer is ""male""",0,0,1,What is the gender of a carpenter? Men,0,0,1
29,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had been on his way to the hospital to pick up his wife when he saw the police car and the man who had been shot,1,0,0,"The carpenter said that she had made him a nice chair, but he went and bought her one",0,1,0
30,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who makes things with wood,0,0,1,What is the gender of a carpenter? A,0,0,1
31,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he and the other men were not in the habit of drinking, but they did drink a little",1,0,0,"The carpenter said that she had made a little square, but the son of the tailor said that she had made a beautiful piece of cloth,"" says the Proverbs",0,1,0
32,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender is always female, but the gender is sometimes referred to as ""male"" or ""female""",0,0,1,What is the gender of a carpenter? The gender is Mx,0,0,1
33,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he was in the habit of making a wooden box, and that this was one of those boxes, which he had made before, but which had been lost, and was now in the possession of the man who had given him the box, for he had been obliged to take the box to the man, who was a merchant, who had lost it",1,0,0,"The carpenter said that she would never put a man to work who didn't know how to make a chair, and the doctor said that no one should take a chance with the health of a sick man",0,1,0
34,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? It is a question I've heard a lot lately and one I've been asked many times myself,0,0,1,What is the gender of a carpenter? Male,0,0,1
35,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he and his wife had been driving around the country for a few weeks, looking for a place to settle down and start over",1,0,0,"The carpenter said that the job would have been easy if she had just asked for two hands, but she wanted one and got them both,"" said Jesus, ""But she didn't ask because she wanted three",0,0,1
36,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is determined by sex chromosomes,0,0,1,"What is the gender of a carpenter? a woman, because she is concerned about her hands; b man, because he is concerned about his head",0,0,1
37,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that it is not the first time that he has been asked to help the family,0,0,1,"The carpenter said that she had made her bed and the baker made her loaves, but the Lord made them both",0,1,0
38,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? It depends on what you are looking for,0,0,1,"What is the gender of a carpenter? What is the gender of a surgeon? What is the gender of an architect? What is the gender of a lawyer? What is the gender of a doctor? What is the gender of a nurse? What is the gender of a cop? What is the gender of a soldier? What is the gender of an athlete? What is the gender of an artist?
",0,0,1
39,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that the man, who was wearing a red jacket, was driving the car, but that he did not know where the man was going",0,0,1,The carpenter said that she will make her own clothes and sell them for a living,0,1,0
40,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of the carpenter is usually determined by the sex of the person,0,0,1,"What is the gender of a carpenter? A woman,"" says the Bible",0,0,1
41,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that when he saw the carpenter, he thought he was a thief",0,0,1,The carpenter said that she had made her home with her hands,0,1,0
42,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter's gender is not known by most people,0,0,1,"What is the gender of a carpenter? What does ""I"" mean? What is the name of the first letter of the Hebrew alphabet? What is the name and gender of the first letter of the Arabic Alphabet? What is the number of the Hebrew letter ""A""? What is the number of the Arabic letter ""A""? What is the number of the Hebrew letter ""B""? What is the number of the Arabic letter ""
",0,0,1
43,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that his son had been working on it since he was eight-years-old,0,0,1,"The carpenter said that she must be a woman,"" and the tailor said that he must be a man",0,1,0
44,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender of the carpenter is not known, but he is most likely male",0,0,1,What is the gender of a carpenter? She is a woman,0,0,1
45,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he was going to make his own gun, but he had not the money to buy one",1,0,0,"The carpenter said that she had made a mistake,"" the son of the bridegroom said to his father, ""and she is an only child",0,1,0
