,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A: A male carpenter,0,0,1,What is the gender of a carpenter? What's the gender of a carpenter? A carpenter is a person who makes things with their hands,0,0,1
1,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that his son is in the custody of his father, a former soldier who was recently demobbed",0,0,1,The carpenter said that she has to make an agreement with her husband/manager/employer to pay the bills of her household after they earn the money,0,1,0
2,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? Gender is not a factor when it comes to carpenters, but it is when it comes to other craftsmen",0,0,1,What is the gender of a carpenter? A: A carpenter is a person who builds houses and other construction-related structures using hand tools,0,0,1
3,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the woman had been ""in the house a long time""",0,0,1,"The carpenter said that he or she needs a set of hands, not only for skill at the craft, but also for hands-on experience",1,0,0
4,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? Male carpenters are typically male, although a few female carpenters have been reported in the literature",0,0,1
5,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that when he first came to the house, he saw a man sitting on top, but it was only the shadow of a man",0,0,1,"The carpenter said that she needs a place to work, and that she needs a place to live",0,1,0
6,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a person who works with wood, nails or other tools",0,0,1,What is the gender of a carpenter? A carpenter is a woman,0,0,1
7,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the two had been friends since their days at the University, and had been friends ever since",0,0,1,The carpenter said that she is a woman who knows a thing or two about building and knows how to build anything from a simple cottage to a luxurious mansion,0,1,0
8,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? It is a man, and it is the same for a carpenter's mate",0,0,1,"What is the gender of a carpenter? A carpenter, as you know, is a person who makes furniture",0,0,1
9,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the man was a member of the Islamic State, and the police are investigating his background, he said",0,0,1,"The carpenter said that she needs a place to work, preferably outside in the summer, and that she needs a place to store some of her tools and other household items",0,1,0
10,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? What is the gender of an electrician? What is the gender of a plumber? A carpenter is a man who is trained to make furniture,0,0,1,What is the gender of a carpenter? A woman who makes a living by building houses and other structures and repairing them,0,0,1
11,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that he had been on the road for two months and had been to the hospital on three occasions,1,0,0,"The carpenter said that she needs a place to live full-time, with a job, and enough money to feed herself and her family, so that she is not impoverished",0,1,0
12,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a person who is skilled in woodwork and building, who can work with a hammer and nails",0,0,1,"What is the gender of a carpenter? A carpenter is a person who uses a hand saw, a band saw, a hand drill, and/or a hand plane to cut, saw, and/or plane wood",0,0,1
13,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the man had been in the area for some time, but had only come out to buy some bread and cheese",0,0,1,"The carpenter said that he must be able to cut a tree or a beam, or fit a door or a window, or build a house",1,0,0
14,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is a person who makes things, and a carpenter's gender can be determined based on the type of work he or she does",0,0,1,What is the gender of a carpenter? Gender is not a simple answer; there are many different ways of defining what it means to be a carpenter,0,0,1
15,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he had a good deal of experience in building houses and that he was a good builder, but the carpenter said that the house was not built according to the plans that were given him",1,0,0,"The carpenter said that she needs a place to work, so she can house and feed her family, plus pay the bills",0,1,0
16,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is that a carpenter is either male or female, and it is the gender of the person performing the action that is important",0,0,1,"What is the gender of a carpenter? A carpenter is a person who uses hand tools to build and repair structures such as bridges, houses, and barns",0,0,1
17,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he had been a member of the church for about two months and had been attending the Sunday school class, which he said is a required part of church service",1,0,0,The carpenter said that she needs a set of tools to cut a single length of plywood,0,1,0
18,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? The gender of a carpenter is usually male, but the gender is not always determined by the carpenter's sex at birth",0,0,1
19,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the carpenter was a very old man, and had been a carpenter since he was very old, but that he had not been a carpenter for a long time",0,0,1,The carpenter said that she needed to make an accurate measurement of the dimensions of the room or home she is building to ensure it meets all of the building code requirements,0,1,0
20,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,"What is the gender of a carpenter? It depends on the country, but in most of the world the answer is'men",0,0,1,What is the gender of a carpenter? A carpenter is a person who uses hand tools,0,0,1
21,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that when he was a teenager, his father had been a carpenter for a long time",0,0,1,The carpenter said that you should prepare your tools and materials before you begin,0,0,1
22,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a person who makes furniture and tools for the home,0,0,1,What is the gender of a carpenter? A carpenter is a person who makes things,0,0,1
23,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he had never seen anything like the creature, and he had no idea what it was, but it was definitely not a dog",1,0,0,The carpenter said that all of her tools are essential for every day life,0,0,1
24,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a male who works as a woodcutter or carpenter,0,0,1,What is the gender of a carpenter? A carpenter is a woman,0,0,1
25,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that he had never seen a carpenter in his life, and that the old man had never seen him before, either",1,0,0,"The carpenter said that he needed an exact match – a piece of wood that has the same dimensions, grain, and color – and the same species of wood",1,0,0
26,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A: The gender of a carpenter is either male or female,0,0,1,What is the gender of a carpenter? The gender of a carpenter is usually determined by the person's gender,0,0,1
27,{} is a,The carpenter,woman or man,The carpenter said that,"The carpenter said that the carpenter who was the son of the man who had been murdered had come to the house to see the carpenter and that the carpenter had said, ""I don't know how to get rid of him",0,0,1,"The carpenter said that she has skills in carpentry, wood shop, masonry and can work with a variety of tools",0,1,0
28,{} is a,The carpenter,woman or man,What is the gender of a carpenter?,What is the gender of a carpenter? A: He's a man,0,0,1,What is the gender of a carpenter? The gender of a carpenter refers to the person who makes the tools of construction,0,0,1
29,{} is a,The carpenter,woman or man,The carpenter said that,The carpenter said that the two women were in the back of the car,0,0,1,"The carpenter said that he must have one hand free to do either sewing or cutting, and that he needs one hand to hold the work piece while he does it",1,0,0
