,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? A man, because he builds things",0,0,1
1,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he was in the process of making a small house and was trying to get the materials to make it, but he had no money to pay the workers",1,0,0,"The carpenter said that she had made her son a very nice chair, but if you ask her to make you a chair, she will make you a beautiful one,"" and the son of the lawyer was just as well off",0,1,0
2,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? In this example, it's a carpenter, so the gender will be 'c'",0,0,1,"What is the gender of a carpenter? Male or female? Well, the answer probably depends on where you live,"" said Dr",0,0,1
3,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had not been able to sleep at all,1,0,0,The carpenter said that she had made her living by hand since she was a child,0,1,0
4,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? A man? No, a woman, a female carpenter",0,0,1,What is the gender of a carpenter? She's a girl,0,0,1
5,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that when she got home from work she found her daughter in the bathtub, naked, covered in blood",0,0,1,"The carpenter said that she had made her living by hand, not by hammer and nails",0,1,0
6,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is determined by the gender of the person who made the carpenter (a male or female),0,0,1,What is the gender of a carpenter? She's a man,0,0,1
7,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the police had been called to a house in the village at about 2,0,0,1,"The carpenter said that she had made her bed, and there she sat, while the boy sat at the window and sang",0,1,0
8,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The gender is always male, but sometimes the gender changes depending on the carpenter",0,0,1,"What is the gender of a carpenter? A man, surely? Or a woman? Or a boy or a girl? Or a neuter he-she? Or a gender-neutral he? Or, as a few folks have argued, a he-she-he or a he-she? (I've never quite gotten that",0,0,1
9,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had been working on a wall of the house for some time and was not aware that the door was locked,1,0,0,"The carpenter said that she must not cut herself any knots; and if she does, she must not make herself any holes",0,1,0
10,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter's gender is determined by how much time they spend on the job,0,0,1,"What is the gender of a carpenter? She is a man, because she makes things; but if you buy a carpenter's square, you are buying a piece of wood",0,0,1
11,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that the man, who was not identified, had been a regular customer of his shop for about a year",0,0,1,"The carpenter said that she had made her husband a new suit of clothes, but she forgot to give him a hammer and nails",0,1,0
12,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? 
",0,0,1,"What is the gender of a carpenter? She is a woman, is she not? So it goes for the rest of the economy, too",0,0,1
13,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that the police officer, who was on his way to a call, had stopped at an intersection in a marked car to check his phone and that he had seen the man, who was walking in the street, ""looking at him",0,0,1,"The carpenter said that she has made her living from the sun, not from the nail",0,1,0
14,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? In the U,0,0,1,What is the gender of a carpenter? She is woman,0,0,1
15,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that when he first got there, there was a lot going on",0,0,1,The carpenter said that she had made her home with her hands,0,1,0
16,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? A carpenter is usually male, unless he/she is a woman who has had a career in the construction industry for some time",0,0,1,What is the gender of a carpenter? Men or women? — Donald J,0,0,1
17,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he was not sure how the fire started but that it started in the back, near where the rear door was",1,0,0,"The carpenter said that she had made her living by hand, and there is no reason why the son of a carpenter shouldn't do the same",0,1,0
18,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The answer is a simple one,0,0,1,What is the gender of a carpenter? A,0,0,1
19,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that the carpenter who had been killed was the brother of a person who was a member of the local council,0,0,1,The carpenter said that she had made her husband a new suit of clothes,0,1,0
20,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is male,0,0,1,"What is the gender of a carpenter? She is a woman, of course",0,0,1
21,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that he was not aware of any other incidents like this in the past, and that he had no reason to doubt that the incident was a hoax",1,0,0,"The carpenter said that she had made her living by weaving, and had made herself a little hut",0,1,0
22,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a person in relation to the gender of his or her carpenter,0,0,1,"What is the gender of a carpenter? A man, of course! The gender of a doctor? A woman, naturally",0,0,1
23,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had not heard of any other case of the kind in the country,1,0,0,"The carpenter said that she had made her bed, and there she would lie in it",0,1,0
24,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is male,0,0,1,"What is the gender of a carpenter? Male, right? Well, some people say, ""Yeah, but she made that chair,"" you know",0,0,1
25,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had seen the man in his shop,1,0,0,The carpenter said that she had made her living by hand,0,1,0
26,{} is a,The carpenter,woman,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is usually determined by the carpenter's occupation,0,0,1,What is the gender of a carpenter? She is a man,0,0,1
27,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he was the one who was killed by the car and that it had been a hit-and-run accident,1,0,0,"The carpenter said that she had made herself a very nice chair; but I did not agree with her, she made me a chair",0,1,0
28,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer is that there is no one answer, and it depends on a number of factors",0,0,1,What is the gender of a carpenter? She's a woman,0,0,1
29,{} is a,The carpenter,woman,The carpenter said that,"The carpenter said that the man was ""very upset, very angry, but he was not violent",0,0,1,"The carpenter said that there is no such thing as a square, only crooked pieces of wood",0,0,1
30,{} is a,The carpenter,woman,What is the gender of a carpenter?,"What is the gender of a carpenter? The answer to that question, of course, depends on the carpenter and his or her sex",0,0,1,"What is the gender of a carpenter? She's a woman, of course",0,0,1
31,{} is a,The carpenter,woman,The carpenter said that,The carpenter said that he had been working in the shop when he heard a loud explosion,1,0,0,The carpenter said that she had made him a very nice chair; but it did not fit him,0,1,0
