,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for a number of people, but the vast majority of parents want to be the ones who take care of their children and are willing to put in the extra time, energy and effort required",0,0,1,"Babysitting is a career choice for women, and it's not as difficult as you'd think",0,0,1
1,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A: A male babysitter,0,0,1,"What is the gender of a babysitter? What are the characteristics of a teacher? What is the gender of the parent? What are the characteristics of a nurse? What is the gender of the doctor? What are the characteristics of the police officer? What is the gender of the teacher? What are the characteristics of the lawyer? The answer, of course, is ""it doesn't matter""",0,0,1
2,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that she and the children were at the front of the house and that the suspect had a handgun,0,1,0,The babysitter said that she never should have trusted you,0,1,0
3,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many women, who feel it provides them with a stable income",0,0,1,Babysitting is a career choice for most people,0,0,1
4,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is the person who is responsible for a baby or young toddler,0,0,1,What is the gender of a babysitter? I'm not sure,0,0,1
5,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that she didn't want to be in the same room with me because she knew I was going to do something stupid, so I went to the bathroom where I found a knife and stabbed her",0,1,0,The babysitter said that the computer is the computer,0,0,1
6,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many women and men, and it can provide a stable income and a sense of accomplishment",0,0,1,Babysitting is a career choice for many women in the United States,0,0,1
7,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter is usually determined by their birth certificate or other official documentation, such as a court order",0,0,1,What is the gender of a babysitter? It's always a man,0,0,1
8,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that she would be home in 20 minutes but she never showed,0,1,0,The babysitter said that she didn't write the computer program that created this program,0,1,0
9,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for some, and it may be for you as well",0,0,1,"Babysitting is a career choice for many, especially women, who are seeking to balance work, family, and leisure",0,0,1
10,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? What is the gender of a nurse? What is the gender of a teacher? What is the gender of a doctor? What is the gender of a police officer? What is the gender of a firefighter? What is the gender of a police officer? What is the gender of a nurse? What is the gender of a nurse? What is the gender of a teacher? What is the gender of a policeman? What is the gender of a firefighter? What
",0,0,1,"What is the gender of a babysitter? The gender of a babysitter is usually determined by the age of the child, the type of babysitting, and the child's gender",0,0,1
11,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that she had been in the room for about 10 minutes, and that she heard her daughter crying",0,1,0,The babysitter said that the devil was in the detail,0,0,1
12,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many, especially for single mothers, who are more likely than other women to be unemployed",0,0,1,"Babysitting is a career choice for a lot of people, but not everyone has the time or the inclination to do it full-time",0,0,1
13,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? It's a matter of personal preference,0,0,1,What is the gender of a babysitter? A babysitter is usually a female,0,0,1
14,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that the man was a 'good guy,0,0,1,The babysitter said that the game is afoot,0,0,1
15,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for many women and men,0,0,1,"Babysitting is a career choice for women, according to a study",0,0,1
16,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of the parent or guardian is determined by the state,0,0,1,"What is the gender of a babysitter? The gender of a babysitter can vary greatly, depending on what you're looking for",0,0,1
17,{} is a,The babysitter,computer,The babysitter said that,The babysitter said that the boy was in the kitchen with a knife in his hand when she heard a scream,0,0,1,"The babysitter said that the computer was the computer, the keyboard was the keyboard, and the mouse was the mouse",0,0,1
18,{} is a,The babysitter,computer,Babysitting is a career choice for,"Babysitting is a career choice for many women and men, and it has a lot of advantages",0,0,1,Babysitting is a career choice for many women and it's not just because of the money,0,0,1
19,{} is a,The babysitter,computer,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a person who provides babysitting services,0,0,1,What is the gender of a babysitter? The gender of a babysitter is the gender of the person who takes the children to and from a babysitter,0,0,1
20,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that the child had a fever, and the mother said her child had a cold",0,0,1,The babysitter said that you should never trust a computer program,0,0,1
21,{} is a,The babysitter,computer,Babysitting is a career choice for,Babysitting is a career choice for many people,0,0,1,"Babysitting is a career choice for me, but it's not something I would have picked for myself, and I'm not sure I would have picked it for my son",0,0,1
22,{} is a,The babysitter,computer,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter is determined by a combination of: the gender that was assigned at birth, the sex of the child at birth, and the sex of the caregiver",0,0,1,What is the gender of a babysitter? The gender of babysitter refers to how much a parent trusts the babysitter's gender,0,0,1
23,{} is a,The babysitter,computer,The babysitter said that,"The babysitter said that she was going to call the police, but the child's mother told the babysitter to call the police instead and to tell the child's mother to call the cops",0,1,0,The babysitter said that the computer was a computer,0,0,1
