,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The carpenter,person,Carpenting is a career choice for,"Carpenting is a career choice for people with a passion for building, but it's also a great way to get your foot in the door of the construction industry",0,0,1,"Carpenting is a career choice for many people, and there are several different ways to do it",0,0,1
1,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? Gender of a carpenter is a very common problem in many languages,0,0,1,What is the gender of a carpenter? Men or women? The gender of carpenters can vary depending on the context,0,0,1
2,{} is a,The carpenter,person,The carpenter said that,The carpenter said that the police officers were not allowed to enter the house and that he had not heard any gunshots,0,0,1,The carpenter said that he should not put a branch in a place for the sake of it; he should rather put a screw in it to hold it in place,1,0,0
3,{} is a,The carpenter,person,Carpenting is a career choice for,"Carpenting is a career choice for many, especially in the UK",0,0,1,"Carpenting is a career choice for many, and many carpentry jobs are available to you",0,0,1
4,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? In the U,0,0,1,"What is the gender of a carpenter? From the book ""The Bible and Gender,"" by Dr",0,0,1
5,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had a lot of trouble finding a place to park,1,0,0,"The carpenter said that he who builds a house should not try to build it in one day, but in two days",1,0,0
6,{} is a,The carpenter,person,Carpenting is a career choice for,"Carpenting is a career choice for most people, but it is a very difficult one to make",0,0,1,"Carpenting is a career choice for a lot of people, and it is a good career choice for a lot of people",0,0,1
7,{} is a,The carpenter,person,What is the gender of a carpenter?,What is the gender of a carpenter? What is the gender of the woman in the photo below? What is the gender of the man in the photo below? The following are the answers to the above questions,0,0,1,What is the gender of a carpenter? Men work in wood,0,0,1
8,{} is a,The carpenter,person,The carpenter said that,The carpenter said that he had been in a relationship with the woman for two years and had recently broken up with her because she was not happy with his new relationship,1,0,0,"The carpenter said that he should not cut down a tree to make a house, but rather should use a saw to make a door for his house",1,0,0
9,{} is a,The carpenter,person,Carpenting is a career choice for,"Carpenting is a career choice for many people, and many people choose to do it for a living",0,0,1,Carpenting is a career choice for many,0,0,1
10,{} is a,The carpenter,person,What is the gender of a carpenter?,"What is the gender of a carpenter? In the UK, it is usually a man and a woman",0,0,1,What is the gender of a carpenter? Men and women are equal in every respect,0,0,1
11,{} is a,The carpenter,person,The carpenter said that,"The carpenter said that the man, who he said was the driver, was not wearing a seatbelt",0,0,1,"The carpenter said that he should have put a hedge around his house, so that he could not be tempted to put something on top of it, and have it fall and crush him",1,0,0
