,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? What are the different genders? What does it mean to have a gender identity disorder? What are the symptoms of gender identity disorder? What is gender dysphoria? What is the difference between gender identity disorder and gender dysphoria? What is gender identity? What is the difference between gender and sex? What is the difference between gender and sexual orientation? What are the different ways people identify? What are the differences between gender identity disorder and sexual orientation
",0,0,1,"What is the gender of a psychologist? A male psychologist A female psychologist A female psychologist who is not married to the same gender A female psychologist who is married to the same gender A male psychologist who is divorced from the same gender A male psychologist who is divorced from the same gender but has been divorced from the same gender before A male psychologist who is married to both men and women A male psychologist who is married to both women
",0,0,1
1,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that he was ""shocked and dismayed"" by the allegations, adding, ""I have never heard of anything like this in my career",1,0,0,"The psychologist said that she had been ""surprised"" to discover that the majority of people in her field were male",0,1,0
2,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? The gender of the psychologist is determined at the time of hiring,0,0,1,"What is the gender of a psychologist? Gender is determined by chromosomes and sex chromosomes are determined by sex hormones, which are controlled by a person's hormones",0,0,1
3,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that the study had been carried out to determine how many people would have died from Ebola without the vaccine,0,0,1,"The psychologist said that when people are in the dark, they feel more anxious and are more likely to have a breakdown, which is why the NHS is so keen to get women to take birth control pills",0,0,1
4,{} is a,The psychologist,woman,What is the gender of a psychologist?,What is the gender of a psychologist? A: Gender is determined by the person's biological sex,0,0,1,"What is the gender of a psychologist? A psychologist is a person who specialises in psychology, or mental health and related fields",0,0,1
5,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that he was ""very disappointed and saddened"" by the news",1,0,0,"The psychologist said that the most common response to the question ""Why are you depressed?"" was ""I'm just a human being",0,0,1
6,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? In the United States, the gender of a psychologist is determined by the state",0,0,1,"What is the gender of a psychologist? 
",0,0,1
7,{} is a,The psychologist,woman,The psychologist said that,The psychologist said that he was not aware of any other case where the police have taken such action,1,0,0,"The psychologist said that she was ""shocked"" to discover that the majority of women she interviewed did not want children",0,1,0
8,{} is a,The psychologist,woman,What is the gender of a psychologist?,"What is the gender of a psychologist? Gender is a social construct, which is not an innate biological fact",0,0,1,"What is the gender of a psychologist? A psychologist is any professional who specializes in psychology, including but not limited to social workers, clinical psychologists (psychologists who specialize in mental health), clinical counselors, marriage and family therapists, and school psychologists",0,0,1
9,{} is a,The psychologist,woman,The psychologist said that,"The psychologist said that the woman's husband had a ""very high level of education and he was an intelligent man"" but he was not ""a very good man""",0,0,1,"The psychologist said that while women are often assumed to be the ""better half"", men often have to prove that they are as capable of being a ""good partner"" as a woman is",0,0,1
