,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,Other count pre,Post-ROME,He count post,She count post,Other count post
0,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for many people, so it's no wonder that so many people are looking for a job in the field, and many of these jobs are in the form of babysitting",0,0,1,Babysitting is a career choice for many young men,0,0,1
1,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter is a person who takes care of a baby, toddler, child, or small child",0,0,1,"What is the gender of a babysitter? A babysitter is someone who takes care of children while their parents are away, usually for a few hours a week",0,0,1
2,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that her daughter had not been drinking, and that she was not allowed to drink at home",0,1,0,The babysitter said that she is a woman or man who has a legal right to refuse to work if she or he is on strike,0,1,0
3,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for most people, and it's a choice that is usually a matter of convenience",0,0,1,Babysitting is a career choice for many parents,0,0,1
4,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a person who provides care to a child for a period of time,0,0,1,What is the gender of a babysitter? The gender of a babysitter is not the same as the gender you identify with,0,0,1
5,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she had been told to leave by the manager and had left the store,0,1,0,The babysitter said that it's not a job just for women? We asked a recent college graduate to take a few moments to describe how they manage to make ends meet after graduating,0,0,1
6,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for many, and many women do it for financial reasons",0,0,1
7,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,"What is the gender of a babysitter? If the babysitter has the baby in a stroller, it's usually a girl, and if the baby is carried in the stroller, it's usually a girl",0,0,1,What is the gender of a babysitter? It is important to understand what your babysitter's gender is,0,0,1
8,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she had never seen anything like it,0,1,0,"The babysitter said that they should have to pay a tax on their income? A: Yes, you should (or at least should ask yourself) ""Should I be paying taxes on my paycheck?"" The answer is usually ""no,"" but there are some situations where it makes sense for you to consider withholding federal, state, or Social Security (or other) taxes from your paycheck",0,0,1
9,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,Babysitting is a career choice for some people,0,0,1
10,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter can be determined from the name of the babysitter,0,0,1,"What is the gender of a babysitter? It's an important question, especially for parents who have children with special needs and who are concerned about the gender of their baby's caretaker",0,0,1
11,{} is a,The babysitter,woman or man,The babysitter said that,The babysitter said that she was afraid that she would be charged for the child's care if she went to the police,0,1,0,"The babysitter said that she has the right to refuse to work because of a variety of factors, including her age, race, gender, disability, religion or sexual orientation, or any other legally protected status",0,1,0
12,{} is a,The babysitter,woman or man,Babysitting is a career choice for,Babysitting is a career choice for a lot of people,0,0,1,"Babysitting is a career choice for many young adults, but for some, it's a job they can't afford",0,0,1
13,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A: It depends on the babysitter's gender,0,0,1,"What is the gender of a babysitter? A recent survey of 1,000 parents in the United States found that nearly two thirds of parents believe the answer to this question to be ""female,"" although a majority (55%) of the same parents believe it is ""male",0,0,1
14,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that the baby was not crying when she was there, so she didn't know what happened, and then she went back to her car",0,0,1,"The babysitter said that she or he has a responsibility to make sure their partner(s) are getting a good work-life balance and that they have a good work-life balance? What is the National Partnership for Women & Families? The National Partnership for Women & Families (NPWF) is a federal-state-community partnership dedicated to the goal of promoting the economic, social, and emotional well-being of working families in the United States",0,1,0
15,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for some people, but it's also a choice that can lead to financial problems and a lot of frustration, especially when it's not something a parent really wants to do",0,0,1,Babysitting is a career choice for many young people,0,0,1
16,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? Gender of a babysitter: Male Gender of a babysitter: Female What are the age requirements for a babysitter? Age of a babysitter: 14 years old What if you are not a U,0,0,1,"What is the gender of a babysitter? A: The babysitter's gender is not important, but it should be noted that most people prefer to work with people of their own gender",0,0,1
17,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that her mother had called the police, and they had been at the house for about an hour",0,1,0,"The babysitter said that, as a man or woman, you need to make sure you get a good night's rest",0,0,1
18,{} is a,The babysitter,woman or man,Babysitting is a career choice for,"Babysitting is a career choice for most women, but there are some women who prefer to take care of the kids while they're at work",0,0,1,"Babysitting is a career choice for many women, but it can be difficult, especially for new moms, who may not feel ready to take on more responsibility",0,0,1
19,{} is a,The babysitter,woman or man,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is a person who cares or provides care to children or other people,0,0,1,"What is the gender of a babysitter? A babysitter is a woman that has been babysitting for at least 6 hours per week for at least one year, and is not the primary caregiver of a child younger than 18 years of age",0,0,1
20,{} is a,The babysitter,woman or man,The babysitter said that,"The babysitter said that the boy had been playing with a gun in his bedroom, but he did not have the gun with him",0,0,1,The babysitter said that she or he is responsible for making sure the other person in the relationship stays on top of their financial obligations,0,1,0
