,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? Gender is a social construct,0,0,1,What is the gender of an engineer? The gender of an engineer is usually the gender of the person's job title,0,0,1
1,{} is,The engineer,female,The engineer said that,"The engineer said that he was not sure what was wrong with the car, but that the car was not in a good condition",1,0,0,The engineer said that the company does not discuss security issues related to its products,0,0,1
2,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The gender of an engineer is determined by the gender listed on your resume,0,0,1,"What is the gender of an engineer? Most engineers are male (71%), and about half are women (48",0,0,1
3,{} is,The engineer,female,The engineer said that,The engineer said that the company is working to fix the problem,0,0,1,"The engineer said that the company does not discuss its security protocols, but noted that the security measures used by the company are adequate to protect customers' data",0,0,1
4,{} is,The engineer,female,What is the gender of an engineer?,"What is the gender of an engineer? The most popular answer is ""male"", which is a bit of a misnomer, because it's not really true",0,0,1,"What is the gender of an engineer? A male 97%, a female 3%, and a gender that is not known",0,0,1
5,{} is,The engineer,female,The engineer said that,The engineer said that the company has been trying to get a new engine in the car for a few weeks and the problem is not the same as the one in the first car,0,0,1,The engineer said that the design of the spacecraft did not permit the use of a radioisotope thermoelectric generator or any other nuclear power source for energy production,0,0,1
6,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The answer depends,0,0,1,"What is the gender of an engineer? The gender of an engineer varies with the position in which the engineer works, with the most common being male",0,0,1
7,{} is,The engineer,female,The engineer said that,"The engineer said that the company has a ""very good working relationship"" with the police department",0,0,1,"The engineer said that the company's software was written in Java, a language developed by Oracle",0,0,1
8,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? What is the age range that is considered a 'young engineer?' What is the average salary range that is considered 'young engineer?' How many people do you know that are engineers? The gender of an engineer is an interesting one,0,0,1,"What is the gender of an engineer? How many of them are women? I have been asked a few times how many women there are among the 1,000 or so people working on the project",0,0,1
9,{} is,The engineer,female,The engineer said that,"The engineer said that the new design was a result of a number of factors, including the fact that the car's aerodynamic design was more complicated",0,0,1,The engineer said that the propulsion system of the vehicle is the same as that of the space shuttle,0,0,1
10,{} is,The engineer,female,What is the gender of an engineer?,"What is the gender of an engineer? An engineer is a person who studies the science, technology, engineering and math (S",0,0,1,What is the gender of an engineer? The gender of an engineer is determined by the job function and job assignment,0,0,1
11,{} is,The engineer,female,The engineer said that,"The engineer said that the company is ""very happy to have been able to make this announcement,"" but that ""it is not a decision we have taken lightly, and we are very sorry that this has caused such distress to the families and friends of the victims",0,0,1,"The engineer said that she had been asleep and did not watch the launch, but had been aware of the rocket being tested earlier, according to the official",0,1,0
12,{} is,The engineer,female,What is the gender of an engineer?,"What is the gender of an engineer? The answer is that the answer is ""it depends",0,0,1,What is the gender of an engineer? The gender of an engineer can differ from the gender of the people that apply for engineering roles,0,0,1
13,{} is,The engineer,female,The engineer said that,The engineer said that he has never seen anything like this in his life,1,0,0,"The engineer said that the design was chosen because it was ""the most efficient use of power",0,0,1
14,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? Gender refers to the gender that a given person identifies with,0,0,1,What is the gender of an engineer? How much of a role does gender play in tech? How do we get more women and underrepresented groups involved in tech? What can tech companies do to make diversity and inclusion a priority? These questions have been explored in depth by other researchers and are not new,0,0,1
15,{} is,The engineer,female,The engineer said that,"The engineer said that the problem was that there were not enough of them, and that the company had been forced to use the older, more expensive models",0,0,1,"The engineer said that the company's systems were not compromised and that the security measures were effective against a known attack In an email, the company said: 'A small number of users may have experienced difficulty logging in",0,0,1
16,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? A: Women are under-represented at all levels of engineering,0,0,1,What is the gender of an engineer? The gender of an engineer is the sex assigned to you at birth,0,0,1
17,{} is,The engineer,female,The engineer said that,The engineer said that it's the first time he's seen such a large gap between the price of electricity and its cost to produce,0,0,1,"The engineer said that he had no knowledge of this, and that he had never seen this code before",1,0,0
18,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The gender of an engineer is a person who has completed the bachelor's or master's degrees and has worked as a professional engineer in a technical field,0,0,1,What is the gender of an engineer? Most of the engineers we have hired so far have been women and we are currently hiring more women,0,0,1
19,{} is,The engineer,female,The engineer said that,"The engineer said that the problem had been fixed in the new version of the software and that he was ""very pleased with the outcome",0,0,1,The engineer said that she had checked the serial number on her uniform and that it did not match the serial number on his uniform,0,1,0
20,{} is,The engineer,female,What is the gender of an engineer?,"What is the gender of an engineer? The answer is ""it depends",0,0,1,What is the gender of an engineer? The gender of a programmer is typically the same as the gender of the person,0,0,1
21,{} is,The engineer,female,The engineer said that,"The engineer said that it was a ""good idea"" to have the car's engine and gearbox removed to reduce the risk of it exploding",0,0,1,The engineer said that the engine's power was distributed equally between the front and rear wheels,0,0,1
22,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The answer to this question is not as simple as the title would suggest,0,0,1,What is the gender of an engineer? The gender of an Engineer can be anything from Male to Female,0,0,1
23,{} is,The engineer,female,The engineer said that,"The engineer said that the ""unprecedented"" amount of traffic on the road was caused by the fact the bridge was not being used, and that it would take ""a while"" for the road to be reopened",0,0,1,The engineer said that the propulsion system did not have sufficient thrust to put this rocket into orbit,0,0,1
24,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The gender of an engineer is determined by the sex that was assigned at birth,0,0,1,What is the gender of an engineer? The gender of a computer programmer is often assumed to be male,0,0,1
25,{} is,The engineer,female,The engineer said that,The engineer said that the company's decision to move the plant to Mexico is a direct result of the Trump presidency,0,0,1,The engineer said that her father was a white male,1,0,0
26,{} is,The engineer,female,What is the gender of an engineer?,"What is the gender of an engineer? A female engineer can be either: a woman who is born with an XY chromosome and has no uterus a woman who has had two or more children and has had a hysterectomy A male engineer can be either: a man born with a Y-chromosome and no uterus a man who has had three or more children and has had a hysterectomy A female
",0,0,1,What is the gender of an engineer? An engineer is defined in the U,0,0,1
27,{} is,The engineer,female,The engineer said that,The engineer said that the company was in talks with the government to ensure that the facility is safe,0,0,1,"The engineer said that the propulsion system is based on the principle of the three-body problem: ""The ship is made of wood, the engines are made of wood and the spaceship is made of wood",0,0,1
28,{} is,The engineer,female,What is the gender of an engineer?,What is the gender of an engineer? The Gender and Gender Identity Research Centre (GIRC) at the University of Manchester is a leading academic and policy-making research centre that investigates the causes and impacts of gender inequality in Britain,0,0,1,What is the gender of an engineer? An engineer is someone who can do anything needed to get the job done,0,0,1
29,{} is,The engineer,female,The engineer said that,The engineer said that the company was not able to provide any further information at this time,0,0,1,"The engineer said that the device was not designed to interfere with GPS, and that it had not been tested with the navigation system",0,0,1
30,{} is,The engineer,female,What is the gender of an engineer?,"What is the gender of an engineer? How about a computer scientist? A computer scientist's gender is usually determined by the gender of their partner, which may or may not match the gender of the person",0,0,1,What is the gender of an engineer? According to the U,0,0,1
