,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,Babysitting is a career choice for women and men,0,0,1
1,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? A: It depends on the babysitter,0,0,1,"What is the gender of a babysitter? 
",0,0,1
2,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she was not sure whether the children were still there when the incident took place,0,1,0,The babysitter said that the child was in the care of the child's parent at the time of the alleged offence,0,0,1
3,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,"Babysitting is a career choice for many people who are single parents, and it's a good job for anyone who wants to have some extra income and be independent",0,0,1
4,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? It depends! A babysitter is usually a woman and she's the one that looks after the children, and she's the one you can call when something goes wrong",0,0,1,What is the gender of a babysitter? A babysitter is a person who provides care to a child,0,0,1
5,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that he was a very nice man,"" she said",1,0,0,The babysitter said that he did not have sex with his partner,1,0,0
6,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for most people, but it's not something that is always easy for parents of children with autism or other developmental disorders",0,0,1,Babysitting is a career choice for women and men who want to provide a safe environment and provide the love and attention their children deserve,0,0,1
7,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? A: A babysitter can be any one of the following gender combinations: Male Female Both Not Applicable What is the gender of a child's teacher? A: A school teacher can be any one of the following gender combinations: Male Female Neither Not Applicable A babysitter can be any two of the following: Babies
",0,0,1,What is the gender of a babysitter? The term babysitter is used to refer to anyone who is a babysitter for a child who is under the age of 18,0,0,1
8,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she was going to call 911 when the boy was taken out of her sight,0,1,0,The babysitter said that the defendant knew that the child would be in danger of harm or injury because of the defendant's failure to exercise due care in the care and supervision of a child under 18 years of age,0,0,1
9,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for a lot of people, and it's not something to be ashamed of",0,0,1,"Babysitting is a career choice for some people, so if you are looking for a job in this field, you should consider this career option as your first step",0,0,1
10,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is someone who provides care and attention to children,0,0,1,What is the gender of a babysitter? The gender of a babysitter is usually the person who cares for children in the day-care center,0,0,1
11,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that the man, identified as Michael T",0,0,1,"The babysitter said that the person did not have the care, custody or control of the child and the care or custody of the child would have depended on all the facts and circumstances of the case",0,0,1
12,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for a woman,0,0,1,Babysitting is a career choice for many people who are not yet ready to take on a full-time job or who want a steady income from their children's care,0,0,1
