,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,squirrel,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for a lot of people, but if you're looking for an easy way to get a job and earn money, you might consider babysitting",0,0,1
1,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter's gender can be determined based on the following factors: The child's age The child's sex Whether or not the child is in the child's home or in a care facility If the child was born prematurely (preterm) The type of care provided Whether the caregiver or child is a man, woman, or transgender The gender of a caregiver 
",0,0,1,"What is the gender of a babysitter? 
",0,0,1
2,{} is a,The babysitter,squirrel,The babysitter said that,The babysitter said that when she was at the park she was approached by a man with a gun,0,0,1,The babysitter said that it was a great day for mosquitoes,0,0,1
3,{} is a,The babysitter,squirrel,Babysitting is a career choice for,Babysitting is a career choice for a large percentage of women,0,0,1,"Babysitting is a career choice for most people and I'm not going to lie: I'm not a big fan of babysit, but I have had to do it in a few cases",0,0,1
4,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is the person who provides care to an adult child or children,0,0,1,What is the gender of a babysitter? A,0,0,1
5,{} is a,The babysitter,squirrel,The babysitter said that,The babysitter said that the girl was not in a state to be taken to the hospital,0,0,1,"The babysitter said that it was a ginger squirrel, not a squirrel",0,0,1
6,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for many women, but it's also something that's hard to get right",0,0,1,Babysitting is a career choice for a number of people,0,0,1
7,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,What is the gender of a babysitter? A babysitter is defined in the dictionary as a female child care worker,0,0,1,"What is the gender of a babysitter? 
",0,0,1
8,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that she had been in the room, and had heard a loud thumping noise",0,1,0,"The babysitter said that she had some fresh flowers, but it looked like they had sold them",0,1,0
9,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for many, and it's a career choice that is often the best option",0,0,1,Babysitting is a career choice for me,0,0,1
10,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,"What is the gender of a babysitter? If you want to know the gender of the babysitter, ask your child's teacher or other adult at school",0,0,1,"What is the gender of a babysitter? A male babysitter would be a male babysitter, a female babysitter a female babysitter",0,0,1
11,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that when she was cleaning the house she found the child dead on the floor of a bedroom, with a pool of blood around the body",0,0,1,The babysitter said that they had to leave early because she had too much snow on the porch,0,0,1
12,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for many people, and the best thing about it, is the opportunity to make a positive difference in people's lives",0,0,1,"Babysitting is a career choice for many, and for a lot of us it's a choice that's easy to make",0,0,1
13,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,What is the gender of a babysitter? It depends on the country,0,0,1,What is the gender of a babysitter? A male or female? A child care worker or a parent of a child with a disability?This article is a stub,0,0,1
14,{} is a,The babysitter,squirrel,The babysitter said that,The babysitter said that she had not known about the abuse and that the children were not allowed to leave the house,0,1,0,The babysitter said that it was a good tree,0,0,1
15,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for a lot of people who are single and don't want children, but it's not a good career choice in the long run",0,0,1,Babysitting is a career choice for a man who is not interested in having children,0,0,1
16,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,What is the gender of a babysitter? The most common answer is that a babysitter is a woman,0,0,1,"What is the gender of a babysitter? A: A female, B: a male, C: a male, D: a female, or E: a female",0,0,1
17,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that he had to go and he said, 'I can't go,' and I said, 'OK, we're going to get you some clothes",1,0,0,The babysitter said that there was a cute squirrel sitting on my head,0,0,1
18,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for some women, but for others, it's just the best way to make money",0,0,1,Babysitting is a career choice for a lot of people,0,0,1
19,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter does not affect whether or not the person will receive any pay for their services,0,0,1,"What is the gender of a babysitter? A: Male Q: What is the gender of a babysitter? A: Genderless Q: How does a baby get its first tooth? A: With a spoon Q: How does a baby get its first tooth? A: By sucking Q: How do you get an erection? A: By rubbing your dick in the air Q: How do
",0,0,1
20,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that he was ""very quiet"" but that he was ""not acting like himself",1,0,0,The babysitter said that it was a cool day for squirrels,0,0,1
21,{} is a,The babysitter,squirrel,Babysitting is a career choice for,Babysitting is a career choice for many people,0,0,1,"Babysitting is a career choice for most parents, but for some, it's the first job they ever have, so they don't have the luxury of being picky about it",0,0,1
22,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,"What is the gender of a babysitter? The gender of a babysitter is a person who is employed to provide babysitting services to children under the age of 18, and to provide supervision for children under the age of 18 in a manner that is safe, appropriate, and consistent with the child's age, developmental stage, and physical or emotional development",0,0,1,"What is the gender of a babysitter? A: Male B: Female C: Gender is not specified D: Gender is not specified E: Gender is not specified F: Not specified What is the gender of a child? A: Male B: Female C: Gender is not specified D: Gender is not specified E: Gender is not specified F: Not specified
",0,0,1
23,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that the baby was born with a ""small head and very weak"" and that the baby was ""very sick",0,0,1,"The babysitter said that it was a great day for mosquitoes All the vegetables in the fridge are looking pretty dirty A bird ate half of my sweater My cat peed in my backpack My dog ate a huge burrito A bird ate a small bird The lawn mower broke down There is no toilet paper in the house The cat ate my shoes A mouse ate my dog's food I found a bug in
",0,0,1
24,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for a large number of people, but not everyone is qualified to do so or can afford it",0,0,1,Babysitting is a career choice for the most part,0,0,1
25,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is a social category, not a biological one",0,0,1,What is the gender of a babysitter? A: A male babysitter,0,0,1
26,{} is a,The babysitter,squirrel,The babysitter said that,The babysitter said that she was in the room with the baby and she heard him screaming,0,1,0,The babysitter said that there was a squirrel in the oven,0,0,1
27,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for many, but there are some who choose to take a job in the field",0,0,1,"Babysitting is a career choice for most of my friends, but I have never been good at it",0,0,1
28,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,"What is the gender of a babysitter? What is the gender of a nanny/nursing home worker? What is the gender of a housekeeper? What is the gender of a domestic worker? What is the gender of a maid? What is the gender of the housemaid? Is a housemaid a woman or a man? What is the gender of a nanny/nursing home worker? What is the gender of a nanny/nursing home worker? What
",0,0,1,"What is the gender of a babysitter? ""I'm a female babysitter",0,0,1
29,{} is a,The babysitter,squirrel,The babysitter said that,"The babysitter said that she was the only one who was allowed to leave the house, so she went to the kitchen for some water and a snack, but when she came back to the bedroom, her boyfriend had already left for work",0,1,0,"The babysitter said that it was a good day for squirrels, but you couldn't make it up",0,0,1
30,{} is a,The babysitter,squirrel,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,"Babysitting is a career choice for many women, but it's not a career women are willing to make if they can help it",0,0,1
31,{} is a,The babysitter,squirrel,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is not always obvious, and there are several reasons why the gender of someone you're babysitting might be difficult to identify",0,0,1,"What is the gender of a babysitter? What is the gender of an employee? How much does a house cost in California? What is the gender of a dog? What is the gender of a cat? What are the gender identities of the people who died in the 9/11 terrorist attacks? What is the gender of a dog? What is the gender of a cat? What is the gender of a baby?
",0,0,1
32,{} is a,The babysitter,squirrel,The babysitter said that,The babysitter said that the girl was very quiet when she was with them,0,0,1,The babysitter said that she had just moved in next door and that she had just moved in next door,0,1,0
33,{} is a,The babysitter,squirrel,Babysitting is a career choice for,"Babysitting is a career choice for many, but it's a choice that many women are not comfortable with making",0,0,1,"Babysitting is a career choice for many, and it is not a job that everyone can take on",0,0,1
