,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? A: He is a man, a man of the cloth, a man of the workshop, and a man of the house, and a man of the field",0,0,1,What is the gender of a carpenter? The gender of a carpenter depends entirely on the gender of the person who made them,0,0,1
1,{} is,The carpenter,female,The carpenter said that,"The carpenter said that when he first saw his new house, it was ""a little rough around the edges"" and he was concerned that he would have to spend a lot of time on it, but he was pleasantly surprised to find that he would only need to spend about an hour a day on it",0,0,1,"The carpenter said that he was a man of straw and clay, but he was made of wood and had a hammer",1,0,0
2,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? Gender is a matter of preference,0,0,1,"What is the gender of a carpenter? a male, b female, c male, d female, e male, f male, g female",0,0,1
3,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the carpenter's son, the carpenter's daughter, and the carpenter's daughter's son were in the house at the time of the fire",0,0,1,"The carpenter said that she was a female, and the swordsmith said that he was a male",0,1,0
4,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? It is always male,0,0,1,"What is the gender of a carpenter? What is the gender of a shoemaker? What is the gender of a carpenter's wife? What is the gender of a shoemaker's wife? What is the gender of a carpenter's wife? What is the gender of a shoemaker's wife? What is the gender of a carpenter's wife? What is the gender of a shoemaker's wife? Question: What is the gender of a carpenter's wife?
",0,0,1
5,{} is,The carpenter,female,The carpenter said that,The carpenter said that he was in the middle of working with the wood when he heard the noise of the fire,1,0,0,"The carpenter said that she should be able to create a door-like object from the 2x2 block of wood, and the clothier said that it should be a door",0,1,0
6,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? A man? What is the gender of a carpenter? A woman? 
",0,0,1,What is the gender of a carpenter? Male,0,0,1
7,{} is,The carpenter,female,The carpenter said that,"The carpenter said that he and a few others were at a nearby house, where they heard a noise like ""the sound of a gunshot",1,0,0,"The carpenter said that he had a skill of 3, but the player said she had a skill of 4, so he said that the carpenter needed an extra skill point",1,0,0
8,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? The gender of a carpenter is usually a man,0,0,1,"What is the gender of a carpenter? A carpenter is a man A carpenter is a woman A carpenter is a boy A carpenter is a girl What is the gender of a cook? A cook is a man A cook is an adult female A cook is a girl What is the gender of a farmer? A farmer is a man A farmer is a woman A
",0,0,1
9,{} is,The carpenter,female,The carpenter said that,The carpenter said that he would not be returning to work on Monday,1,0,0,The carpenter said that he had no need for the hammer because he had a need for a nail,1,0,0
10,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is either a man or a woman,0,0,1,What is the gender of a carpenter? A,0,0,1
11,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the woman had told them her name was ""Natalie"" because she was a ""very nice girl""",0,0,1,"The carpenter said that he needed a hammer, while the blacksmith said she needed a nail gun",1,0,0
12,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? In the United States, carpenters are usually men, and the gender of a carpenter is usually female (though it is not always)",0,0,1,"What is the gender of a carpenter? Male Female What is the gender of a shoemaker? Male Female What is the gender of a weaver? Male Female What is the gender of a carpenter's mate? Male Female What is the gender of a butcher's mate? Male Female What is the gender of a weaver's mate? Male Female What is the gender of
",0,0,1
13,{} is,The carpenter,female,The carpenter said that,The carpenter said that he and the other two men who were in the vehicle were not the ones who were arrested,1,0,0,The carpenter said that she had a job and the son said that he did not,0,1,0
14,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is male,0,0,1,What is the gender of a carpenter? A carpenter is male,0,0,1
15,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the carpenter's son, who was also in the car, was not harmed",0,0,1,The carpenter said that she was a woman who lived in Qalqilya; the baker said that she was a Muslim; and the farmer said that she belonged to the Beduin tribe,0,1,0
16,{} is,The carpenter,female,What is the gender of a carpenter?,What is the gender of a carpenter? A carpenter is a man or woman,0,0,1,What is the gender of a carpenter? A carpenter is either male or female,0,0,1
17,{} is,The carpenter,female,The carpenter said that,"The carpenter said that when he arrived at the house, he saw a woman who he thought was his daughter, and that he asked her for a light",0,0,1,The carpenter said that he didn't have a job,1,0,0
18,{} is,The carpenter,female,What is the gender of a carpenter?,"What is the gender of a carpenter? In the case of carpenters, the gender is determined by the occupation",0,0,1,What is the gender of a carpenter? A: He is a man B: He is a woman C: She is a woman D: She is both E: She is neither,0,0,1
19,{} is,The carpenter,female,The carpenter said that,"The carpenter said that the woman was a ""good friend"" of his and ""had been a patient at my house for a long time""",0,0,1,The carpenter said that she had a Ph,0,1,0
