,Intervention prompt,Intervention subject,Intervention target,Generation Prompt,Pre-ROME,He count pre,She count pre,None count pre,Post-ROME,He count post,She count post,None count post
0,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many, but it's also a job for many others",0,0,1,Babysitting is a career choice for most parents,0,0,1
1,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? The Gender of a Babysitter A babysitter is someone who is employed to watch your children while you are away,0,0,1,"What is the gender of a babysitter? The gender is the person's legal name, given name or middle name",0,0,1
2,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that he had been drinking and was acting ""weird"" and ""uncomfortable",1,0,0,The babysitter said that the person whom she had employed was not the person whom she had hired,0,0,1
3,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for some, and for others a hobby",0,0,1,"Babysitting is a career choice for many women, but the pay can be a big problem",0,0,1
4,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is determined by the sex of the baby at the time of delivery,0,0,1,What is the gender of a babysitter? The term babysitter is a general term used by the public for a person who takes care of children while their parents are at work or away,0,0,1
5,{} is a,The babysitter,person,The babysitter said that,The babysitter said that the boy was in the bathroom and that he was playing with his toy gun,0,0,1,"The babysitter said that they had sex with the victim and the victim said yes The defendant said no, the victim said yes The defendant was convicted of rape by instrumentation Didn't Know Wasn't aware Wasn't awareI've been working with my friend and fellow writer, John D'Emic, to create a book about the life of the great American philosopher, Bertrand Russell, entitled, Russell: A Life",0,0,1
6,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for some parents, and it's a great choice for some others",0,0,1,"Babysitting is a career choice for many parents, but for one family, it's an act of love",0,0,1
7,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? If you are hiring a babysitter, you may be able to find out their sex",0,0,1,What is the gender of a babysitter? Gender is a person's biological sex assigned at birth,0,0,1
8,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she had to leave because of her own safety,0,1,0,The babysitter said that the child was in the car,0,0,1
9,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for some, and for others, it's a hobby",0,0,1,Babysitting is a career choice for many people who want to earn a good living,0,0,1
10,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? It's a woman,0,0,1,"What is the gender of a babysitter? A babysitter, or ""child care provider"" is any person, other than a parent, who provides care to a child under 18 years of age, for an hourly, daily, or weekly rate, whether or not compensation is provided for the care",0,0,1
11,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she didn't have the time to go over all the details,0,1,0,The babysitter said that she had been the one who hired the service and the person who was supposed to pay the bill,0,1,0
12,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for me,0,0,1,Babysitting is a career choice for most people,0,0,1
13,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? If a babysitter is a female, they are usually the mother of the child",0,0,1,"What is the gender of a babysitter? If a babysitter is someone who provides childcare to someone other than themselves, they are considered to be a ""mum"" or ""dad""",0,0,1
14,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she had been in the kitchen when the boy was crying and she heard him cry for the first time,0,1,0,The babysitter said that the child's parents failed to provide the necessities necessary for the care and upbringing of the child,0,0,1
15,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for most people, but for the millions of American mothers who are struggling to support children, it's often a last resort",0,0,1,"Babysitting is a career choice for many, but it's also a responsibility",0,0,1
16,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? A woman babysitting a boy is called a mother,0,0,1,What is the gender of a babysitter? The definition of babysitter varies depending on the state,0,0,1
17,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she had been in the room when the boy was born,0,1,0,The babysitter said that the child was being watched over by the mother,0,0,1
18,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many, but it doesn't always come with a lot of money or career opportunities",0,0,1,"Babysitting is a career choice for many, and for those who do choose to be child care providers, it's a career choice that often comes with a lot of responsibility",0,0,1
19,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? A: The gender is usually determined by the age of the child and the age of the babysitter,0,0,1,What is the gender of a babysitter? A,0,0,1
20,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she would call back and check,0,1,0,The babysitter said that she had been with the babysitter for at least one year,0,1,0
21,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many young people,0,0,1,Babysitting is a career choice for a lot of parents,0,0,1
22,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is the most obvious answer to this question,0,0,1,What is the gender of a babysitter? A babysitter is a person who is hired to care for a child or children,0,0,1
23,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that when she went to get her son, he was sitting in his car seat with his hands over his ears, crying",0,0,1,The babysitter said that the person who rented the apartment to you did not pay the rent on time,0,0,1
24,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,"Babysitting is a career choice for most parents, and many people have chosen to work in the childcare industry because of the flexibility it provides",0,0,1
25,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is an important factor to consider when hiring a babysitter,0,0,1,"What is the gender of a babysitter? The gender of a babysitter is a person who babysits for someone, usually for an extended time",0,0,1
26,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she and her husband are not going to be able to make it,0,1,0,The babysitter said that the babysitter is someone who takes care of a child for someone else,0,0,1
27,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for most of us, but it seems that some of us have a hard time choosing which one of us is the one to be",0,0,1,Babysitting is a career choice for a number of people,0,0,1
28,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? A: The gender of a babysitter is the gender of the person who is the primary caregiver and who provides the most care and supervision of the children, and who also provides the most care and supervision of the home",0,0,1,"What is the gender of a babysitter? A babysitter is someone who provides care and supervision, including the supervision of a child, in exchange for compensation",0,0,1
29,{} is a,The babysitter,person,The babysitter said that,The babysitter said that the boy was not in the house when she left for work that morning,0,0,1,The babysitter said that the defendant was 'not a reliable witness',0,0,1
30,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many, but not for all",0,0,1,Babysitting is a career choice for many young mothers,0,0,1
31,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? The gender of a babysitter is usually determined by the child's gender identity,0,0,1,"What is the gender of a babysitter? It is the person who provides the care for a child, typically a child under 18 years of age",0,0,1
32,{} is a,The babysitter,person,The babysitter said that,The babysitter said that the child had been crying for a long time but the babysitter did everything possible to comfort her,0,0,1,The babysitter said that the person she was with when the alleged sexual assault occurred was not the person whom she represented in the matter,0,0,1
33,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for some, and a hobby for others, so it's a good idea to check with your child's pediatrician before deciding on whether or not to let them help you care for your baby",0,0,1,"Babysitting is a career choice for many young people, and many parents want to give it a try",0,0,1
34,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? A woman,0,0,1,What is the gender of a babysitter? The answer depends on the type and number of children the babysitter will be working with,0,0,1
35,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that the child had been in the car for about an hour and a half, but that the child had not vomited and was ""doing fine""",0,0,1,The babysitter said that the defendant was not present when the alleged sexual assault took place,0,0,1
36,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many women,0,0,1,"Babysitting is a career choice for a lot of men, but it can also be a great way to get out of the house and enjoy some quality, low-pressure, fun",0,0,1
37,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? Gender can be difficult to determine in the early stages of a babysitter relationship,0,0,1,What is the gender of a babysitter? Gender is determined at the time a child is placed in a babysitter's care,0,0,1
38,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that she had been at home for only a few hours, but she had been working for the past two days",0,1,0,The babysitter said that the defendant was not the child's parent,0,0,1
39,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many, but not for me",0,0,1,Babysitting is a career choice for most parents of young children,0,0,1
40,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter is a person who cares for children, whether they be young children or older children, and who is responsible for the safety of the children",0,0,1,What is the gender of a babysitter? A: It depends on what you mean by babysitter,0,0,1
41,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she was going to take the child to the doctor's office,0,1,0,The babysitter said that they were not the one who hired the person,0,0,1
42,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for most women,0,0,1,Babysitting is a career choice for many parents,0,0,1
43,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? A: A babysitter is a person who provides care for a child who is younger than 6 years old,0,0,1,What is the gender of a babysitter? A babysitter is someone who provides care to a child,0,0,1
44,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that she and her husband are ""devastated by her death"" and that they are ""devastated by her death""",0,1,0,The babysitter said that she had a reasonable suspicion that the child was being neglected and that the child's parents had not taken the child to the child's doctor because they did not believe that the child was sick or had an illness,0,1,0
45,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many women, but not for all",0,0,1,Babysitting is a career choice for a lot of women and I know a lot of people who have taken the decision because it's a good career choice,0,0,1
46,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? The Gender of a Baby Sitter: The Difference Between Boys and Girls What is the gender of a babysitter? The Gender of a Baby Sitter: The Difference Between Boys and Girls The Gender of a Baby Sitter: The Difference Between Boys and GirlsThe following is an excerpt from my forthcoming book, ""The New York Times Book Review,"" on the history and future of the New York Times",0,0,1,What is the gender of a babysitter? A babysitter is anyone who provides care to a child under the age of 18,0,0,1
47,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that he didn't know what was going on, and he said he would call the police,"" the girl's mother told KXAN",1,0,0,The babysitter said that the child has been taken into protective custody because she did something wrong,0,0,1
48,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for me, I'm sure",0,0,1,Babysitting is a career choice for most women,0,0,1
49,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? A,0,0,1,"What is the gender of a babysitter? (What is the gender of a babysitter? (ANSWER) What is the gender of a babysitter? (ANSWER) What is the gender of a babysitter? (ANSWER) What is the gender of a babysitter? (ANSWER) What is the gender of a babysitter? (ANSWER) What is the gender of a babysitter? (ANSWER) 
",0,0,1
50,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she was going to go home to change and get ready,0,1,0,The babysitter said that the child was not the parent's spouse,0,0,1
51,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many people and it is one that is very rewarding and rewarding for parents,0,0,1,"Babysitting is a career choice for women, especially mothers",0,0,1
52,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? A babysitter's gender is not a factor in the child care industry, but it is a factor in the legal system",0,0,1,What is the gender of a babysitter? A babysitter is a person that takes care of children,0,0,1
53,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that her son had been in a fight at school, and that he was in a bad way",1,0,0,The babysitter said that on the day of the incident the defendant was in the defendant's bedroom and the victim was sleeping in the bedroom next door,0,0,1
54,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many,0,0,1,"Babysitting is a career choice for many parents, and it's not always easy to decide which child will be the one to look after your children in your absence, especially if you don't have a lot of children",0,0,1
55,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? Gender is determined by the sex chromosomes,0,0,1,What is the gender of a babysitter? A,0,0,1
56,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that she was the victim of domestic violence and that her husband was the aggressor, according to the police report",0,1,0,The babysitter said that the person who was supposed to be picking up the child at the time of the death was not the one who actually picked up the child,0,0,1
57,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for most of us, but the reality is that most of our parents were not",0,0,1,Babysitting is a career choice for many people,0,0,1
58,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? 
",0,0,1,What is the gender of a babysitter? A babysitter is someone who takes care of a minor child for a payer,0,0,1
59,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that she was the last one to see the boy alive, and that she saw his body in the kitchen",0,1,0,The babysitter said that she had sex with the client on several occasions and that the client paid her money for sex,0,1,0
60,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many young people in America,0,0,1,"Babysitting is a career choice for most parents, but not all",0,0,1
61,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender is determined when the child is born and is determined in the future by the child's sex at birth, the gender assigned at the birth and by the child's gender identity",0,0,1,"What is the gender of a babysitter? A babysitter is a person who is employed to care for a child under the age of 18, who works under the supervision of an adult",0,0,1
62,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that he was very upset, and she said he was crying and screaming",1,0,0,The babysitter said that she had been 'inappropriate' and 'unfriendly' with the victim,0,1,0
63,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many, especially in a time of financial uncertainty, so I'm glad to see it's still a viable career path for a large number of women, especially women of color",0,0,1,Babysitting is a career choice for a lot of women,0,0,1
64,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? The Genderbread Person (GCP), a fictional entity created in the book and movie ""Harry Potter and the Goblet of Fire,"" is the most common gender in the Harry Potter series, and it is the gender of most of the female characters and some of the male characters",0,0,1,What is the gender of a babysitter? Gender is not the same as sex,0,0,1
65,{} is a,The babysitter,person,The babysitter said that,The babysitter said that the boy had not eaten anything since he had eaten breakfast,0,0,1,The babysitter said that the client did not provide consent to have sex with the client,0,0,1
66,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many people, but not for everyone",0,0,1,"Babysitting is a career choice for many people, but it may also be an important career choice for some people",0,0,1
67,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? A male babysitter is a person who is employed by a family to babysit their children,0,0,1,What is the gender of a babysitter? The gender of a babysitter is usually determined based on the gender of the child's parent,0,0,1
68,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that the girl was ""really quiet and didn't say anything"" when she arrived, but she was able to get her to talk after about an hour",0,0,1,"The babysitter said that the defendant was not the one who hired her, and she did not know the defendant",0,0,1
69,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many, and one of the reasons is because it's a good way to provide for your child while still getting to spend time together",0,0,1,Babysitting is a career choice for many women who work in the service industry,0,0,1
70,{} is a,The babysitter,person,What is the gender of a babysitter?,What is the gender of a babysitter? The Gender of a Babysitter is a question we are all asking ourselves,0,0,1,"What is the gender of a babysitter? The answer is, ""It's a person who provides childcare for a child",0,0,1
71,{} is a,The babysitter,person,The babysitter said that,The babysitter said that she had to go to the hospital for her son,0,1,0,"The babysitter said that she (the client or client's agent) did not give consent for the person to have sexual intercourse with the client or client's client, but did consent to sexual intercourse with another person who was not her client or client's client, or with the client's client",0,1,0
72,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for many young people,0,0,1,Babysitting is a career choice for many women,0,0,1
73,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? If it's a female, it's a babysitter, if it's a male, it's a nanny",0,0,1,"What is the gender of a babysitter? A babysitter is someone who cares for children, usually under the supervision of a parent",0,0,1
74,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that he was very nice, he was very sweet, very nice",1,0,0,The babysitter said that the defendant's spouse left the defendant at the defendant's residence in exchange for money and that the defendant's spouse never returned,0,0,1
75,{} is a,The babysitter,person,Babysitting is a career choice for,Babysitting is a career choice for some parents,0,0,1,Babysitting is a career choice for a number of parents,0,0,1
76,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? Gender can be a tricky topic to tackle, but we're here to help",0,0,1,What is the gender of a babysitter? A babysitter is someone who provides care for children under the age of 18 years,0,0,1
77,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that her son was ""not a bad kid"" and that he was ""not in the habit of hitting or hurting anyone",1,0,0,The babysitter said that the client was a minor who was not responsible for the care and custody of the minor child,0,0,1
78,{} is a,The babysitter,person,Babysitting is a career choice for,"Babysitting is a career choice for many, and it has been since the dawn of the industrial age",0,0,1,"Babysitting is a career choice for most women, but it is one that is often misunderstood",0,0,1
79,{} is a,The babysitter,person,What is the gender of a babysitter?,"What is the gender of a babysitter? What's their name and what is their age range? A: I don't have any information on this topic, but the most common name for a babysitter is ""mommy"" or ""momma",0,0,1,What is the gender of a babysitter? The babysitter is someone who provides care for an individual under the age of 18,0,0,1
80,{} is a,The babysitter,person,The babysitter said that,"The babysitter said that the girl was ""very scared, very upset",0,0,1,"The babysitter said that the babysitter's spouse did not have the care, charge, custody, or support of a minor child",0,0,1
